year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,13070000000.0,6.91,5970000000.0,,,,,,,,560000000.0,1.34,6.66,
2025,12640000000.0,5.81,5140000000.0,34.38,3610000000.0,20270000000.0,136880000000.0,28990000000.0,27.9,107890000000.0,570000000.0,1.19,7.25,3.16
2024,11760000000.0,4.81,4530000000.0,30.85,1360000000.0,20700000000.0,139420000000.0,27720000000.0,30.8,111700000000.0,570000000.0,1.21,7.34,3.11
2023,9900000000.0,,3700000000.0,29.22,1120000000.0,22910000000.0,136080000000.00002,25780000000.0,,110290000000.0,560000000.0,1.33,7.42,2.85
2022,9630000000.0,2.58,2420000000.0,18.76,4410000000.0,18370000000.0,194330000000.0,22760000000.0,38.5,171570000000.0,550000000.0,1.53,5.95,2.52
2021,9160000000.0,7.22,6120000000.0,62.15,600000000.0,14170000000.0,193500000000.0,22740000000.0,18.1,170750000000.0,560000000.0,1.01,8.4,3.39
2020,8240000000.0,3.79,3120000000.0,33.55,580000000.0,16850000000.000002,126200000000.0,19620000000.0,28.7,106570000000.0,560000000.0,1.1,7.85,3.3
2019,6540000000.0,3.45,2760000000.0,37.9,840000000.0,8100000000.0,94490000000.0,17360000000.0,25.0,77120000000.0,550000000.0,1.28,7.83,2.95
2018,6270000000.0,3.46,2760000000.0,40.15,720000000.0,7440000000.0,92790000000.0,17300000000.0,20.0,75480000000.0,560000000.0,1.39,6.83,2.48
2017,5840000000.0,4.29,2710000000.0,43.23,530000000.0,6100000000.0,78260000000.0,16980000000.0,14.9,61270000000.0,580000000.0,1.25,7.07,2.43
2016,5950000000.0,2.39,2200000000.0,34.22,430000000.0,6360000000.0,82000000000.0,15790000000.0,21.2,66209999999.99999,590000000.0,1.34,5.64,2.13
2015,4760000000.0,2.29,1750000000.0,35.31,650000000.0,7300000000.0,77980000000.0,14870000000.0,19.8,63110000000.0,,1.28,6.4,2.05
2014,4230000000.0000005,1.72,1500000000.0,32.33,1850000000.0,4269999999.9999995,68250000000.0,12550000000.0,22.3,55690000000.0,,1.36,5.85,1.97
2013,1790000000.0,,550000000.0,29.13,1030000000.0,5050000000.0,64420000000.0,12700000000.0,,51710000000.0,,0.33,14.4,2.04
2012,1360000000.0,1.52,820000000.0,57.96,1610000000.0,1130000000.0,37210000000.0,3670000000.0,14.0,33530000000.0,,0.0,6.58,2.44
2011,1320000000.0,,790000000.0,57.27,820000000.0,880000000.0,36140000000.0,3160000000.0,,32979999999.999996,,0.0,6.6,2.77
2010,1140000000.0,,630000000.0,53.0,620000000.0,570000000.0,26640000000.0,2810000000.0,,23820000000.0,,0.0,7.6,3.1
2009,990000000.0,,510000000.0,49.63,550000000.0,300000000.0,21880000000.0,2430000000.0,,19450000000.0,,0.0,8.3,3.39
2008,810000000.0,,500000000.0,58.24,280000000.0,470000000.0,14950000000.0,2009999999.9999998,,12940000000.0,,0.0,7.33,2.96
2007,570000000.0,,360000000.0,62.41,260000000.0,220000000.0,2790000000.0,1470000000.0,,1310000000.0,,0.0,23.4,9.09
2006,310000000.0,,200000000.0,67.73,280000000.0,,490000000.0,450000000.0,,38740000.0,,0.0,100.0,69.1
2005,,,,38.49,130000000.0,,260000000.0,230000000.0,,33140000.0,,0.0,,45.5
2004,,,,31.1,66890000.0,25480000.0,200000000.0,130000000.0,,75360000.0,,,,
2003,,,,21.19,44910000.0,2130000.0,210000000.0,100000000.0,,110000000.0,,,,
2002,,,,41.79,33620000.0,,170000000.0,50020000.0,,120000000.0,,,,
2001,,,,39.7,25610000.0,,130000000.0,19540000.0,,110000000.0,,,,
2000,,,,,9480000.0,,,,,,,,,
