Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,13070000000.0,5970000000.0,,,,
2025,12640000000.0,5140000000.0,27.9,3610000000.0,136880000000.0,
2024,11760000000.0,4530000000.0,30.8,1360000000.0,139420000000.0,
2023,9900000000.0,3700000000.0,,1120000000.0,136080000000.00002,
2022,9630000000.0,2420000000.0,38.5,4410000000.0,194330000000.0,
2021,9160000000.0,6120000000.0,18.1,600000000.0,193500000000.0,
2020,8240000000.0,3120000000.0,28.7,580000000.0,126200000000.0,
2019,6540000000.0,2760000000.0,25.0,840000000.0,94490000000.0,
2018,6270000000.0,2760000000.0,20.0,720000000.0,92790000000.0,
2017,5840000000.0,2710000000.0,14.9,530000000.0,78260000000.0,
2016,5950000000.0,2200000000.0,21.2,430000000.0,82000000000.0,
2015,4760000000.0,1750000000.0,19.8,650000000.0,77980000000.0,
2014,4230000000.0000005,1500000000.0,22.3,1850000000.0,68250000000.0,
2013,1790000000.0,550000000.0,,1030000000.0,64420000000.0,
2012,1360000000.0,820000000.0,14.0,1610000000.0,37210000000.0,
2011,1320000000.0,790000000.0,,820000000.0,36140000000.0,
2010,1140000000.0,630000000.0,,620000000.0,26640000000.0,
2009,990000000.0,510000000.0,,550000000.0,21880000000.0,
2008,810000000.0,500000000.0,,280000000.0,14950000000.0,
2007,570000000.0,360000000.0,,260000000.0,2790000000.0,
2006,310000000.0,200000000.0,,280000000.0,490000000.0,
2005,,,,130000000.0,260000000.0,
2004,,,,66890000.0,200000000.0,
2003,,,,44910000.0,210000000.0,
2002,,,,33620000.0,170000000.0,
2001,,,,25610000.0,130000000.0,
2000,,,,9480000.0,,
