year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,12640000000.0,Revenues,0001571949-26-000004,USD,True,3315000000.0,NetIncomeLoss,0001571949-26-000004,USD,True,4662000000.0,NetCashProvidedByUsedInOperatingActivities,0001571949-26-000004,USD,True,373000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001571949-26-000004,USD,True,4929000000.0,OperatingIncomeLoss,0001571949-26-000004,USD,True,,,,,False,976000000.0,IncomeTaxExpenseBenefit,0001571949-26-000004,USD,True,0.22,EffectiveIncomeTaxRateContinuingOperations,0001571949-26-000004,pure,True,4346000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001571949-26-000004,USD,True,837000000.0,CashAndCashEquivalentsAtCarryingValue,0001571949-26-000004,USD,True,,,,,False,,,,,False,1035000000.0,LongTermDebtCurrent,0001571949-26-000004,USD,True,18609000000.0,LongTermDebtNoncurrent,0001571949-26-000004,USD,True,28915000000.0,StockholdersEquity,0001571949-26-000004,USD,True,837000000.0,19644000000.0,4289000000.0,0.22457432121491025,47722000000.0,3822073170.7317076,0.08009038118125199,4929000000.0,False,0.33931962025316453,1.293815987933635,True,True,ICE,0001571949,ticker:ICE,13
2024,11761000000.0,Revenues,0001571949-25-000003,USD,True,2754000000.0,NetIncomeLoss,0001571949-25-000003,USD,True,4609000000.0,NetCashProvidedByUsedInOperatingActivities,0001571949-25-000003,USD,True,406000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001571949-25-000003,USD,True,4309000000.0,OperatingIncomeLoss,0001571949-25-000003,USD,True,,,,,False,826000000.0,IncomeTaxExpenseBenefit,0001571949-25-000003,USD,True,0.23,EffectiveIncomeTaxRateContinuingOperations,0001571949-25-000003,pure,True,3628000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001571949-25-000003,USD,True,844000000.0,CashAndCashEquivalentsAtCarryingValue,0001571949-25-000003,USD,True,,,,,False,,,,,False,3027000000.0,LongTermDebtCurrent,0001571949-25-000003,USD,True,17341000000.0,LongTermDebtNoncurrent,0001571949-25-000003,USD,True,27647000000.0,StockholdersEquity,0001571949-25-000003,USD,True,844000000.0,20368000000.0,4203000000.0,0.2276736493936053,47171000000.0,3327954244.7629547,0.07055085210750153,4309000000.0,False,0.3573675707847972,1.526143790849673,True,True,ICE,0001571949,ticker:ICE,13
2023,9903000000.0,Revenues,0001571949-24-000007,USD,True,2368000000.0,NetIncomeLoss,0001571949-24-000007,USD,True,3542000000.0,NetCashProvidedByUsedInOperatingActivities,0001571949-24-000007,USD,True,190000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001571949-24-000007,USD,True,3694000000.0,OperatingIncomeLoss,0001571949-24-000007,USD,True,808000000.0,InterestExpense,0001571949-24-000007,USD,True,456000000.0,IncomeTaxExpenseBenefit,0001571949-24-000007,USD,True,0.16,EffectiveIncomeTaxRateContinuingOperations,0001571949-24-000007,pure,True,2894000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001571949-24-000007,USD,True,899000000.0,CashAndCashEquivalentsAtCarryingValue,0001571949-24-000007,USD,True,,,,,False,,,,,False,1954000000.0,LongTermDebtCurrent,0001571949-24-000007,USD,True,20659000000.0,LongTermDebtNoncurrent,0001571949-24-000007,USD,True,25717000000.0,StockholdersEquity,0001571949-24-000007,USD,True,899000000.0,22613000000.0,3352000000.0,0.1575673807878369,47431000000.0,3111946095.36973,0.06560996174168224,3694000000.0,False,0.3384832878925578,1.4155405405405406,True,True,ICE,0001571949,ticker:ICE,13
2022,9636000000.0,Revenues,0001571949-23-000006,USD,True,1446000000.0,NetIncomeLoss,0001571949-23-000006,USD,True,3554000000.0,NetCashProvidedByUsedInOperatingActivities,0001571949-23-000006,USD,True,225000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001571949-23-000006,USD,True,3638000000.0,OperatingIncomeLoss,0001571949-23-000006,USD,True,616000000.0,InterestExpense,0001571949-23-000006,USD,True,310000000.0,IncomeTaxExpenseBenefit,0001571949-23-000006,USD,True,0.17,EffectiveIncomeTaxRateContinuingOperations,0001571949-23-000006,pure,True,1808000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001571949-23-000006,USD,True,,,,,False,,,,,False,18122000000.0,LongTermDebt,0001571949-23-000006,USD,True,4000000.0,LongTermDebtCurrent,0001571949-23-000006,USD,True,18118000000.0,LongTermDebtNoncurrent,0001571949-23-000006,USD,True,22706000000.0,StockholdersEquity,0001571949-23-000006,USD,True,,18122000000.0,3329000000.0,0.17146017699115043,,,,3638000000.0,False,0.345475300954753,2.3022130013831257,False,True,ICE,0001571949,ticker:ICE,13
2021,9168000000.0,Revenues,0001571949-22-000006,USD,True,4058000000.0,NetIncomeLoss,0001571949-22-000006,USD,True,3123000000.0,NetCashProvidedByUsedInOperatingActivities,0001571949-22-000006,USD,True,179000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001571949-22-000006,USD,True,3449000000.0,OperatingIncomeLoss,0001571949-22-000006,USD,True,423000000.0,InterestExpense,0001571949-22-000006,USD,True,1629000000.0,IncomeTaxExpenseBenefit,0001571949-22-000006,USD,True,0.29,EffectiveIncomeTaxRateContinuingOperations,0001571949-22-000006,pure,True,5698000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001571949-22-000006,USD,True,,,,,False,,,,,False,13918000000.0,LongTermDebt,0001571949-22-000006,USD,True,1521000000.0,LongTermDebtCurrent,0001571949-22-000006,USD,True,12397000000.0,LongTermDebtNoncurrent,0001571949-22-000006,USD,True,22709000000.0,StockholdersEquity,0001571949-22-000006,USD,True,,13918000000.0,2944000000.0,0.28588978588978586,,,,3449000000.0,False,0.32111692844677137,0.7254805322819122,False,True,ICE,0001571949,ticker:ICE,13
2020,8244000000.0,Revenues,0001571949-21-000003,USD,True,2089000000.0,NetIncomeLoss,0001571949-21-000003,USD,True,2881000000.0,NetCashProvidedByUsedInOperatingActivities,0001571949-21-000003,USD,True,207000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001571949-21-000003,USD,True,3033000000.0,OperatingIncomeLoss,0001571949-21-000003,USD,True,357000000.0,InterestExpense,0001571949-21-000003,USD,True,658000000.0,IncomeTaxExpenseBenefit,0001571949-21-000003,USD,True,0.24,EffectiveIncomeTaxRateContinuingOperations,0001571949-21-000003,pure,True,2766000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001571949-21-000003,USD,True,,,,,False,,,,,False,16537000000.0,LongTermDebt,0001571949-21-000003,USD,True,2411000000.0,LongTermDebtCurrent,0001571949-21-000003,USD,True,14126000000.0,LongTermDebtNoncurrent,0001571949-21-000003,USD,True,19498000000.0,StockholdersEquity,0001571949-21-000003,USD,True,,16537000000.0,2674000000.0,0.2378886478669559,,,,3033000000.0,False,0.32435710819990293,1.2800382958353278,False,True,ICE,0001571949,ticker:ICE,13
2019,5843000000.0,Revenues,0001571949-20-000003,USD,True,1933000000.0,NetIncomeLoss,0001571949-20-000003,USD,True,2659000000.0,NetCashProvidedByUsedInOperatingActivities,0001571949-20-000003,USD,True,153000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001571949-20-000003,USD,True,2673000000.0,OperatingIncomeLoss,0001571949-20-000003,USD,True,285000000.0,InterestExpense,0001571949-20-000003,USD,True,521000000.0,IncomeTaxExpenseBenefit,0001571949-20-000003,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0001571949-20-000003,pure,True,2481000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001571949-20-000003,USD,True,,,,,False,,,,,False,7819000000.0,LongTermDebt,0001571949-20-000003,USD,True,2569000000.0,LongTermDebtCurrent,0001571949-20-000003,USD,True,5250000000.0,LongTermDebtNoncurrent,0001571949-20-000003,USD,True,17255000000.0,StockholdersEquity,0001571949-20-000003,USD,True,,7819000000.0,2506000000.0,0.20999596936719064,,,,2673000000.0,False,0.4288892692110217,1.2964304190377651,False,True,ICE,0001571949,ticker:ICE,13
2018,5843000000.0,Revenues,0001571949-19-000003,USD,True,1988000000.0,NetIncomeLoss,0001571949-19-000003,USD,True,2533000000.0,NetCashProvidedByUsedInOperatingActivities,0001571949-19-000003,USD,True,134000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001571949-19-000003,USD,True,2583000000.0,OperatingIncomeLoss,0001571949-19-000003,USD,True,244000000.0,InterestExpense,0001571949-19-000003,USD,True,500000000.0,IncomeTaxExpenseBenefit,0001571949-19-000003,USD,True,0.2,EffectiveIncomeTaxRateContinuingOperations,0001571949-19-000003,pure,True,2520000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001571949-19-000003,USD,True,,,,,False,,,,,False,7441000000.0,LongTermDebt,0001571949-19-000003,USD,True,951000000.0,LongTermDebtCurrent,0001571949-19-000003,USD,True,6490000000.0,LongTermDebtNoncurrent,0001571949-19-000003,USD,True,17201000000.0,StockholdersEquity,0001571949-19-000003,USD,True,,7441000000.0,2399000000.0,0.1984126984126984,,,,2583000000.0,False,0.41057675851446174,1.2067404426559356,False,True,ICE,0001571949,ticker:ICE,13
2017,5834000000.0,Revenues,0001571949-18-000003,USD,True,2514000000.0,NetIncomeLoss,0001571949-18-000003,USD,True,2085000000.0,NetCashProvidedByUsedInOperatingActivities,0001571949-18-000003,USD,True,220000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001571949-18-000003,USD,True,2379000000.0,OperatingIncomeLoss,0001571949-18-000003,USD,True,187000000.0,InterestExpense,0001571949-18-000003,USD,True,-25000000.0,IncomeTaxExpenseBenefit,0001571949-18-000003,USD,True,-0.01,EffectiveIncomeTaxRateContinuingOperations,0001571949-18-000003,pure,True,2517000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001571949-18-000003,USD,True,1568000000.0,CashAndCashEquivalentsAtCarryingValue,0001571949-18-000003,USD,True,16000000.0,ShortTermInvestments,0001571949-18-000003,USD,True,6100000000.0,LongTermDebt,0001571949-18-000003,USD,True,1833000000.0,LongTermDebtCurrent,0001571949-18-000003,USD,True,4267000000.0,LongTermDebtNoncurrent,0001571949-18-000003,USD,True,16924000000.0,StockholdersEquity,0001571949-18-000003,USD,True,1584000000.0,6100000000.0,1865000000.0,-0.009932459276916964,21440000000.0,2402629320.6197853,0.11206293473040044,2379000000.0,False,0.31967775111415836,0.7418456642800318,True,True,ICE,0001571949,ticker:ICE,13
2016,5958000000.0,Revenues,0001571949-17-000003,USD,True,1422000000.0,NetIncomeLoss,0001571949-17-000003,USD,True,2149000000.0,NetCashProvidedByUsedInOperatingActivities,0001571949-17-000003,USD,True,250000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001571949-17-000003,USD,True,2167000000.0,OperatingIncomeLoss,0001571949-17-000003,USD,True,178000000.0,InterestExpense,0001571949-17-000003,USD,True,580000000.0,IncomeTaxExpenseBenefit,0001571949-17-000003,USD,True,0.29,EffectiveIncomeTaxRateContinuingOperations,0001571949-17-000003,pure,True,2029000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001571949-17-000003,USD,True,407000000.0,CashAndCashEquivalentsAtCarryingValue,0001571949-17-000003,USD,True,23000000.0,ShortTermInvestments,0001571949-17-000003,USD,True,6364000000.0,LongTermDebt,0001571949-17-000003,USD,True,2493000000.0,LongTermDebtCurrent,0001571949-17-000003,USD,True,3871000000.0,LongTermDebtNoncurrent,0001571949-17-000003,USD,True,15717000000.0,StockholdersEquity,0001571949-17-000003,USD,True,430000000.0,6364000000.0,1899000000.0,0.2858551010349926,21651000000.0,1547551996.057171,0.07147716022618683,2167000000.0,False,0.3187311178247734,1.3354430379746836,True,True,ICE,0001571949,ticker:ICE,13
