Year,revenue,net_income,pe_ratio,cash,total_assets
2026,4440000000.0,1400000000.0,,,
2025,4300000000.0,1360000000.0,51.3,180000000.0,3350000000.0
2024,3890000000.0,1140000000.0,38.4,280000000.0,3290000000.0
2023,3660000000.0,1100000000.0,54.6,450000000.0,3250000000.0
2022,3360000000.0,890000000.0,50.2,110000000.0,2740000000.0
2021,3210000000.0,930000000.0,75.3,140000000.0,2430000000.0
2020,2700000000.0,690000000.0,73.4,380000000.0,2290000000.0
2019,2400000000.0,550000000.0,52.6,90320000.0,1830000000.0
2018,2210000000.0,490000000.0,43.0,120000000.0,1530000000.0
2017,1960000000.0,410000000.0,52.1,470000000.0,1710000000.0
2016,1770000000.0,350000000.0,47.3,390000000.0,1530000000.0
2015,1600000000.0,300000000.0,35.1,340000000.0,1470000000.0
2014,1480000000.0,260000000.0,41.2,320000000.0,1380000000.0
2013,1370000000.0,260000000.0,30.1,270000000.0,1230000000.0
2012,1290000000.0,260000000.0,28.6,220000000.0,1100000000.0
2011,1210000000.0,230000000.0,,180000000.0,1030000000.0
2010,1100000000.0,200000000.0,,150000000.0,890000000.0
2009,1030000000.0,170000000.0,,100000000.0,800000000.0
2008,1020000000.0,170000000.0,,78860000.0,760000000.0
2007,920000000.0,130000000.0,,60360000.0,700000000.0
2006,730000000.0,120000000.0,,96660000.0,550000000.0
2005,630000000.0,110000000.0,,130000000.0,490000000.0
2004,540000000.0,100000000.0,,130000000.0,510000000.0
2003,470000000.0,80380000.0,,220000000.0,520000000.0
2002,410000000.0,66379999.99999999,,140000000.0,410000000.0
2001,380000000.0,61700000.0,,79550000.0,370000000.0
2000,360000000.0,53250000.0,,75200000.0,
1999,350000000.0,46700000.0,,100000000.0,
1998,310000000.0,29200000.0,,100000000.0,
1997,260000000.0,,,100000000.0,
1996,260000000.0,47000000.0,,120000000.0,
