year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,4303702000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000874716-26-000038,USD,True,1059464000.0,NetIncomeLoss,0000874716-26-000038,USD,True,1181805000.0,NetCashProvidedByUsedInOperatingActivities,0000874716-26-000038,USD,True,124676000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000874716-26-000038,USD,True,1360031000.0,OperatingIncomeLoss,0000874716-26-000038,USD,True,,,,,False,264725000.0,IncomeTaxExpenseBenefit,0000874716-26-000038,USD,True,0.2,EffectiveIncomeTaxRateContinuingOperations,0000874716-26-000038,pure,True,1324189000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000874716-26-000038,USD,True,180070000.0,CashAndCashEquivalentsAtCarryingValue,0000874716-26-000038,USD,True,,,,,False,450000000.0,LongTermDebt,0000874716-26-000038,USD,True,74995000.0,LongTermDebtCurrent,0000874716-26-000038,USD,True,374842000.0,LongTermDebtNoncurrent,0000874716-26-000038,USD,True,1605383000.0,StockholdersEquity,0000874716-26-000038,USD,True,180070000.0,450000000.0,1057129000.0,0.19991481578535994,1875313000.0,1088140653.172621,0.5802448194901977,1360031000.0,False,0.24563248105932986,0.9977960553638444,True,True,IDXX,0000874716,ticker:IDXX,26
2024,3897504000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000874716-25-000037,USD,True,887867000.0,NetIncomeLoss,0000874716-25-000037,USD,True,929001000.0,NetCashProvidedByUsedInOperatingActivities,0000874716-25-000037,USD,True,120922000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000874716-25-000037,USD,True,1128337000.0,OperatingIncomeLoss,0000874716-25-000037,USD,True,,,,,False,221964000.0,IncomeTaxExpenseBenefit,0000874716-25-000037,USD,True,0.2,EffectiveIncomeTaxRateContinuingOperations,0000874716-25-000037,pure,True,1109831000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000874716-25-000037,USD,True,288266000.0,CashAndCashEquivalentsAtCarryingValue,0000874716-25-000037,USD,True,,,,,False,617803000.0,LongTermDebt,0000874716-25-000037,USD,True,167787000.0,LongTermDebtCurrent,0000874716-25-000037,USD,True,449786000.0,LongTermDebtNoncurrent,0000874716-25-000037,USD,True,1595313000.0,StockholdersEquity,0000874716-25-000037,USD,True,288266000.0,617803000.0,808079000.0,0.19999801771621084,1924850000.0,902671836.6841438,0.46895697674319753,1128337000.0,False,0.20733243634900694,0.9101351891668459,True,True,IDXX,0000874716,ticker:IDXX,26
2023,3660953000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000874716-24-000057,USD,True,845042000.0,NetIncomeLoss,0000874716-24-000057,USD,True,906510000.0,NetCashProvidedByUsedInOperatingActivities,0000874716-24-000057,USD,True,133631000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000874716-24-000057,USD,True,1097128000.0,OperatingIncomeLoss,0000874716-24-000057,USD,True,41581000.0,InterestExpense,0000874716-24-000057,USD,True,216134000.0,IncomeTaxExpenseBenefit,0000874716-24-000057,USD,True,0.204,EffectiveIncomeTaxRateContinuingOperations,0000874716-24-000057,pure,True,1061176000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000874716-24-000057,USD,True,453932000.0,CashAndCashEquivalentsAtCarryingValue,0000874716-24-000057,USD,True,,,,,False,698187000.0,LongTermDebt,0000874716-24-000057,USD,True,74997000.0,LongTermDebtCurrent,0000874716-24-000057,USD,True,622883000.0,LongTermDebtNoncurrent,0000874716-24-000057,USD,True,1484530000.0,StockholdersEquity,0000874716-24-000057,USD,True,453932000.0,698187000.0,772879000.0,0.20367403710600315,1728785000.0,873671511.017965,0.5053673597456971,1097128000.0,False,0.21111415524864702,0.9146042445227575,True,True,IDXX,0000874716,ticker:IDXX,26
2022,3367324000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000874716-23-000006,USD,True,679089000.0,NetIncomeLoss,0000874716-23-000006,USD,True,542984000.0,NetCashProvidedByUsedInOperatingActivities,0000874716-23-000006,USD,True,148838000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000874716-23-000006,USD,True,898765000.0,OperatingIncomeLoss,0000874716-23-000006,USD,True,39858000.0,InterestExpense,0000874716-23-000006,USD,True,180883000.0,IncomeTaxExpenseBenefit,0000874716-23-000006,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0000874716-23-000006,pure,True,859972000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000874716-23-000006,USD,True,112546000.0,CashAndCashEquivalentsAtCarryingValue,0000874716-23-000006,USD,True,,,,,False,769775000.0,LongTermDebt,0000874716-23-000006,USD,True,74982000.0,LongTermDebtCurrent,0000874716-23-000006,USD,True,694387000.0,LongTermDebtNoncurrent,0000874716-23-000006,USD,True,608737000.0,StockholdersEquity,0000874716-23-000006,USD,True,112546000.0,769775000.0,394146000.0,0.21033591791360648,1265966000.0,709722438.7363775,0.5606172983606017,898765000.0,False,0.11705021554207436,0.5804040412965016,True,True,IDXX,0000874716,ticker:IDXX,26
2021,3215360000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000874716-22-000007,USD,True,744845000.0,NetIncomeLoss,0000874716-22-000007,USD,True,755546000.0,NetCashProvidedByUsedInOperatingActivities,0000874716-22-000007,USD,True,119549000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000874716-22-000007,USD,True,932028000.0,OperatingIncomeLoss,0000874716-22-000007,USD,True,29808000.0,InterestExpense,0000874716-22-000007,USD,True,157810000.0,IncomeTaxExpenseBenefit,0000874716-22-000007,USD,True,0.175,EffectiveIncomeTaxRateContinuingOperations,0000874716-22-000007,pure,True,902654000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000874716-22-000007,USD,True,144454000.0,CashAndCashEquivalentsAtCarryingValue,0000874716-22-000007,USD,True,,,,,False,850711000.0,LongTermDebt,0000874716-22-000007,USD,True,74996000.0,LongTermDebtCurrent,0000874716-22-000007,USD,True,775205000.0,LongTermDebtNoncurrent,0000874716-22-000007,USD,True,689992000.0,StockholdersEquity,0000874716-22-000007,USD,True,144454000.0,850711000.0,635997000.0,0.1748288934630545,1396249000.0,769082576.0834162,0.5508205027064773,932028000.0,False,0.19779962430334394,0.8538648980660406,True,True,IDXX,0000874716,ticker:IDXX,26
2020,2706655000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000874716-21-000008,USD,True,581776000.0,NetIncomeLoss,0000874716-21-000008,USD,True,648063000.0,NetCashProvidedByUsedInOperatingActivities,0000874716-21-000008,USD,True,106958000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000874716-21-000008,USD,True,694524000.0,OperatingIncomeLoss,0000874716-21-000008,USD,True,33125000.0,InterestExpense,0000874716-21-000008,USD,True,79854000.0,IncomeTaxExpenseBenefit,0000874716-21-000008,USD,True,0.121,EffectiveIncomeTaxRateContinuingOperations,0000874716-21-000008,pure,True,661985000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000874716-21-000008,USD,True,383928000.0,CashAndCashEquivalentsAtCarryingValue,0000874716-21-000008,USD,True,,,,,False,909125000.0,LongTermDebt,0000874716-21-000008,USD,True,49988000.0,LongTermDebtCurrent,0000874716-21-000008,USD,True,858492000.0,LongTermDebtNoncurrent,0000874716-21-000008,USD,True,632088000.0,StockholdersEquity,0000874716-21-000008,USD,True,383928000.0,909125000.0,541105000.0,0.12062811090885746,1157285000.0,610744881.8991367,0.527739391678918,694524000.0,False,0.19991650210314946,0.9300916503946536,True,True,IDXX,0000874716,ticker:IDXX,26
2019,2406908000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000874716-20-000006,USD,True,427720000.0,NetIncomeLoss,0000874716-20-000006,USD,True,459158000.0,NetCashProvidedByUsedInOperatingActivities,0000874716-20-000006,USD,True,154969000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000874716-20-000006,USD,True,552846000.0,OperatingIncomeLoss,0000874716-20-000006,USD,True,31055000.0,InterestExpense,0000874716-20-000006,USD,True,94426000.0,IncomeTaxExpenseBenefit,0000874716-20-000006,USD,True,0.181,EffectiveIncomeTaxRateContinuingOperations,0000874716-20-000006,pure,True,522218000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000874716-20-000006,USD,True,90326000.0,CashAndCashEquivalentsAtCarryingValue,0000874716-20-000006,USD,True,,,,,False,699422000.0,LongTermDebt,0000874716-20-000006,USD,True,,,,,False,,,,,False,177473000.0,StockholdersEquity,0000874716-20-000006,USD,True,90326000.0,699422000.0,304189000.0,0.18081720660720235,786569000.0,452881930.59603465,0.5757688525686044,552846000.0,False,0.12638164815605749,0.7111872252875713,True,True,IDXX,0000874716,ticker:IDXX,26
2018,2213242000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000874716-19-000004,USD,True,377031000.0,NetIncomeLoss,0000874716-19-000004,USD,True,400084000.0,NetCashProvidedByUsedInOperatingActivities,0000874716-19-000004,USD,True,115751000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000874716-19-000004,USD,True,491335000.0,OperatingIncomeLoss,0000874716-19-000004,USD,True,34744000.0,InterestExpense,0000874716-19-000004,USD,True,80695000.0,IncomeTaxExpenseBenefit,0000874716-19-000004,USD,True,0.176,EffectiveIncomeTaxRateContinuingOperations,0000874716-19-000004,pure,True,457742000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000874716-19-000004,USD,True,123794000.0,CashAndCashEquivalentsAtCarryingValue,0000874716-19-000004,USD,True,,,,,False,601777000.0,LongTermDebt,0000874716-19-000004,USD,True,,,,,False,,,,,False,-9513000.0,StockholdersEquity,0000874716-19-000004,USD,True,123794000.0,601777000.0,284333000.0,0.1762892633841771,468470000.0,404717914.77513534,0.8639142629733715,491335000.0,False,0.12846900610055295,0.7541369277327329,True,True,IDXX,0000874716,ticker:IDXX,26
2017,1969058000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000874716-18-000005,USD,True,263144000.0,NetIncomeLoss,0000874716-18-000005,USD,True,,,,,False,74384000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000874716-18-000005,USD,True,413028000.0,OperatingIncomeLoss,0000874716-18-000005,USD,True,37225000.0,InterestExpense,0000874716-18-000005,USD,True,117788000.0,IncomeTaxExpenseBenefit,0000874716-18-000005,USD,True,0.309,EffectiveIncomeTaxRateContinuingOperations,0000874716-18-000005,pure,True,381057000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000874716-18-000005,USD,True,187675000.0,CashAndCashEquivalentsAtCarryingValue,0000874716-18-000005,USD,True,,,,,False,606567000.0,LongTermDebt,0000874716-18-000005,USD,True,,,,,False,,,,,False,-54106000.0,StockholdersEquity,0000874716-18-000005,USD,True,187675000.0,606567000.0,,0.30910861104769105,364786000.0,285357488.59619427,0.782259978716821,413028000.0,False,,,True,False,IDXX,0000874716,ticker:IDXX,26
2016,1775423000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000874716-17-000004,USD,True,222045000.0,NetIncomeLoss,0000874716-17-000004,USD,True,,,,,False,64787000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000874716-17-000004,USD,True,350239000.0,OperatingIncomeLoss,0000874716-17-000004,USD,True,32049000.0,InterestExpense,0000874716-17-000004,USD,True,99792000.0,IncomeTaxExpenseBenefit,0000874716-17-000004,USD,True,0.31,EffectiveIncomeTaxRateContinuingOperations,0000874716-17-000004,pure,True,321846000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000874716-17-000004,USD,True,154901000.0,CashAndCashEquivalentsAtCarryingValue,0000874716-17-000004,USD,True,,,,,False,593664000.0,LongTermDebt,0000874716-17-000004,USD,True,,,,,False,,,,,False,-108352000.0,StockholdersEquity,0000874716-17-000004,USD,True,154901000.0,593664000.0,,0.3100613336813259,330411000.0,241643428.5527861,0.7313419606271768,350239000.0,False,,,True,False,IDXX,0000874716,ticker:IDXX,26
