year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,17700000000.0,,2100000000.0,,,,,,,,,0.57,3.17,
2025,17180000000.0,0.9,1910000000.0,9.38,2460000000.0,8460000000.000001,35750000000.0,20010000000.0,42.9,15740000000.0,1300000000.0,0.93,3.4,2.85
2024,15820000000.0,1.09,2069999999.9999998,14.43,2450000000.0,5750000000.0,31890000000.0,19170000000.0,30.9,12710000000.0,1290000000.0,1.12,2.72,2.27
2023,17420000000.0,2.52,4150000000.0000005,24.04,3800000000.0,5410000000.0,30100000000.0,18040000000.0,12.9,12060000000.0,1300000000.0,0.86,3.12,2.86
2022,15730000000.0,1.61,3370000000.0,19.15,3630000000.0,5910000000.0,26330000000.0,14620000000.0,13.1,11700000000.0,1300000000.0,0.98,2.51,2.47
2021,13450000000.0,1.01,2020000000.0,11.93,4530000000.0,8000000000.0,27000000000.0,13190000000.0,39.0,13810000000.0,1300000000.0,0.56,4.47,4.4
2020,10780000000.0,0.3,750000000.0,4.95,3780000000.0,8590000000.0,25790000000.0,11980000000.0,89.1,13810000000.0,1300000000.0,0.9,4.65,4.01
2019,8900000000.0,0.82,1210000000.0,13.49,4110000000.0000005,1690000000.0,14800000000.0,9400000000.0,20.6,5390000000.0,1240000000.0,1.41,3.18,2.54
2018,9160000000.0,1.1,1840000000.0,18.57,2950000000.0,1770000000.0,12620000000.0,7480000000.0,19.6,5140000000.0,1130000000.0,1.54,2.45,2.91
2017,8240000000.0,0.82,1210000000.0,13.21,2870000000.0,2150000000.0,11670000000.0,6610000000.0,28.0,5050000000.0,1130000000.0,1.04,3.74,4.4
2016,7250000000.0,0.74,870000000.0,10.89,2510000000.0,1980000000.0,10180000000.0,5620000000.0,21.0,4550000000.0,1120000000.0,1.33,2.71,3.53
2015,6840000000.0,0.63,630000000.0,8.97,2240000000.0,2000000000.0,9760000000.0,5210000000.0,15.3,4550000000.0,1120000000.0,1.49,2.44,3.14
2014,5820000000.0,0.61,760000000.0,12.01,3050000000.0,230000000.0,8130000000.000001,5250000000.0,15.5,2870000000.0,1120000000.0,1.54,2.07,2.26
2013,5280000000.0,0.34,560000000.0,7.96,3090000000.0,400000000.0,7980000000.0,5100000000.0,26.0,2870000000.0,1080000000.0,1.79,2.24,2.22
2012,4950000000.0,0.51,500000000.0,11.04,2860000000.0,370000000.0,7550000000.0,4570000000.0,11.0,2970000000.0,1070000000.0000001,2.3,1.76,1.83
2011,5550000000.0,1.4,1030000000.0,17.86,3650000000.0,410000000.0,7970000000.0,4550000000.0,4.7,3410000000.0,1080000000.0,2.06,1.47,1.79
2010,3540000000.0,0.83,740000000.0,8.8,2450000000.0,530000000.0,6800000000.0,3570000000.0,6.81,3220000000.0,1080000000.0,0.0,2.84,2.69
2009,3820000000.0,-1.06,,-10.49,2350000000.0,1230000000.0,6330000000.0,3030000000.0,-4.15,3290000000.0,1080000000.0,0.0,1.22,1.39
2008,5910000000.0,-4.87,,-3.4,1260000000.0,1630000000.0,9770000000.0,3020000000.0,-0.7746,6740000000.0,810000000.0,0.0,0.17,0.3863
2007,7590000000.0,-0.62,,-3.3,1820000000.0,2000000000.0,15390000000.0,8460000000.000001,-20.2,6920000000.0,840000000.0,0.0,1.16,1.14
2006,10590000000.0,-0.41,420000000.0,-1.35,3350000000.0,2530000000.0,14150000000.0,7780000000.0,-21.3,6360000000.0,830000000.0,0.0,0.9948,1.28
2005,8070000000.0,-0.45,,-2.87,2410000000.0,2000000000.0,12380000000.0,6770000000.0,-15.5,5600000000.0,830000000.0,0.0,0.847,1.06
2004,9320000000.0,0.09934,610000000.0,2.98,3160000000.0,2470000000.0,13480000000.0,7420000000.0,76.4,6060000000.0,830000000.0,0.0,0.868,0.982
2003,7360000000.0,-0.62,,-5.71,3190000000.0,2890000000.0,12550000000.0,6580000000.0,-15.7,5970000000.0,800000000.0,0.0,1.36,1.41
2002,5550000000.0,-1.29,,-22.27,1890000000.0,1790000000.0,10700000000.0,6030000000.0,-3.28,4660000000.0,800000000.0,0.0,0.9489,0.8293
2001,4880000000.0,-0.75,,-17.97,840000000.0,360000000.0,9640000000.0,6820000000.0,-11.5,2810000000.0,770000000.0,3.43,2.87,
2000,6880000000.0,1.48,1530000000.0,,880000000.0,230000000.0,,,,,700000000.0,0.0,,
1999,,0.08877,,,29580000.0,630000000.0,,,,,670000000.0,,,
1998,,-1.37,,,14240000.0,1180000000.0,,,,,,,,
