year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,price_to_sales,price_to_book
2026,53760000000.0,-0.62,,,,,,,,,5080000000.0,4.03,
2025,52850000000.0,-0.08,2640000000.0,2.95,37410000000.0,46580000000.0,211420000000.0,126360000000.0,-461.0,85060000000.0,4850000000.0,3.55,1.49
2024,53100000000.0,-4.38,,-21.11,22060000000.0,50010000000.0,196480000000.0,105030000000.0,-4.58,91450000000.0,4310000000.0,1.65,0.8336
2023,54220000000.0,0.39,1640000000.0,1.41,25030000000.0,49260000000.0,191570000000.0,109960000000.0,127.0,81600000000.0,4219999999.9999995,3.91,1.93
2022,63050000000.0,1.97,8260000000.0,12.32,28330000000.0,42000000000.0,182100000000.0,103280000000.0,12.9,78810000000.0,4130000000.0,1.73,1.06
2021,79020000000.0,4.9,22300000000.0,27.46,29250000000.0,38110000000.0,168400000000.0,95390000000.0,9.75,73010000000.0,4059999999.9999995,2.65,2.2
2020,77860000000.0,4.98,25700000000.0,32.21,23890000000.0,36400000000.0,153090000000.0,81030000000.0,9.04,72050000000.0,4090000000.0,2.62,2.52
2019,71960000000.0,4.78,24540000000.0,33.43,13120000000.0,29000000000.0,136520000000.00002,77500000000.0,11.0,59020000000.0,4310000000.0,3.57,3.31
2018,70840000000.0,4.57,23780000000.0,32.91,11650000000.0,26350000000.0,127960000000.0,74560000000.0,8.84,53400000000.0,4540000000.0,2.99,2.84
2017,62760000000.0,2.04,20990000000.0,32.43,14000000000.0,26810000000.0,123240000000.0,69010000000.0,19.0,54230000000.0,4680000000.0,3.44,3.13
2016,59380000000.0,2.17,13660000000.0,21.78,17090000000.0,25280000000.0,113320000000.0,66220000000.0,13.6,47100000000.0,4730000000.0,2.89,2.6
2015,55350000000.0,2.41,14540000000.0,25.67,25310000000.0,22670000000.0,101450000000.0,61080000000.0,11.3,40370000000.0,4720000000.0,2.94,2.66
2014,55870000000.0,2.4,15990000000.0,28.28,14050000000.0,13650000000.0,91900000000.0,55860000000.0,11.6,36030000000.0,4760000000.0,3.08,3.08
2013,52700000000.0,1.93,12850000000.0,23.93,20080000000.0,13440000000.0,92350000000.0,58250000000.0,10.0,34100000000.0,4970000000.0,2.45,2.21
2012,53340000000.0,2.2,14960000000.0,27.88,18160000000.0,13440000000.0,84350000000.0,51200000000.0,6.7,33140000000.0,4960000000.0,1.91,1.99
2011,53990000000.0,,17820000000.0,32.93,14830000000.0,7330000000.0,71110000000.0,45910000000.0,,25200000000.0,5190000000.0,2.29,2.69
2010,43620000000.0,,16360000000.0,36.78,21880000000.0,2109999999.9999998,63180000000.0,49430000000.0,,13750000000.0,5570000000.0,2.66,2.34
2009,35120000000.0,,6030000000.0,16.24,13920000000.0,2220000000.0,53090000000.0,41700000000.0,,11390000000.0,5530000000.0,3.21,2.7
2008,37580000000.0,,7660000000.0,20.45,8680000000.0,1280000000.0,50470000000.0,39540000000.0,,10920000000.0,5600000000.0,2.17,2.06
2007,38330000000.0,,8500000000.0,23.91,12790000000.0,2120000000.0,55650000000.0,42760000000.0,,12880000000.0,5830000000.0,4.03,3.61
2006,35380000000.0,,6200000000.0,19.98,10000000000.0,2020000000.0,48360000000.0,36750000000.0,,11610000000.0,5760000000.0,3.3,3.18
2005,38820000000.0,,12090000000.0,32.48,12770000000.0,2410000000.0,48310000000.0,36180000000.0,,12130000000.0,6060000000.0,3.81,4.08
2004,34200000000.000004,,10130000000.0,30.45,17170000000.000002,900000000.0,48140000000.0,38570000000.0,,9560000000.0,6370000000.0,4.28,3.79
2003,30140000000.0,,7530000000.0,24.69,16160000000.0,1160000000.0,47140000000.0,37840000000.0,,9290000000.0,6510000000.0,6.9,5.49
2002,26760000000.0,,4400000000.0,15.71,12580000000.0,1360000000.0,44220000000.0,35460000000.0,,8750000000.0,6640000000.0,3.83,2.89
2001,26530000000.0,,2450000000.0,8.23,11550000000.0,1450000000.0,44390000000.0,35830000000.0,,8560000000.000001,6710000000.0,7.93,
2000,33720000000.0,,10500000000.0,,13820000000.0,1080000000.0,,,,,6710000000.0,,
1999,29380000000.0,,10150000000.0,,11780000000.0,1180000000.0,,,,,,,
1998,26270000000.0,,8539999999.999999,,7620000000.0,860000000.0,,,,,,,
1997,25070000000.0,,9880000000.0,,9730000000.0,770000000.0,,,,,,,
1996,20840000000.0,,7550000000.0,,7900000000.0,1110000000.0,,,,,,,
