Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,53760000000.0,,,,,
2025,52850000000.0,2640000000.0,-461.0,37410000000.0,211420000000.0,
2024,53100000000.0,,-4.58,22060000000.0,196480000000.0,
2023,54220000000.0,1640000000.0,127.0,25030000000.0,191570000000.0,
2022,63050000000.0,8260000000.0,12.9,28330000000.0,182100000000.0,
2021,79020000000.0,22300000000.0,9.75,29250000000.0,168400000000.0,
2020,77860000000.0,25700000000.0,9.04,23890000000.0,153090000000.0,
2019,71960000000.0,24540000000.0,11.0,13120000000.0,136520000000.00002,
2018,70840000000.0,23780000000.0,8.84,11650000000.0,127960000000.0,
2017,62760000000.0,20990000000.0,19.0,14000000000.0,123240000000.0,
2016,59380000000.0,13660000000.0,13.6,17090000000.0,113320000000.0,
2015,55350000000.0,14540000000.0,11.3,25310000000.0,101450000000.0,
2014,55870000000.0,15990000000.0,11.6,14050000000.0,91900000000.0,
2013,52700000000.0,12850000000.0,10.0,20080000000.0,92350000000.0,
2012,53340000000.0,14960000000.0,6.7,18160000000.0,84350000000.0,
2011,53990000000.0,17820000000.0,,14830000000.0,71110000000.0,
2010,43620000000.0,16360000000.0,,21880000000.0,63180000000.0,
2009,35120000000.0,6030000000.0,,13920000000.0,53090000000.0,
2008,37580000000.0,7660000000.0,,8680000000.0,50470000000.0,
2007,38330000000.0,8500000000.0,,12790000000.0,55650000000.0,
2006,35380000000.0,6200000000.0,,10000000000.0,48360000000.0,
2005,38820000000.0,12090000000.0,,12770000000.0,48310000000.0,
2004,34200000000.000004,10130000000.0,,17170000000.000002,48140000000.0,
2003,30140000000.0,7530000000.0,,16160000000.0,47140000000.0,
2002,26760000000.0,4400000000.0,,12580000000.0,44220000000.0,
2001,26530000000.0,2450000000.0,,11550000000.0,44390000000.0,
2000,33720000000.0,10500000000.0,,13820000000.0,,
1999,29380000000.0,10150000000.0,,11780000000.0,,
1998,26270000000.0,8539999999.999999,,7620000000.0,,
1997,25070000000.0,9880000000.0,,9730000000.0,,
1996,20840000000.0,7550000000.0,,7900000000.0,,
