year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,20920000000.0,16.55,6080000000.0,,,,,,,,270000000.0,,5.31,
2025,20120000000.0,14.73,5720000000.0,25.67,4550000000.0,6630000000.0,36950000000.0,19710000000.0,,17240000000.0,270000000.0,4.69,9.58,9.07
2024,17160000000.0,10.42,3950000000.0,21.8,4070000000.0000005,6560000000.0,32130000000.000004,18430000000.0,7.1,13690000000.0,280000000.0,5.05,10.5,9.86
2023,15090000000.0,9.22,3600000000.0,20.8,3660000000.0,6680000000.0,27780000000.0,17260000000.0,3.75,10510000000.0,280000000.0,9.36,9.11,10.3
2022,13680000000.0,6.64,2700000000.0,19.97,3280000000.0,7540000000.0,27730000000.0,16440000000.000002,1.25,11290000000.0,280000000.0,34.02,9.05,6.81
2021,11410000000.0,7.66,2630000000.0,26.53,3870000000.0,2480000000.0,15510000000.0,9860000000.0,4.47,5640000000.0,270000000.0,7.15,16.6,18.7
2020,7710000000.0,7.52,2150000000.0,28.62,7050000000.0,3630000000.0,10930000000.0,5100000000.0,4.26,5820000000.0,260000000.0,6.81,10.5,19.8
2019,7120000000.0,6.08,1970000000.0,27.73,2740000000.0,430000000.0,6280000000.0,3740000000.0,1.35,2530000000.0,260000000.0,23.69,9.67,18.8
2018,6410000000.0,5.66,1760000000.0,25.99,1710000000.0,430000000.0,5130000000.0,2810000000.0,0.7005,2310000000.0,260000000.0,41.36,8.76,18.4
2017,5630000000.0,3.89,1600000000.0,26.75,770000000.0,480000000.0,4059999999.9999995,1350000000.0,5.7,2710000000.0,250000000.0,6.36,7.27,33.5
2016,4850000000.0,3.81,1190000000.0,25.63,1080000000.0,1000000000.0,4250000000.0,1160000000.0,0.3509,3080000000.0,250000000.0,92.76,5.87,31.4
2015,4280000000.0000005,1.52,1110000000.0,16.98,1690000000.0,500000000.0,4960000000.0,2330000000.0,0.4555,2630000000.0,270000000.0,151.67,6.57,24.2
2014,4460000000.0,2.91,1260000000.0,30.64,1910000000.0,490000000.0,5200000000.0,3070000000.0,,2120000000.0,280000000.0,,5.59,8.99
2013,3870000000.0,2.92,1130000000.0,30.03,1660000000.0,490000000.0,5480000000.0,3530000000.0,,1950000000.0,280000000.0,,5.11,9.78
2012,3960000000.0,2.84,1100000000.0,29.88,740000000.0,490000000.0,4680000000.0,2740000000.0,,1940000000.0,290000000.0,,4.32,6.42
2011,4010000000.0,,1130000000.0,30.21,1420000000.0,990000000.0,5110000000.0,2610000000.0,,2490000000.0,300000000.0,,4.12,6.62
2010,3550000000.0,,850000000.0,25.15,1620000000.0,990000000.0,5190000000.0,2820000000.0,,2370000000.0,310000000.0,,4.34,5.86
2009,3200000000.0,,710000000.0,21.0,1340000000.0,990000000.0,4820000000.0,2550000000.0,,2260000000.0,320000000.0,,2.96,4.28
2008,3040000000.0,,650000000.0,23.05,820000000.0,990000000.0,4660000000.0,2069999999.9999998,,2580000000.0,320000000.0,,2.59,3.9
2007,2810000000.0,,630000000.0,26.05,1300000000.0,990000000.0,4250000000.0,2029999999.9999998,,2210000000.0,330000000.0,,3.93,5.65
2006,2390000000.0,,540000000.0,26.87,1190000000.0,15390000.0,2770000000.0,1730000000.0,,1030000000.0,340000000.0,,5.15,5.91
2005,2140000000.0000002,,520000000.0,28.12,990000000.0,17540000.0,2710000000.0,1690000000.0,,1020000000.0,,,3.94,6.28
2004,1880000000.0,,460000000.0,25.06,1010000000.0,16390000.0,2730000000.0,1820000000.0,,900000000.0,,,4.54,5.01
2003,1680000000.0,,420000000.0,24.29,1200000000.0,29260000.0,2790000000.0,1960000000.0,,820000000.0,,,6.2,5.68
2002,1320000000.0,,260000000.0,5.38,1240000000.0,16880000.0,2920000000.0,2210000000.0,,710000000.0,,,8.54,5.0
2001,1260000000.0,,180000000.0,-7.72,1290000000.0,50820000.0,2860000000.0,2160000000.0,,700000000.0,,,6.86,
2000,1130000000.0,,150000000.0,,1690000000.0,3110000.0,,,,,,,,
1999,1010000000.0,,,,1430000000.0,66500000.0,,,,,,,,
1998,740000000.0,,21400000.0,,130000000.0,35600000.0,,,,,,,,
1997,560000000.0,,22200000.0,,46800000.0,36400000.0,,,,,,,,
1996,580000000.0,,13300000.0,,44600000.0,5600000.0,,,,,,,,
