Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,20920000000.0,6080000000.0,,,,
2025,20120000000.0,5720000000.0,,4550000000.0,36950000000.0,
2024,17160000000.0,3950000000.0,7.1,4070000000.0000005,32130000000.000004,
2023,15090000000.0,3600000000.0,3.75,3660000000.0,27780000000.0,
2022,13680000000.0,2700000000.0,1.25,3280000000.0,27730000000.0,
2021,11410000000.0,2630000000.0,4.47,3870000000.0,15510000000.0,
2020,7710000000.0,2150000000.0,4.26,7050000000.0,10930000000.0,
2019,7120000000.0,1970000000.0,1.35,2740000000.0,6280000000.0,
2018,6410000000.0,1760000000.0,0.7005,1710000000.0,5130000000.0,
2017,5630000000.0,1600000000.0,5.7,770000000.0,4059999999.9999995,
2016,4850000000.0,1190000000.0,0.3509,1080000000.0,4250000000.0,
2015,4280000000.0000005,1110000000.0,0.4555,1690000000.0,4960000000.0,
2014,4460000000.0,1260000000.0,,1910000000.0,5200000000.0,
2013,3870000000.0,1130000000.0,,1660000000.0,5480000000.0,
2012,3960000000.0,1100000000.0,,740000000.0,4680000000.0,
2011,4010000000.0,1130000000.0,,1420000000.0,5110000000.0,
2010,3550000000.0,850000000.0,,1620000000.0,5190000000.0,
2009,3200000000.0,710000000.0,,1340000000.0,4820000000.0,
2008,3040000000.0,650000000.0,,820000000.0,4660000000.0,
2007,2810000000.0,630000000.0,,1300000000.0,4250000000.0,
2006,2390000000.0,540000000.0,,1190000000.0,2770000000.0,
2005,2140000000.0000002,520000000.0,,990000000.0,2710000000.0,
2004,1880000000.0,460000000.0,,1010000000.0,2730000000.0,
2003,1680000000.0,420000000.0,,1200000000.0,2790000000.0,
2002,1320000000.0,260000000.0,,1240000000.0,2920000000.0,
2001,1260000000.0,180000000.0,,1290000000.0,2860000000.0,
2000,1130000000.0,150000000.0,,1690000000.0,,
1999,1010000000.0,,,1430000000.0,,
1998,740000000.0,21400000.0,,130000000.0,,
1997,560000000.0,22200000.0,,46800000.0,,
1996,580000000.0,13300000.0,,44600000.0,,
