year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,price_to_sales,price_to_book
2026,16629999999.999998,8.14,2350000000.0,,,,,,,,160000000.0,1.67,
2025,16309999999.999998,7.93,2320000000.0,9.75,2140000000.0000002,,29940000000.0,6630000000.0,28.4,23310000000.0,170000000.0,2.35,5.79
2024,15400000000.0,7.58,2330000000.0,10.83,1840000000.0,14150000000.0,26890000000.0,6060000000.0,25.9,20830000000.0,170000000.0,2.35,5.96
2023,14980000000.0,7.41,2130000000.0,9.74,1490000000.0,13890000000.0,26680000000.0,6110000000.0,31.2,20560000000.0,180000000.0,2.82,6.91
2022,14410000000.0,5.81,1770000000.0,9.46,1300000000.0,13010000000.0,25330000000.0,5760000000.0,35.3,19570000000.0,180000000.0,2.64,6.6
2021,13870000000.0,5.05,1500000000.0,8.13,1470000000.0,12430000000.0,24680000000.0,6040000000.0,55.9,18640000000.0,190000000.0,3.88,8.92
2020,11350000000.0,,780000000.0,3.28,1900000000.0,12900000000.0,24560000000.0,6280000000.0,,18280000000.0,190000000.0,3.02,5.47
2019,11080000000.0,0.98,790000000.0,3.17,890000000.0,12040000000.0,23250000000.0,6260000000.0,158.0,16980000000.0,190000000.0,2.68,4.74
2018,10410000000.0,1.27,740000000.0,3.15,930000000.0,11000000000.0,22540000000.0,6950000000.0,91.5,15590000000.0,190000000.0,2.2,3.3
2017,9750000000.0,6.2,690000000.0,3.03,1000000000.0,10220000000.0,22850000000.0,8240000000.0,15.8,14610000000.0,200000000.0,2.09,2.47
2016,6870000000.0,1.71,620000000.0,6.1,1230000000.0,7200000000.0,21200000000.0,8860000000.0,44.5,12340000000.0,230000000.0,2.72,2.11
2015,5730000000.0,3.15,640000000.0,9.4,970000000.0,2460000000.0,3920000000.0,,21.8,4260000000.0,120000000.0,1.43,-24.4
2014,5450000000.0,2.78,600000000.0,9.18,860000000.0,2280000000.0,3290000000.0,,21.2,3990000000.0,120000000.0,1.34,-10.4
2013,5090000000.0,,440000000.0,6.34,770000000.0,2040000000.0,3060000000.0,,,3730000000.0,120000000.0,1.18,-9.0
2012,4860000000.0,,400000000.0,5.5,560000000.0,2420000000.0,2490000000.0,,,3850000000.0,120000000.0,,
2011,,,,4.27,510000000.0,1970000000.0,2320000000.0,,,3290000000.0,,,
2010,,,,6.16,,,,,,,,,
