year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,16310000000.0,Revenues,0001628280-26-008322,USD,True,1360000000.0,NetIncomeLoss,0001628280-26-008322,USD,True,2654000000.0,NetCashProvidedByUsedInOperatingActivities,0001628280-26-008322,USD,True,603000000.0,PaymentsToAcquireProductiveAssets,0001628280-26-008322,USD,True,2182000000.0,OperatingIncomeLoss,0001628280-26-008322,USD,True,729000000.0,InterestExpense,0001628280-26-008322,USD,True,252000000.0,IncomeTaxExpenseBenefit,0001628280-26-008322,USD,True,0.158,EffectiveIncomeTaxRateContinuingOperations,0001628280-26-008322,pure,True,1591000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001628280-26-008322,USD,True,1980000000.0,CashAndCashEquivalentsAtCarryingValue,0001628280-26-008322,USD,True,,,,,False,,,,,False,6000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001628280-26-008322,USD,True,212000000.0,FinanceLeaseLiabilityNoncurrent,0001628280-26-008322,USD,True,6503000000.0,StockholdersEquity,0001628280-26-008322,USD,True,1980000000.0,218000000.0,2051000000.0,0.1583909490886235,4741000000.0,1836390949.0886233,0.3873425330286065,2182000000.0,False,0.1257510729613734,1.5080882352941176,True,True,IQV,0001478242,ticker:IQV,13
2024,15405000000.0,Revenues,0001478242-25-000045,USD,True,1373000000.0,NetIncomeLoss,0001478242-25-000045,USD,True,2716000000.0,NetCashProvidedByUsedInOperatingActivities,0001478242-25-000045,USD,True,602000000.0,PaymentsToAcquireProductiveAssets,0001478242-25-000045,USD,True,2202000000.0,OperatingIncomeLoss,0001478242-25-000045,USD,True,670000000.0,InterestExpense,0001478242-25-000045,USD,True,301000000.0,IncomeTaxExpenseBenefit,0001478242-25-000045,USD,True,,,,,False,1669000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001478242-25-000045,USD,True,1702000000.0,CashAndCashEquivalentsAtCarryingValue,0001478242-25-000045,USD,True,,,,,False,,,,,False,6000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001478242-25-000045,USD,True,218000000.0,FinanceLeaseLiabilityNoncurrent,0001478242-25-000045,USD,True,6067000000.0,StockholdersEquity,0001478242-25-000045,USD,True,1702000000.0,224000000.0,2114000000.0,0.18034751348112643,4589000000.0,1804874775.3145597,0.39330459257235995,2202000000.0,False,0.13722817267121065,1.5396941005098326,True,True,IQV,0001478242,ticker:IQV,13
2023,14984000000.0,Revenues,0001478242-24-000038,USD,True,1358000000.0,NetIncomeLoss,0001478242-24-000038,USD,True,2149000000.0,NetCashProvidedByUsedInOperatingActivities,0001478242-24-000038,USD,True,649000000.0,PaymentsToAcquireProductiveAssets,0001478242-24-000038,USD,True,1977000000.0,OperatingIncomeLoss,0001478242-24-000038,USD,True,672000000.0,InterestExpense,0001478242-24-000038,USD,True,101000000.0,IncomeTaxExpenseBenefit,0001478242-24-000038,USD,True,,,,,False,1459000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001478242-24-000038,USD,True,1376000000.0,CashAndCashEquivalentsAtCarryingValue,0001478242-24-000038,USD,True,,,,,False,,,,,False,0.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001478242-24-000038,USD,True,228000000.0,FinanceLeaseLiabilityNoncurrent,0001478242-24-000038,USD,True,6112000000.0,StockholdersEquity,0001478242-24-000038,USD,True,1376000000.0,228000000.0,1500000000.0,0.06922549691569568,4964000000.0,1840141192.5976696,0.3706972587827699,1977000000.0,False,0.100106780565937,1.1045655375552283,True,True,IQV,0001478242,ticker:IQV,13
2022,14410000000.0,Revenues,0001478242-23-000044,USD,True,1091000000.0,NetIncomeLoss,0001478242-23-000044,USD,True,2260000000.0,NetCashProvidedByUsedInOperatingActivities,0001478242-23-000044,USD,True,674000000.0,PaymentsToAcquireProductiveAssets,0001478242-23-000044,USD,True,1799000000.0,OperatingIncomeLoss,0001478242-23-000044,USD,True,416000000.0,InterestExpense,0001478242-23-000044,USD,True,260000000.0,IncomeTaxExpenseBenefit,0001478242-23-000044,USD,True,,,,,False,1363000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001478242-23-000044,USD,True,1216000000.0,CashAndCashEquivalentsAtCarryingValue,0001478242-23-000044,USD,True,,,,,False,,,,,False,5000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001478242-23-000044,USD,True,224000000.0,FinanceLeaseLiabilityNoncurrent,0001478242-23-000044,USD,True,5765000000.0,StockholdersEquity,0001478242-23-000044,USD,True,1216000000.0,229000000.0,1586000000.0,0.19075568598679385,4778000000.0,1455830520.9097579,0.3046945418396312,1799000000.0,False,0.11006245662734213,1.453712190650779,True,True,IQV,0001478242,ticker:IQV,13
2021,13874000000.0,Revenues,0001478242-22-000041,USD,True,966000000.0,NetIncomeLoss,0001478242-22-000041,USD,True,2942000000.0,NetCashProvidedByUsedInOperatingActivities,0001478242-22-000041,USD,True,640000000.0,PaymentsToAcquireProductiveAssets,0001478242-22-000041,USD,True,1393000000.0,OperatingIncomeLoss,0001478242-22-000041,USD,True,375000000.0,InterestExpense,0001478242-22-000041,USD,True,163000000.0,IncomeTaxExpenseBenefit,0001478242-22-000041,USD,True,,,,,False,1128000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001478242-22-000041,USD,True,1366000000.0,CashAndCashEquivalentsAtCarryingValue,0001478242-22-000041,USD,True,,,,,False,,,,,False,9000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001478242-22-000041,USD,True,177000000.0,FinanceLeaseLiabilityNoncurrent,0001478242-22-000041,USD,True,6042000000.0,StockholdersEquity,0001478242-22-000041,USD,True,1366000000.0,186000000.0,2302000000.0,0.14450354609929078,4862000000.0,1191706560.283688,0.2451062444022394,1393000000.0,False,0.16592186824275623,2.383022774327122,True,True,IQV,0001478242,ticker:IQV,13
2020,11359000000.0,Revenues,0001478242-21-000020,USD,True,279000000.0,NetIncomeLoss,0001478242-21-000020,USD,True,1959000000.0,NetCashProvidedByUsedInOperatingActivities,0001478242-21-000020,USD,True,616000000.0,PaymentsToAcquireProductiveAssets,0001478242-21-000020,USD,True,731000000.0,OperatingIncomeLoss,0001478242-21-000020,USD,True,416000000.0,InterestExpense,0001478242-21-000020,USD,True,72000000.0,IncomeTaxExpenseBenefit,0001478242-21-000020,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0001478242-21-000020,pure,True,373000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001478242-21-000020,USD,True,1814000000.0,CashAndCashEquivalentsAtCarryingValue,0001478242-21-000020,USD,True,,,,,False,,,,,False,149000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001478242-21-000020,USD,True,122000000.0,FinanceLeaseLiabilityNoncurrent,0001478242-21-000020,USD,True,6001000000.0,StockholdersEquity,0001478242-21-000020,USD,True,1814000000.0,271000000.0,1343000000.0,0.19302949061662197,4458000000.0,589895442.3592494,0.13232288971719366,731000000.0,False,0.11823223875341139,4.813620071684587,True,True,IQV,0001478242,ticker:IQV,13
2019,11088000000.0,Revenues,0001564590-20-004901,USD,True,191000000.0,NetIncomeLoss,0001564590-20-004901,USD,True,1417000000.0,NetCashProvidedByUsedInOperatingActivities,0001564590-20-004901,USD,True,582000000.0,PaymentsToAcquireProductiveAssets,0001564590-20-004901,USD,True,777000000.0,OperatingIncomeLoss,0001564590-20-004901,USD,True,447000000.0,InterestExpense,0001564590-20-004901,USD,True,116000000.0,IncomeTaxExpenseBenefit,0001564590-20-004901,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0001564590-20-004901,pure,True,352000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001564590-20-004901,USD,True,837000000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-20-004901,USD,True,,,,,False,,,,,False,100000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001564590-20-004901,USD,True,11545000000.0,FinanceLeaseLiabilityNoncurrent,0001564590-20-004901,USD,True,6003000000.0,StockholdersEquity,0001564590-20-004901,USD,True,837000000.0,11645000000.0,835000000.0,0.32954545454545453,16811000000.0,520943181.8181818,0.03098823281293093,777000000.0,False,0.07530663780663781,4.371727748691099,True,True,IQV,0001478242,ticker:IQV,13
2018,10412000000.0,Revenues,0001564590-19-003180,USD,True,259000000.0,NetIncomeLoss,0001564590-19-003180,USD,True,1254000000.0,NetCashProvidedByUsedInOperatingActivities,0001564590-19-003180,USD,True,459000000.0,PaymentsToAcquireProductiveAssets,0001564590-19-003180,USD,True,741000000.0,OperatingIncomeLoss,0001564590-19-003180,USD,True,414000000.0,InterestExpense,0001564590-19-003180,USD,True,59000000.0,IncomeTaxExpenseBenefit,0001564590-19-003180,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0001564590-19-003180,pure,True,328000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001564590-19-003180,USD,True,891000000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-19-003180,USD,True,,,,,False,,,,,False,100000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001564590-19-003180,USD,True,10907000000.0,FinanceLeaseLiabilityNoncurrent,0001564590-19-003180,USD,True,6714000000.0,StockholdersEquity,0001564590-19-003180,USD,True,891000000.0,11007000000.0,795000000.0,0.1798780487804878,16830000000.0,607710365.8536586,0.03610875614103735,741000000.0,False,0.0763542066845947,3.0694980694980694,True,True,IQV,0001478242,ticker:IQV,13
2017,9739000000.0,Revenues,0001564590-18-002340,USD,True,1309000000.0,NetIncomeLoss,0001564590-18-002340,USD,True,,,,,False,369000000.0,PaymentsToAcquireProductiveAssets,0001564590-18-002340,USD,True,719000000.0,OperatingIncomeLoss,0001564590-18-002340,USD,True,346000000.0,InterestExpense,0001564590-18-002340,USD,True,-987000000.0,IncomeTaxExpenseBenefit,0001564590-18-002340,USD,True,0.35,EffectiveIncomeTaxRateContinuingOperations,0001564590-18-002340,pure,True,331000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001564590-18-002340,USD,True,959000000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-18-002340,USD,True,46000000.0,ShortTermInvestments,0001564590-18-002340,USD,True,10269000000.0,LongTermDebt,0001564590-18-002340,USD,True,103000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001564590-18-002340,USD,True,10122000000.0,FinanceLeaseLiabilityNoncurrent,0001564590-18-002340,USD,True,8109000000.0,StockholdersEquity,0001564590-18-002340,USD,True,1005000000.0,10269000000.0,,-2.9818731117824773,17373000000.0,2862966767.371601,0.164794034845542,719000000.0,False,,,True,False,IQV,0001478242,ticker:IQV,13
2016,6878000000.0,Revenues,0001193125-17-046709,USD,True,115000000.0,NetIncomeLoss,0001193125-17-046709,USD,True,,,,,False,164000000.0,PaymentsToAcquireProductiveAssets,0001193125-17-046709,USD,True,642000000.0,OperatingIncomeLoss,0001193125-17-046709,USD,True,144000000.0,InterestExpense,0001193125-17-046709,USD,True,345000000.0,IncomeTaxExpenseBenefit,0001193125-17-046709,USD,True,0.35,EffectiveIncomeTaxRateContinuingOperations,0001193125-17-046709,pure,True,479000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001193125-17-046709,USD,True,1198000000.0,CashAndCashEquivalentsAtCarryingValue,0001193125-17-046709,USD,True,40000000.0,ShortTermInvestments,0001193125-17-046709,USD,True,7219000000.0,LongTermDebt,0001193125-17-046709,USD,True,92000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001193125-17-046709,USD,True,7108000000.0,FinanceLeaseLiabilityNoncurrent,0001193125-17-046709,USD,True,8633000000.0,StockholdersEquity,0001193125-17-046709,USD,True,1238000000.0,7219000000.0,,0.7202505219206681,14614000000.0,179599164.92693108,0.012289528187144592,642000000.0,False,,,True,False,IQV,0001478242,ticker:IQV,13
