year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,7780000000.0,1.5,910000000.0,,,,,,,,390000000.0,0.09,4.03,
2025,7650000000.0,1.47,930000000.0,15.54,1240000000.0,4840000000.0,18290000000.0,10150000000.0,53.9,8140000000.000001,390000000.0,0.1,4.14,3.12
2024,7230000000.0,2.08,1130000000.0,18.6,1540000000.0,4810000000.0,18000000000.0,10240000000.0,43.5,7760000000.0,400000000.0,0.09,5.1,3.6
2023,6870000000.0,1.92,1030000000.0,17.27,1590000000.0,2760000000.0,15560000000.0,9840000000.0,40.2,5710000000.0,400000000.0,0.1,4.55,3.18
2022,5910000000.0,1.49,740000000.0,14.29,1610000000.0,2790000000.0,14760000000.0,9250000000.0,35.0,5500000000.0,400000000.0,0.15,3.58,2.29
2021,5150000000.0,1.37,510000000.0,11.66,2100000000.0,3470000000.0,15150000000.0,9070000000.0,45.0,6080000000.0,400000000.0,0.03,4.89,2.78
2020,4350000000.0,-0.13,,1.65,1750000000.0,3940000000.0,16050000000.0,9180000000.0,-349.0,6860000000.0,410000000.0,0.0,4.37,2.07
2019,2450000000.0,0.78,190000000.0,9.84,500000000.0,1620000000.0,4620000000.0,1860000000.0,46.8,2750000000.0,200000000.0,5.81,3.07,4.02
2018,2680000000.0,1.34,340000000.0,16.7,220000000.0,1670000000.0,4480000000.0,1670000000.0,14.1,2810000000.0,200000000.0,0.0,1.51,2.42
2017,2370000000.0,-0.01742,,1.18,390000000.0,2040000000.0,4620000000.0,1470000000.0,,3140000000.0,200000000.0,0.0,2.8,4.5
2016,1930000000.0,,,5.52,250000000.0,2770000000.0,4310000000.0,270000000.0,,4040000000.0,180000000.0,,,
2015,,,,-9.58,220000000.0,2790000000.0,4460000000.0,400000000.0,,4050000000.0,,,,
2014,,,,2.0,,,,,,,,,,
