Year,revenue,net_income,pe_ratio,cash,total_assets
2026,10580000000.0,3220000000.0,,,
2025,10060000000.0,2940000000.0,70.7,5930000000.0,20450000000.0
2024,8350000000.0,2340000000.0,79.9,4010000000.0,18740000000.0
2023,7120000000.0,1760000000.0,66.0,5220000000.0,15440000000.0
2022,6220000000.0,1570000000.0,71.3,4110000000.0000005,12970000000.0
2021,5710000000.0,1820000000.0,75.1,4230000000.0000005,13550000000.0
2020,4350000000.0,1040000000.0,90.3,5170000000.0,11160000000.0
2019,4470000000.0,1370000000.0,49.4,3220000000.0,9730000000.0
2018,3720000000.0,1190000000.0,,3060000000.0,7840000000.0
2017,3130000000.0,1060000000.0,61.7,1960000000.0,5770000000.0
2016,2700000000.0,940000000.0,33.1,2550000000.0,6480000000.0
2015,2380000000.0,740000000.0,34.4,1550000000.0,4900000000.0
2014,2130000000.0,540000000.0,,1230000000.0,3950000000.0
2013,2260000000.0,850000000.0,22.6,1400000000.0,3950000000.0
2012,2170000000.0,870000000.0,29.8,1320000000.0,4050000000.0
2011,1750000000.0,690000000.0,,1020000000.0,3060000000.0
2010,1410000000.0,550000000.0,,910000000.0,2390000000.0
2009,1050000000.0,370000000.0,,550000000.0,1800000000.0
2008,870000000.0,310000000.0,,450000000.0,1470000000.0
2007,600000000.0,200000000.0,,420000000.0,1030000000.0
2006,370000000.0,100000000.0,,230000000.0,670000000.0
2005,220000000.0,68770000.0,,120000000.0,500000000.0
2004,130000000.0,21180000.0,,130000000.0,350000000.0
2003,91670000.0,,,110000000.0,310000000.0
2002,72020000.0,,,50830000.0,91580000.0
2001,51670000.0,,,66660000.0,100000000.0
2000,26620000.0,,,89440000.0,
1999,,,,26260000.0,
