year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,16219999999.999998,10.79,4330000000.0,,,,,,,,280000000.0,2.26,4.6,
2025,16040000000.0,10.52,4250000000.0,24.72,850000000.0,9210000000.0,16140000000.0,3220000000.0,23.4,12920000000.0,280000000.0,2.53,4.53,22.5
2024,15890000000.0,11.76,4700000000.0,27.81,940000000.0,8070000000.0,15060000000.0,3310000000.0,21.3,11750000000.0,290000000.0,2.32,4.77,22.8
2023,16100000000.000002,9.77,4080000000.0,23.74,1060000000.0,8369999999.999999,15510000000.0,3010000000.0,25.9,12500000000.0,300000000.0,2.14,4.89,26.2
2022,15930000000.0,9.81,4040000000.0,24.11,700000000.0,7940000000.0,15420000000.0,3080000000.0,21.2,12330000000.0,300000000.0,2.43,4.25,21.9
2021,14450000000.0,8.55,3520000000.0,23.01,1520000000.0,7880000000.0,16070000000.0,3620000000.0,26.6,12450000000.0,310000000.0,2.08,5.36,21.4
2020,12570000000.0,6.66,2910000000.0,21.5,2560000000.0,8310000000.000001,15610000000.0,3180000000.0,27.6,12430000000.0,310000000.0,2.4,5.13,20.3
2019,14100000000.0,7.79,3500000000.0,23.3,1980000000.0,7930000000.0,15060000000.0,3030000000.0,20.3,12030000000.0,320000000.0,2.62,4.07,19.0
2018,14760000000.0,7.65,3650000000.0,22.98,1500000000.0,7380000000.0,14870000000.0,3250000000.0,14.2,11610000000.0,320000000.0,3.28,2.81,12.8
2017,14310000000.0,4.89,3530000000.0,22.84,3090000000.0,8320000000.0,16780000000.000002,4580000000.0,28.5,12190000000.0,340000000.0,2.05,3.99,12.5
2016,13590000000.0,5.73,3140000000.0,21.38,2470000000.0,7820000000.0,15200000000.0,4250000000.0,17.5,10940000000.0,340000000.0,2.39,3.16,10.1
2015,13400000000.0,5.17,2940000000.0,20.28,3090000000.0,7420000000.0,15720000000.0,5220000000.0,14.4,10500000000.0,360000000.0,2.79,2.51,6.45
2014,14480000000.0,7.33,2940000000.0,18.63,3990000000.0,7410000000.0,17460000000.0,6820000000.0,10.1,10640000000.0,380000000.0,2.44,2.5,5.31
2013,14130000000.0,3.76,2580000000.0,16.6,3610000000.0,6340000000.0,19960000000.0,9700000000.0,17.1,10250000000.0,430000000.0,2.48,2.56,3.73
2012,16770000000.0,6.13,3670000000.0,21.68,2770000000.0,5040000000.0,19300000000.0,10570000000.0,7.44,8730000000.0,450000000.0,3.25,1.65,2.62
2011,17780000000.0,4.2,2780000000.0,15.32,1170000000.0,3990000000.0,17980000000.0,10030000000.0,8.13,7950000000.0,480000000.0,4.1,1.27,2.25
2010,15770000000.0,3.11,2370000000.0,13.55,1190000000.0,2820000000.0,16250000000.0,9380000000.0,12.2,6860000000.0,490000000.0,3.43,1.68,2.83
2009,13870000000.0,,1370000000.0,8.75,1310000000.0,3120000000.0,16079999999.999998,8810000000.0,,7260000000.0,500000000.0,3.74,1.74,2.73
2008,16520000000.0,,2350000000.0,13.75,740000000.0,3680000000.0,15200000000.0,7670000000.0,,7520000000.0,510000000.0,5.03,1.08,2.33
2007,15770000000.0,,2570000000.0,16.17,820000000.0,2290000000.0,15520000000.0,9350000000.0,,6170000000.0,540000000.0,2.81,1.8,3.04
2006,14050000000.0,,2400000000.0,17.32,590000000.0,1410000000.0,13880000000.0,9010000000.0,,4860000000.0,560000000.0,3.09,1.84,2.86
2005,12850000000.0,,7230000000.0,17.06,370000000.0,1210000000.0,11440000000.0,7540000000.0,,3890000000.0,,2.21,1.92,3.27
2004,11730000000.0,,2049999999.9999998,17.26,660000000.0,1120000000.0,11350000000.0,7620000000.0,,3720000000.0,,1.81,2.29,3.52
2003,10030000000.0,,1630000000.0,15.71,1680000000.0,970000000.0,11190000000.0,7870000000.0,,3310000000.0,,1.83,2.58,3.29
2002,9460000000.0,,1500000000.0,15.14,1050000000.0,1580000000.0,10620000000.0,6640000000.0,,3970000000.0,,2.28,2.1,2.99
2001,9100000000.0,,1300000000.0,13.25,280000000.0,1580000000.0,9820000000.0,6040000000.0,,3780000000.0,,2.08,2.27,
2000,9980000000.0,,1560000000.0,,150000000.0,1970000000.0,,,,,,2.17,,
1999,11480000000.0,,1670000000.0,,230000000.0,1910000000.0,,,,,,1.69,,
1998,5640000000.0,,1070000000.0000001,,100000000.0,1630000000.0,,,,,,1.62,,
1997,5220000000.0,,920000000.0,,180000000.0,1150000000.0,,,,,,1.33,,
1996,4990000000.0,,800000000.0,,130000000.0,1200000000.0,,,,,,1.6,,
1995,,,,,,,,,,,,1.95,,
1994,,,,,,,,,,,,2.86,,
1993,,,,,,,,,,,,2.32,,
1992,,,,,,,,,,,,2.58,,
1991,,,,,,,,,,,,2.38,,
1990,,,,,,,,,,,,2.63,,
1989,,,,,,,,,,,,2.35,,
1988,,,,,,,,,,,,2.51,,
1987,,,,,,,,,,,,2.07,,
1986,,,,,,,,,,,,0.0,,
1985,,,,,,,,,,,,0.0,,
1984,,,,,,,,,,,,0.0,,
1983,,,,,,,,,,,,0.0,,
1982,,,,,,,,,,,,0.0,,
1981,,,,,,,,,,,,0.0,,
1980,,,,,,,,,,,,0.0,,
1979,,,,,,,,,,,,0.0,,
1978,,,,,,,,,,,,0.0,,
1977,,,,,,,,,,,,0.0,,
1976,,,,,,,,,,,,0.0,,
1975,,,,,,,,,,,,0.0,,
1974,,,,,,,,,,,,0.0,,
1973,,,,,,,,,,,,0.0,,
