Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,16219999999.999998,4330000000.0,,,,
2025,16040000000.0,4250000000.0,23.4,850000000.0,16140000000.0,
2024,15890000000.0,4700000000.0,21.3,940000000.0,15060000000.0,
2023,16100000000.000002,4080000000.0,25.9,1060000000.0,15510000000.0,
2022,15930000000.0,4040000000.0,21.2,700000000.0,15420000000.0,
2021,14450000000.0,3520000000.0,26.6,1520000000.0,16070000000.0,
2020,12570000000.0,2910000000.0,27.6,2560000000.0,15610000000.0,
2019,14100000000.0,3500000000.0,20.3,1980000000.0,15060000000.0,
2018,14760000000.0,3650000000.0,14.2,1500000000.0,14870000000.0,
2017,14310000000.0,3530000000.0,28.5,3090000000.0,16780000000.000002,
2016,13590000000.0,3140000000.0,17.5,2470000000.0,15200000000.0,
2015,13400000000.0,2940000000.0,14.4,3090000000.0,15720000000.0,
2014,14480000000.0,2940000000.0,10.1,3990000000.0,17460000000.0,
2013,14130000000.0,2580000000.0,17.1,3610000000.0,19960000000.0,
2012,16770000000.0,3670000000.0,7.44,2770000000.0,19300000000.0,
2011,17780000000.0,2780000000.0,8.13,1170000000.0,17980000000.0,
2010,15770000000.0,2370000000.0,12.2,1190000000.0,16250000000.0,
2009,13870000000.0,1370000000.0,,1310000000.0,16079999999.999998,
2008,16520000000.0,2350000000.0,,740000000.0,15200000000.0,
2007,15770000000.0,2570000000.0,,820000000.0,15520000000.0,
2006,14050000000.0,2400000000.0,,590000000.0,13880000000.0,
2005,12850000000.0,7230000000.0,,370000000.0,11440000000.0,
2004,11730000000.0,2049999999.9999998,,660000000.0,11350000000.0,
2003,10030000000.0,1630000000.0,,1680000000.0,11190000000.0,
2002,9460000000.0,1500000000.0,,1050000000.0,10620000000.0,
2001,9100000000.0,1300000000.0,,280000000.0,9820000000.0,
2000,9980000000.0,1560000000.0,,150000000.0,,
1999,11480000000.0,1670000000.0,,230000000.0,,
1998,5640000000.0,1070000000.0000001,,100000000.0,,
1997,5220000000.0,920000000.0,,180000000.0,,
1996,4990000000.0,800000000.0,,130000000.0,,
