year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,16044000000.0,Revenues,0000049826-26-000008,USD,True,3066000000.0,ProfitLoss,0000049826-26-000008,USD,True,3126000000.0,NetCashProvidedByUsedInOperatingActivities,0000049826-26-000008,USD,True,419000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000049826-26-000008,USD,True,4216000000.0,OperatingIncomeLoss,0000049826-26-000008,USD,True,,,,,False,900000000.0,IncomeTaxExpenseBenefit,0000049826-26-000008,USD,True,0.227,EffectiveIncomeTaxRateContinuingOperations,0000049826-26-000008,pure,True,2384000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0000049826-26-000008,USD,True,851000000.0,CashAndCashEquivalentsAtCarryingValue,0000049826-26-000008,USD,True,,,,,False,7682000000.0,LongTermDebt,0000049826-26-000008,USD,True,2286000000.0,DebtCurrent,0000049826-26-000008,USD,True,6683000000.0,LongTermDebtNoncurrent,0000049826-26-000008,USD,True,3226000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000049826-26-000008,USD,True,851000000.0,7682000000.0,2707000000.0,0.3775167785234899,10057000000.0,2624389261.744967,0.26095150260962185,4216000000.0,False,0.168723510346547,0.8829093281148076,True,True,ITW,0000049826,ticker:ITW,24
2024,15898000000.0,Revenues,0000049826-25-000007,USD,True,3488000000.0,ProfitLoss,0000049826-25-000007,USD,True,3281000000.0,NetCashProvidedByUsedInOperatingActivities,0000049826-25-000007,USD,True,437000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000049826-25-000007,USD,True,4264000000.0,OperatingIncomeLoss,0000049826-25-000007,USD,True,,,,,False,934000000.0,IncomeTaxExpenseBenefit,0000049826-25-000007,USD,True,0.211,EffectiveIncomeTaxRateContinuingOperations,0000049826-25-000007,pure,True,2603000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0000049826-25-000007,USD,True,948000000.0,CashAndCashEquivalentsAtCarryingValue,0000049826-25-000007,USD,True,,,,,False,7085000000.0,LongTermDebt,0000049826-25-000007,USD,True,1555000000.0,DebtCurrent,0000049826-25-000007,USD,True,6308000000.0,LongTermDebtNoncurrent,0000049826-25-000007,USD,True,3317000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000049826-25-000007,USD,True,948000000.0,7085000000.0,2844000000.0,0.35881674990395696,9454000000.0,2734005378.409528,0.28919032985080684,4264000000.0,False,0.1788904264687382,0.8153669724770642,True,True,ITW,0000049826,ticker:ITW,24
2023,16107000000.0,Revenues,0000049826-24-000008,USD,True,2957000000.0,ProfitLoss,0000049826-24-000008,USD,True,3539000000.0,NetCashProvidedByUsedInOperatingActivities,0000049826-24-000008,USD,True,455000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000049826-24-000008,USD,True,4040000000.0,OperatingIncomeLoss,0000049826-24-000008,USD,True,266000000.0,InterestExpense,0000049826-24-000008,USD,True,866000000.0,IncomeTaxExpenseBenefit,0000049826-24-000008,USD,True,0.226,EffectiveIncomeTaxRateContinuingOperations,0000049826-24-000008,pure,True,3823000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0000049826-24-000008,USD,True,1065000000.0,CashAndCashEquivalentsAtCarryingValue,0000049826-24-000008,USD,True,,,,,False,7700000000.0,LongTermDebt,0000049826-24-000008,USD,True,1825000000.0,DebtCurrent,0000049826-24-000008,USD,True,6339000000.0,LongTermDebtNoncurrent,0000049826-24-000008,USD,True,3013000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000049826-24-000008,USD,True,1065000000.0,7700000000.0,3084000000.0,0.22652367250850117,9648000000.0,3124844363.065655,0.3238851951767885,4040000000.0,False,0.1914695474017508,1.0429489347311465,True,True,ITW,0000049826,ticker:ITW,24
2022,15932000000.0,Revenues,0000049826-23-000008,USD,True,3034000000.0,ProfitLoss,0000049826-23-000008,USD,True,2348000000.0,NetCashProvidedByUsedInOperatingActivities,0000049826-23-000008,USD,True,412000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000049826-23-000008,USD,True,3790000000.0,OperatingIncomeLoss,0000049826-23-000008,USD,True,203000000.0,InterestExpense,0000049826-23-000008,USD,True,808000000.0,IncomeTaxExpenseBenefit,0000049826-23-000008,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0000049826-23-000008,pure,True,3842000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0000049826-23-000008,USD,True,708000000.0,CashAndCashEquivalentsAtCarryingValue,0000049826-23-000008,USD,True,,,,,False,6708000000.0,LongTermDebt,0000049826-23-000008,USD,True,1590000000.0,DebtCurrent,0000049826-23-000008,USD,True,6173000000.0,LongTermDebtNoncurrent,0000049826-23-000008,USD,True,3089000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000049826-23-000008,USD,True,708000000.0,6708000000.0,1936000000.0,0.21030713170223841,9089000000.0,2992935970.848516,0.3292921081360453,3790000000.0,False,0.12151644489078584,0.6381015161502966,True,True,ITW,0000049826,ticker:ITW,24
2021,14455000000.0,Revenues,0000049826-22-000006,USD,True,2694000000.0,ProfitLoss,0000049826-22-000006,USD,True,2557000000.0,NetCashProvidedByUsedInOperatingActivities,0000049826-22-000006,USD,True,296000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000049826-22-000006,USD,True,3477000000.0,OperatingIncomeLoss,0000049826-22-000006,USD,True,202000000.0,InterestExpense,0000049826-22-000006,USD,True,632000000.0,IncomeTaxExpenseBenefit,0000049826-22-000006,USD,True,0.19,EffectiveIncomeTaxRateContinuingOperations,0000049826-22-000006,pure,True,3326000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0000049826-22-000006,USD,True,1527000000.0,CashAndCashEquivalentsAtCarryingValue,0000049826-22-000006,USD,True,,,,,False,7477000000.0,LongTermDebt,0000049826-22-000006,USD,True,778000000.0,DebtCurrent,0000049826-22-000006,USD,True,6909000000.0,LongTermDebtNoncurrent,0000049826-22-000006,USD,True,3626000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000049826-22-000006,USD,True,1527000000.0,7477000000.0,2261000000.0,0.1900180396873121,9576000000.0,2816307276.007216,0.2941005927325831,3477000000.0,False,0.15641646489104116,0.8392724573125464,True,True,ITW,0000049826,ticker:ITW,24
2020,12574000000.0,Revenues,0000049826-21-000007,USD,True,2109000000.0,ProfitLoss,0000049826-21-000007,USD,True,2807000000.0,NetCashProvidedByUsedInOperatingActivities,0000049826-21-000007,USD,True,236000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000049826-21-000007,USD,True,2882000000.0,OperatingIncomeLoss,0000049826-21-000007,USD,True,206000000.0,InterestExpense,0000049826-21-000007,USD,True,595000000.0,IncomeTaxExpenseBenefit,0000049826-21-000007,USD,True,0.22,EffectiveIncomeTaxRateContinuingOperations,0000049826-21-000007,pure,True,2704000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0000049826-21-000007,USD,True,2564000000.0,CashAndCashEquivalentsAtCarryingValue,0000049826-21-000007,USD,True,,,,,False,8122000000.0,LongTermDebt,0000049826-21-000007,USD,True,350000000.0,DebtCurrent,0000049826-21-000007,USD,True,7772000000.0,LongTermDebtNoncurrent,0000049826-21-000007,USD,True,3182000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000049826-21-000007,USD,True,2564000000.0,8122000000.0,2571000000.0,0.22004437869822485,8740000000.0,2247832100.591716,0.25718902752765627,2882000000.0,False,0.2044695403212979,1.2190611664295874,True,True,ITW,0000049826,ticker:ITW,24
2019,14109000000.0,Revenues,0000049826-20-000020,USD,True,2521000000.0,ProfitLoss,0000049826-20-000020,USD,True,2995000000.0,NetCashProvidedByUsedInOperatingActivities,0000049826-20-000020,USD,True,326000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000049826-20-000020,USD,True,3402000000.0,OperatingIncomeLoss,0000049826-20-000020,USD,True,221000000.0,InterestExpense,0000049826-20-000020,USD,True,767000000.0,IncomeTaxExpenseBenefit,0000049826-20-000020,USD,True,0.233,EffectiveIncomeTaxRateContinuingOperations,0000049826-20-000020,pure,True,3288000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0000049826-20-000020,USD,True,1981000000.0,CashAndCashEquivalentsAtCarryingValue,0000049826-20-000020,USD,True,,,,,False,7758000000.0,LongTermDebt,0000049826-20-000020,USD,True,4000000.0,DebtCurrent,0000049826-20-000020,USD,True,7754000000.0,LongTermDebtNoncurrent,0000049826-20-000020,USD,True,3030000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000049826-20-000020,USD,True,1981000000.0,7758000000.0,2669000000.0,0.23327250608272507,8807000000.0,2608406934.306569,0.2961742857166537,3402000000.0,False,0.1891700333120703,1.058706862356208,True,True,ITW,0000049826,ticker:ITW,24
2018,14768000000.0,Revenues,0000049826-19-000021,USD,True,2563000000.0,ProfitLoss,0000049826-19-000021,USD,True,2811000000.0,NetCashProvidedByUsedInOperatingActivities,0000049826-19-000021,USD,True,364000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000049826-19-000021,USD,True,3584000000.0,OperatingIncomeLoss,0000049826-19-000021,USD,True,257000000.0,InterestExpense,0000049826-19-000021,USD,True,831000000.0,IncomeTaxExpenseBenefit,0000049826-19-000021,USD,True,0.245,EffectiveIncomeTaxRateContinuingOperations,0000049826-19-000021,pure,True,3394000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0000049826-19-000021,USD,True,1504000000.0,CashAndCashEquivalentsAtCarryingValue,0000049826-19-000021,USD,True,,,,,False,7379000000.0,LongTermDebt,0000049826-19-000021,USD,True,1351000000.0,DebtCurrent,0000049826-19-000021,USD,True,6029000000.0,LongTermDebtNoncurrent,0000049826-19-000021,USD,True,3258000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000049826-19-000021,USD,True,1504000000.0,7379000000.0,2447000000.0,0.24484384207424867,9133000000.0,2706479670.0058928,0.2963407062307996,3584000000.0,False,0.16569609967497292,0.9547405384315255,True,True,ITW,0000049826,ticker:ITW,24
2017,14314000000.0,Revenues,0000049826-18-000017,USD,True,1687000000.0,ProfitLoss,0000049826-18-000017,USD,True,2402000000.0,NetCashProvidedByUsedInOperatingActivities,0000049826-18-000017,USD,True,297000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000049826-18-000017,USD,True,3494000000.0,OperatingIncomeLoss,0000049826-18-000017,USD,True,260000000.0,InterestExpense,0000049826-18-000017,USD,True,1583000000.0,IncomeTaxExpenseBenefit,0000049826-18-000017,USD,True,0.484,EffectiveIncomeTaxRateContinuingOperations,0000049826-18-000017,pure,True,3270000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0000049826-18-000017,USD,True,3094000000.0,CashAndCashEquivalentsAtCarryingValue,0000049826-18-000017,USD,True,,,,,False,7479000000.0,LongTermDebt,0000049826-18-000017,USD,True,850000000.0,DebtCurrent,0000049826-18-000017,USD,True,7478000000.0,LongTermDebtNoncurrent,0000049826-18-000017,USD,True,4589000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000049826-18-000017,USD,True,3094000000.0,7479000000.0,2105000000.0,0.4840978593272171,8974000000.0,1802562079.5107033,0.20086495202927382,3494000000.0,False,0.14705882352941177,1.2477771191464138,True,True,ITW,0000049826,ticker:ITW,24
2016,13599000000.0,Revenues,0000049826-17-000022,USD,True,2035000000.0,ProfitLoss,0000049826-17-000022,USD,True,2302000000.0,NetCashProvidedByUsedInOperatingActivities,0000049826-17-000022,USD,True,273000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000049826-17-000022,USD,True,3064000000.0,OperatingIncomeLoss,0000049826-17-000022,USD,True,237000000.0,InterestExpense,0000049826-17-000022,USD,True,873000000.0,IncomeTaxExpenseBenefit,0000049826-17-000022,USD,True,0.3,EffectiveIncomeTaxRateContinuingOperations,0000049826-17-000022,pure,True,2908000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0000049826-17-000022,USD,True,2472000000.0,CashAndCashEquivalentsAtCarryingValue,0000049826-17-000022,USD,True,,,,,False,7827000000.0,LongTermDebt,0000049826-17-000022,USD,True,652000000.0,DebtCurrent,0000049826-17-000022,USD,True,7177000000.0,LongTermDebtNoncurrent,0000049826-17-000022,USD,True,4259000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000049826-17-000022,USD,True,2472000000.0,7827000000.0,2029000000.0,0.3002063273727648,9614000000.0,2144167812.9298484,0.22302556822652886,3064000000.0,False,0.1492021472167071,0.9970515970515971,True,True,ITW,0000049826,ticker:ITW,24
