Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,96360000000.0,25970000000.0,,,,
2025,94190000000.0,33549999999.999996,18.6,20100000000.0,199210000000.0,
2024,88820000000.0,17440000000.0,21.1,24520000000.0,180100000000.0,
2023,85150000000.0,15830000000.0,10.3,22920000000.0,167550000000.0,
2022,91140000000.0,21350000000.0,23.8,22280000000.0,187370000000.0,
2021,93770000000.0,22950000000.0,19.3,31600000000.0,182010000000.0,
2020,82580000000.0,16690000000.000002,24.6,25180000000.0,174890000000.0,
2019,82050000000.0,17640000000.0,18.0,19280000000.0,157720000000.0,
2018,81580000000.0,19000000000.0,18.8,19680000000.0,152950000000.0,
2017,76450000000.0,18600000000.0,242.0,18290000000.0,157300000000.0,
2016,71890000000.0,20520000000.0,15.1,41900000000.0,141200000000.0,
2015,70070000000.0,19740000000.0,14.1,38370000000.0,133410000000.0,
2014,74330000000.0,21090000000.0,13.4,33080000000.0,130350000000.0,
2013,71310000000.0,15950000000.0,13.4,29200000000.0,132680000000.0,
2012,67220000000.0,14300000000.0,12.5,21080000000.0,121340000000.0,
2011,65030000000.0,12930000000.0,,32259999999.999996,113640000000.0,
2010,61580000000.0,17400000000.0,,27650000000.0,102900000000.0,
2009,61890000000.0,16200000000.0,,19420000000.0,94680000000.0,
2008,63740000000.0,17960000000.0,,12800000000.0,84910000000.0,
2007,61090000000.0,15210000000.0,,9310000000.0,80950000000.0,
2006,53320000000.0,13700000000.0,,4080000000.0,70550000000.0,
2005,50510000000.0,12960000000.0,,16129999999.999998,58860000000.0,
2004,47340000000.0,12860000000.0,,12880000000.0,53310000000.0,
2003,41860000000.0,10870000000.0,,9520000000.0,48260000000.0,
2002,36290000000.0,9670000000.0,,7470000000.0,40550000000.0,
2001,32490000000.000004,7880000000.0,,7970000000.0,38480000000.0,
2000,29530000000.0,6580000000.0,,6750000000.0,,
1999,27820000000.0,5980000000.0,,3870000000.0,,
1998,23650000000.0,5040000000.0,,2780000000.0,,
1997,22620000000.0,4620000000.0,,2750000000.0,,
1996,21620000000.0,4300000000.0,,2009999999.9999998,,
