year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,13090000000.0,3.55,5380000000.0,,,,,,,,1300000000.0,0.39,14.7,
2025,12740000000.0,3.46,5230000000.0,38.21,4490000000.0,6080000000.0,16059999999.999998,4690000000.0,352.0,11370000000.0,,0.06,12.5,29.2
2024,10840000000.0,2.39,3690000000.0,32.51,4500000000.0,6810000000.0,15430000000.0,3360000000.0,262.0,12060000000.0,,0.1,7.72,23.4
2023,9670000000.0,1.98,3110000000.0,36.1,3240000000.0,6060000000.0,14070000000.0,2910000000.0,289.0,11150000000.0,,0.09,8.17,26.0
2022,10480000000.0,2.45,4000000000.0,37.88,2700000000.0,6770000000.0,12590000000.0,1390000000.0,150.0,11190000000.0,,0.13,5.1,20.5
2021,8160000000.0,1.96,3040000000.0,34.12,2490000000.0,3540000000.0,10270000000.0,3370000000.0,211.0,6890000000.0,,0.09,7.95,16.0
2020,6070000000.0,0.88,1530000000.0,22.68,1980000000.0,3560000000.0,9270000000.0,2680000000.0,279.0,6590000000.0,,0.14,6.59,13.6
2019,5270000000.0,0.72,1240000000.0,28.37,1730000000.0,3420000000.0,9000000000.0,2670000000.0,231.0,6330000000.0,,0.19,5.29,10.4
2018,4300000000.0,0.92,1610000000.0,36.07,2880000000.0,2230000000.0,5630000000.0,1620000000.0,88.7,4010000000.0,,0.35,3.15,8.48
2017,3790000000.0,0.42,1320000000.0,33.71,3010000000.0,2930000000.0,5530000000.0,1320000000.0,222.0,4200000000.0,,0.24,4.34,13.4
2016,3250000000.0,0.55,1060000000.0,28.76,2490000000.0,3050000000.0,4960000000.0,680000000.0,123.0,4269999999.9999995,,0.31,3.77,12.7
2015,2840000000.0,0.34,660000000.0,15.43,2380000000.0,3190000000.0,4820000000.0,420000000.0,173.0,4400000000.0,,0.35,3.8,29.6
2014,2880000000.0,0.26,510000000.0,25.07,3150000000.0,740000000.0,5530000000.0,3660000000.0,223.0,1860000000.0,,3.23,4.01,19.2
2013,2810000000.0,0.33,680000000.0,24.29,2910000000.0,740000000.0,5280000000.0,3480000000.0,123.0,1800000000.0,,0.42,3.82,3.03
2012,3120000000.0,0.42,900000000.0,30.71,2530000000.0,740000000.0,5100000000.0,3310000000.0,70.7,1780000000.0,,0.51,2.54,2.37
