year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,12156162000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000319201-25-000024,USD,True,4061643000.0,NetIncomeLoss,0000319201-25-000024,USD,True,4081903000.0,NetCashProvidedByUsedInOperatingActivities,0000319201-25-000024,USD,True,335259000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000319201-25-000024,USD,True,,,,,False,,,,,False,582805000.0,IncomeTaxExpenseBenefit,0000319201-25-000024,USD,True,0.125,EffectiveIncomeTaxRateContinuingOperations,0000319201-25-000024,pure,True,4644448000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000319201-25-000024,USD,True,2078908000.0,CashAndCashEquivalentsAtCarryingValue,0000319201-25-000024,USD,True,,,,,False,5884257000.0,LongTermDebt,0000319201-25-000024,USD,True,0.0,LongTermDebtCurrent,0000319201-25-000024,USD,True,,,,,False,4692453000.0,StockholdersEquity,0000319201-25-000024,USD,True,2078908000.0,5884257000.0,3746644000.0,0.12548423407905526,8497802000.0,,,,False,0.3082094496601806,0.9224454241793284,False,True,KLAC,0000319201,ticker:KLAC,24
2024,9812247000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000319201-24-000021,USD,True,2761896000.0,NetIncomeLoss,0000319201-24-000021,USD,True,3308575000.0,NetCashProvidedByUsedInOperatingActivities,0000319201-24-000021,USD,True,277384000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000319201-24-000021,USD,True,,,,,False,,,,,False,428136000.0,IncomeTaxExpenseBenefit,0000319201-24-000021,USD,True,0.134,EffectiveIncomeTaxRateContinuingOperations,0000319201-24-000021,pure,True,3190032000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000319201-24-000021,USD,True,1977129000.0,CashAndCashEquivalentsAtCarryingValue,0000319201-24-000021,USD,True,,,,,False,5880199000.0,LongTermDebt,0000319201-24-000021,USD,True,749936000.0,LongTermDebtCurrent,0000319201-24-000021,USD,True,,,,,False,3368328000.0,StockholdersEquity,0000319201-24-000021,USD,True,1977129000.0,5880199000.0,3031191000.0,0.13421056591281844,7271398000.0,,,,False,0.3089191497115798,1.0975036713909576,False,True,KLAC,0000319201,ticker:KLAC,24
2023,10496056000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000319201-23-000031,USD,True,3387277000.0,NetIncomeLoss,0000319201-23-000031,USD,True,3669805000.0,NetCashProvidedByUsedInOperatingActivities,0000319201-23-000031,USD,True,341591000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000319201-23-000031,USD,True,,,,,False,296940000.0,InterestExpense,0000319201-23-000031,USD,True,401839000.0,IncomeTaxExpenseBenefit,0000319201-23-000031,USD,True,0.106,EffectiveIncomeTaxRateContinuingOperations,0000319201-23-000031,pure,True,3789190000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000319201-23-000031,USD,True,1927865000.0,CashAndCashEquivalentsAtCarryingValue,0000319201-23-000031,USD,True,,,,,False,5890736000.0,LongTermDebt,0000319201-23-000031,USD,True,,,,,False,,,,,False,2919753000.0,StockholdersEquity,0000319201-23-000031,USD,True,1927865000.0,5890736000.0,3328214000.0,0.10604878615218556,6882624000.0,3652800873.4399695,0.530727942342916,4086130000.0,True,0.3170918676500964,0.9825632801805108,True,True,KLAC,0000319201,ticker:KLAC,24
2022,9211883000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000319201-22-000023,USD,True,3321807000.0,NetIncomeLoss,0000319201-22-000023,USD,True,3312702000.0,NetCashProvidedByUsedInOperatingActivities,0000319201-22-000023,USD,True,307320000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000319201-22-000023,USD,True,,,,,False,160339000.0,InterestExpense,0000319201-22-000023,USD,True,167177000.0,IncomeTaxExpenseBenefit,0000319201-22-000023,USD,True,0.048,EffectiveIncomeTaxRateContinuingOperations,0000319201-22-000023,pure,True,3489237000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000319201-22-000023,USD,True,1584908000.0,CashAndCashEquivalentsAtCarryingValue,0000319201-22-000023,USD,True,,,,,False,6660718000.0,LongTermDebt,0000319201-22-000023,USD,True,,,,,False,,,,,False,1401351000.0,StockholdersEquity,0000319201-22-000023,USD,True,1584908000.0,6660718000.0,3005382000.0,0.04791219398395695,6477161000.0,3474716806.728806,0.5364567604122865,3649576000.0,True,0.3262505613673122,0.9047431112042331,True,True,KLAC,0000319201,ticker:KLAC,24
2021,6918734000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000319201-21-000029,USD,True,2078292000.0,NetIncomeLoss,0000319201-21-000029,USD,True,2185026000.0,NetCashProvidedByUsedInOperatingActivities,0000319201-21-000029,USD,True,231628000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000319201-21-000029,USD,True,,,,,False,157328000.0,InterestExpense,0000319201-21-000029,USD,True,283101000.0,IncomeTaxExpenseBenefit,0000319201-21-000029,USD,True,0.12,EffectiveIncomeTaxRateContinuingOperations,0000319201-21-000029,pure,True,2360454000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000319201-21-000029,USD,True,1434610000.0,CashAndCashEquivalentsAtCarryingValue,0000319201-21-000029,USD,True,,,,,False,3422767000.0,LongTermDebt,0000319201-21-000029,USD,True,,,,,False,,,,,False,3377554000.0,StockholdersEquity,0000319201-21-000029,USD,True,1434610000.0,3422767000.0,1953398000.0,0.11993497861004705,5365711000.0,2215811869.6852384,0.41295773657680007,2517782000.0,True,0.28233460052084675,0.9399054608303357,True,True,KLAC,0000319201,ticker:KLAC,24
2020,5806424000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000319201-20-000047,USD,True,1216785000.0,NetIncomeLoss,0000319201-20-000047,USD,True,1778850000.0,NetCashProvidedByUsedInOperatingActivities,0000319201-20-000047,USD,True,152675000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000319201-20-000047,USD,True,,,,,False,160274000.0,InterestExpense,0000319201-20-000047,USD,True,101686000.0,IncomeTaxExpenseBenefit,0000319201-20-000047,USD,True,0.077,EffectiveIncomeTaxRateContinuingOperations,0000319201-20-000047,pure,True,1316711000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000319201-20-000047,USD,True,,,,,False,,,,,False,3469670000.0,LongTermDebt,0000319201-20-000047,USD,True,0.0,LongTermDebtCurrent,0000319201-20-000047,USD,True,3469670000.0,LongTermDebtNoncurrent,0000319201-20-000047,USD,True,2665424000.0,StockholdersEquity,0000319201-20-000047,USD,True,,3469670000.0,1626175000.0,0.07722727310700678,,,,1476985000.0,True,0.2800648040859572,1.3364522080729135,False,True,KLAC,0000319201,ticker:KLAC,24
2019,4568904000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000319201-19-000031,USD,True,1175617000.0,NetIncomeLoss,0000319201-19-000031,USD,True,1152632000.0,NetCashProvidedByUsedInOperatingActivities,0000319201-19-000031,USD,True,130498000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000319201-19-000031,USD,True,,,,,False,124604000.0,InterestExpense,0000319201-19-000031,USD,True,121214000.0,IncomeTaxExpenseBenefit,0000319201-19-000031,USD,True,0.094,EffectiveIncomeTaxRateContinuingOperations,0000319201-19-000031,pure,True,1296231000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000319201-19-000031,USD,True,1015994000.0,CashAndCashEquivalentsAtCarryingValue,0000319201-19-000031,USD,True,,,,,False,3423382000.0,LongTermDebt,0000319201-19-000031,USD,True,249999000.0,LongTermDebtCurrent,0000319201-19-000031,USD,True,3173383000.0,LongTermDebtNoncurrent,0000319201-19-000031,USD,True,2659108000.0,StockholdersEquity,0000319201-19-000031,USD,True,1015994000.0,3423382000.0,1022134000.0,0.09351265322307521,5066496000.0,1287968949.3577921,0.2542129608624564,1420835000.0,True,0.2237153593071774,0.8694447256206741,True,True,KLAC,0000319201,ticker:KLAC,24
2018,4036701000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000319201-18-000045,USD,True,802265000.0,NetIncomeLoss,0000319201-18-000045,USD,True,1229120000.0,NetCashProvidedByUsedInOperatingActivities,0000319201-18-000045,USD,True,66961000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000319201-18-000045,USD,True,,,,,False,114376000.0,InterestExpense,0000319201-18-000045,USD,True,653666000.0,IncomeTaxExpenseBenefit,0000319201-18-000045,USD,True,0.449,EffectiveIncomeTaxRateContinuingOperations,0000319201-18-000045,pure,True,1455931000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000319201-18-000045,USD,True,1404382000.0,CashAndCashEquivalentsAtCarryingValue,0000319201-18-000045,USD,True,,,,,False,2237402000.0,LongTermDebt,0000319201-18-000045,USD,True,0.0,LongTermDebtCurrent,0000319201-18-000045,USD,True,2237402000.0,LongTermDebtNoncurrent,0000319201-18-000045,USD,True,1620511000.0,StockholdersEquity,0000319201-18-000045,USD,True,1404382000.0,2237402000.0,1162159000.0,0.44896770520031515,2453531000.0,865289869.7500087,0.3526712602164019,1570307000.0,True,0.28789821193098025,1.4485974085869382,True,True,KLAC,0000319201,ticker:KLAC,24
2017,3480014000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000319201-17-000034,USD,True,926076000.0,NetIncomeLoss,0000319201-17-000034,USD,True,1079665000.0,NetCashProvidedByUsedInOperatingActivities,0000319201-17-000034,USD,True,38594000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000319201-17-000034,USD,True,,,,,False,122476000.0,InterestExpense,0000319201-17-000034,USD,True,247170000.0,IncomeTaxExpenseBenefit,0000319201-17-000034,USD,True,0.211,EffectiveIncomeTaxRateContinuingOperations,0000319201-17-000034,pure,True,1173246000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000319201-17-000034,USD,True,1153051000.0,CashAndCashEquivalentsAtCarryingValue,0000319201-17-000034,USD,True,,,,,False,2930457000.0,LongTermDebt,0000319201-17-000034,USD,True,249983000.0,LongTermDebtCurrent,0000319201-17-000034,USD,True,2680474000.0,LongTermDebtNoncurrent,0000319201-17-000034,USD,True,1326417000.0,StockholdersEquity,0000319201-17-000034,USD,True,1153051000.0,2930457000.0,1041071000.0,0.2106719306948415,3103823000.0,1022749744.6162186,0.3295129086343579,1295722000.0,True,0.29915712982763865,1.1241744738012862,True,True,KLAC,0000319201,ticker:KLAC,24
2016,2984493000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000319201-16-000090,USD,True,704422000.0,NetIncomeLoss,0000319201-16-000090,USD,True,759696000.0,NetCashProvidedByUsedInOperatingActivities,0000319201-16-000090,USD,True,31741000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000319201-16-000090,USD,True,,,,,False,122887000.0,InterestExpense,0000319201-16-000090,USD,True,153770000.0,IncomeTaxExpenseBenefit,0000319201-16-000090,USD,True,0.179,EffectiveIncomeTaxRateContinuingOperations,0000319201-16-000090,pure,True,858192000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000319201-16-000090,USD,True,1108488000.0,CashAndCashEquivalentsAtCarryingValue,0000319201-16-000090,USD,True,,,,,False,3057936000.0,LongTermDebt,0000319201-16-000090,USD,True,0.0,LongTermDebtCurrent,0000319201-16-000090,USD,True,3057936000.0,LongTermDebtNoncurrent,0000319201-16-000090,USD,True,689114000.0,StockholdersEquity,0000319201-16-000090,USD,True,1108488000.0,3057936000.0,727955000.0,0.17917901821503812,2638562000.0,805290227.9886086,0.30520041901179834,981079000.0,True,0.24391245012134388,1.0334075312809652,True,True,KLAC,0000319201,ticker:KLAC,24
