year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,16550000000.0,6.37,2180000000.0,,,,,,,,330000000.0,4.56,1.98,
2025,16440000000.000002,6.08,2049999999.9999998,14.03,770000000.0,7290000000.0,17090000000.0,1630000000.0,16.6,15460000000.0,330000000.0,5.0,2.05,20.6
2024,18450000000.0,7.57,2680000000.0,16.0,1180000000.0,7530000000.0,16540000000.0,970000000.0,16.8,15570000000.0,330000000.0,3.83,2.38,45.1
2023,20430000000.0,5.23,2020000000.0,11.08,1090000000.0,8109999999.999999,17340000000.0,1060000000.0,21.8,16270000000.0,330000000.0,4.14,2.01,38.4
2022,20170000000.0,5.73,2340000000.0,13.0,420000000.0,8539999999.999999,17970000000.0,700000000.0,21.4,17270000000.0,330000000.0,3.78,2.27,65.4
2021,19440000000.0,5.38,2220000000.0,12.76,270000000.0,8700000000.0,17830000000.0,730000000.0,23.2,17100000000.000002,330000000.0,3.66,2.48,65.3
2020,19140000000.0,6.9,2930000000.0,16.62,300000000.0,8490000000.0,17520000000.0,860000000.0,16.5,16649999999.999998,330000000.0,3.77,2.4,52.8
2019,18450000000.0,6.28,2650000000.0,15.78,440000000.0,7870000000.0,15280000000.0,190000000.0,17.9,15080000000.0,340000000.0,3.66,2.55,242.0
2018,18480000000.0,4.06,1810000000.0,11.23,530000000.0,7450000000.0,14510000000.0,,22.3,14560000000.0,340000000.0,4.43,2.13,-855.0
2017,18320000000.0,6.45,2990000000.0,18.03,610000000.0,7420000000.0,15150000000.0,880000000.0,14.3,14260000000.0,350000000.0,4.21,2.32,48.1
2016,18200000000.0,6.02,3000000000.0,18.2,920000000.0,7570000000.0,14600000000.0,110000000.0,14.1,14480000000.0,350000000.0,4.35,2.25,349.0
2015,18590000000.0,2.78,1330000000.0,8.77,610000000.0,7770000000.0,14840000000.0,40000000.0,33.0,14800000000.0,360000000.0,3.84,2.47,
2014,18550000000.0,4.06,2120000000.0,12.87,780000000.0,6950000000.0,15520000000.0,990000000.0,19.8,14520000000.0,370000000.0,4.04,2.27,42.2
2013,21150000000.0,5.58,2940000000.0,14.94,1050000000.0,5760000000.0,18910000000.0,5140000000.0,12.1,13770000000.0,,4.58,1.88,7.74
2012,21060000000.0,4.43,2420000000.0,12.3,1100000000.0,6180000000.0,19870000000.0,5280000000.0,12.0,14580000000.0,,5.36,1.56,6.22
2011,20840000000.0,,2180000000.0,11.8,760000000.0,6130000000.0,19370000000.0,5520000000.0,,13840000000.0,,6.04,1.39,5.24
2010,19740000000.0,,2550000000.0,14.14,870000000.0,5460000000.0,19860000000.0,6200000000.0,,13660000000.0,,6.92,1.3,4.14
2009,19110000000.0,,2570000000.0,14.91,790000000.0,5400000000.0,19200000000.0,5690000000.0,,13510000000.0,,6.5,1.39,4.67
2008,19410000000.0,,2280000000.0,13.12,360000000.0,5960000000.0,18080000000.0,4280000000.0000005,,13800000000.0,,7.93,1.12,5.1
2007,18260000000.0,,2310000000.0,14.32,470000000.0,5490000000.0,18430000000.0,5700000000.0,,12730000000.0,,5.72,1.6,5.11
2006,16739999999.999998,,1400000000.0,12.55,360000000.0,3600000000.0,17059999999.999998,6520000000.0,,10540000000.0,,5.56,1.85,4.75
2005,15900000000.0,,1960000000.0,14.53,360000000.0,3810000000.0,16300000000.0,5950000000.0,,10350000000.0,,6.01,1.73,4.62
2004,14820000000.0,,2140000000.0000002,16.62,590000000.0,3510000000.0,17010000000.000002,6990000000.0,,10020000000.0,,8.31,2.14,4.54
2003,14340000000.0,,2150000000.0,16.62,290000000.0,3590000000.0,16770000000.0,7060000000.0,,9710000000.0,,4.91,2.07,4.21
2002,13560000000.0,,2290000000.0,17.9,490000000.0,3930000000.0,15630000000.0,5900000000.0,,9730000000.0,,5.54,1.79,4.11
2001,14180000000.0,,2160000000.0,17.6,400000000.0,3660000000.0,15000000000.0,5950000000.0,,9050000000.0,,4.19,2.21,
2000,13980000000.0,,2550000000.0,,200000000.0,3490000000.0,,,,,,3.48,,
1999,13000000000.0,,2440000000.0,,320000000.0,2700000000.0,,,,,,3.69,,
1998,12290000000.0,,1690000000.0,,140000000.0,2700000000.0,,,,,,4.34,,
1997,12540000000.0,,1310000000.0,,90800000.0,2460000000.0,,,,,,4.7,,
1996,13230000000.0,,2100000000.0,,83200000.0,2310000000.0,,,,,,4.76,,
1995,,,,,,,,,,,,5.48,,
1994,,,,,,,,,,,,9.06,,
1993,,,,,,,,,,,,8.79,,
1992,,,,,,,,,,,,7.7,,
1991,,,,,,,,,,,,8.55,,
1990,,,,,,,,,,,,9.54,,
1989,,,,,,,,,,,,10.83,,
1988,,,,,,,,,,,,8.74,,
1987,,,,,,,,,,,,9.43,,
1986,,,,,,,,,,,,10.44,,
1985,,,,,,,,,,,,11.99,,
1984,,,,,,,,,,,,0.0,,
1983,,,,,,,,,,,,0.0,,
1982,,,,,,,,,,,,0.0,,
1981,,,,,,,,,,,,0.0,,
1980,,,,,,,,,,,,0.0,,
