year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,49280000000.0,3.19,18190000000.0,,,,,,,,4300000000.0,2.47,6.61,
2025,47940000000.0,3.05,17650000000.0,33.37,15800000000.0,45490000000.0,104810000000.0,34270000000.000004,22.9,70540000000.0,4300000000.0,2.92,6.2,8.68
2024,47060000000.0,2.47,14740000000.0,27.81,14570000000.0,44520000000.0,100540000000.0,26370000000.0,24.8,74170000000.0,4300000000.0,3.16,5.72,10.2
2023,45750000000.0,2.48,14470000000.0,28.31,13660000000.0,42060000000.0,97700000000.0,27480000000.0,22.7,70220000000.0,4310000000.0,3.26,5.57,9.27
2022,43000000000.0,2.2,12560000000.0,27.17,11630000000.0,39140000000.0,92760000000.0,25820000000.0,26.8,66930000000.00001,4320000000.0,2.98,6.4,10.7
2021,38650000000.0,2.26,14020000000.0,32.14,12620000000.0,42760000000.0,94350000000.0,24860000000.0,23.6,69490000000.0,4320000000.0,3.15,6.62,10.3
2020,33009999999.999996,2.45,11180000000.0,29.53,10910000000.0,42790000000.0,87290000000.0,21280000000.0,19.5,66010000000.00001,4300000000.0,3.43,7.14,11.1
2019,37260000000.0,2.09,11730000000.0,28.94,11170000000.0,42760000000.0,86380000000.0,21090000000.0,22.4,65280000000.0,4280000000.0000005,3.42,6.36,11.2
2018,32880000000.000004,1.5,8860000000.0,23.98,16110000000.0,44210000000.0,83210000000.0,19050000000.0,25.8,64150000000.00001,4260000000.0,4.03,6.15,10.6
2017,35410000000.0,0.29,7580000000.0,19.03,20670000000.0,47680000000.0,87890000000.0,18970000000.0,125.0,68910000000.0,4260000000.0,4.08,5.52,10.3
2016,41860000000.0,1.51,8860000000.0,19.43,22200000000.0,45700000000.0,87270000000.0,23220000000.0,21.0,64050000000.0,4300000000.0,4.41,4.27,7.7
2015,44290000000.0,1.69,10460000000.0,21.68,19900000000.0,44110000000.0,89990000000.0,25760000000.0,18.8,64230000000.00001,4330000000.0,4.15,4.19,7.21
2014,45990000000.0,1.62,9800000000.0,20.27,21670000000.0,41740000000.0,92020000000.0,30560000000.0,18.7,61460000000.0,4370000000.0,4.03,4.01,6.03
2013,46850000000.0,1.93,11940000000.0,24.5,20260000000.0,37070000000.0,90050000000.0,33439999999.999996,14.9,56610000000.0,4410000000.0,3.89,3.88,5.44
2012,48010000000.0,2.0,12200000000.0,24.59,16550000000.0,32610000000.0,86170000000.0,33159999999.999996,12.2,53000000000.0,4470000000.0,4.16,3.37,4.88
