Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,49280000000.0,18190000000.0,,,,
2025,47940000000.0,17650000000.0,22.9,15800000000.0,104810000000.0,
2024,47060000000.0,14740000000.0,24.8,14570000000.0,100540000000.0,
2023,45750000000.0,14470000000.0,22.7,13660000000.0,97700000000.0,
2022,43000000000.0,12560000000.0,26.8,11630000000.0,92760000000.0,
2021,38650000000.0,14020000000.0,23.6,12620000000.0,94350000000.0,
2020,33009999999.999996,11180000000.0,19.5,10910000000.0,87290000000.0,
2019,37260000000.0,11730000000.0,22.4,11170000000.0,86380000000.0,
2018,32880000000.000004,8860000000.0,25.8,16110000000.0,83210000000.0,
2017,35410000000.0,7580000000.0,125.0,20670000000.0,87890000000.0,
2016,41860000000.0,8860000000.0,21.0,22200000000.0,87270000000.0,
2015,44290000000.0,10460000000.0,18.8,19900000000.0,89990000000.0,
2014,45990000000.0,9800000000.0,18.7,21670000000.0,92020000000.0,
2013,46850000000.0,11940000000.0,14.9,20260000000.0,90050000000.0,
2012,48010000000.0,12200000000.0,12.2,16550000000.0,86170000000.0,
2011,46540000000.0,11870000000.0,,14030000000.0,79970000000.0,
2010,35110000000.0,14970000000.0,,11330000000.0,72920000000.0,
2009,30990000000.0,9300000000.0,,9210000000.0,48670000000.0,
2008,31940000000.0,7800000000.0,,4970000000.0,40510000000.0,
2007,28850000000.0,7250000000.0,,4300000000.0,43260000000.0,
2006,24080000000.0,6260000000.0,,2590000000.0,29960000000.0,
2005,23100000000.0,6080000000.0,,4760000000.0,29420000000.0,
2004,21840000000.0,5690000000.0,,6760000000.0,31440000000.0,
2003,21060000000.0,5220000000.0,,3480000000.0,27340000000.0,
2002,19560000000.0,5360000000.0,,2340000000.0,24400000000.0,
2001,19390000000.0,5350000000.0,,1930000000.0,22410000000.0,
2000,20050000000.0,3690000000.0,,1890000000.0,,
1999,19700000000.0,3980000000.0,,1810000000.0,,
1998,18810000000.0,4960000000.0,,1800000000.0,,
1997,18860000000.0,5000000000.0,,1730000000.0,,
1996,18570000000.0,3910000000.0,,1430000000.0,,
