year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,accession_count_from_links
2025,47941000000.0,Revenues,0001628280-26-010047,USD,False,13107000000.0,NetIncomeLoss,0001628280-26-010047,USD,False,7408000000.0,NetCashProvidedByUsedInOperatingActivities,0001628280-26-010047,USD,False,2112000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001628280-26-010047,USD,False,13762000000.0,OperatingIncomeLoss,0001628280-26-010047,USD,False,2861000000.0,IncomeTaxExpenseBenefit,0001628280-26-010047,USD,False,0.179,EffectiveIncomeTaxRateContinuingOperations,0001628280-26-010047,pure,False,15998000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001628280-26-010047,USD,False,10270000000.0,CashAndCashEquivalentsAtCarryingValue,0001628280-26-010047,USD,False,,,,,False,,,,,False,1822000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001628280-26-010047,USD,False,,,,,False,32169000000.0,StockholdersEquity,0001628280-26-010047,USD,False,10270000000.0,1822000000.0,5296000000.0,0.1788348543567946,23721000000.0,11300874734.341793,0.47640802387512304,0.11046911829123297,0.40405889982452126,True,True,KO,0000021344,0
2024,47061000000.0,Revenues,0000021344-25-000011,USD,False,10631000000.0,NetIncomeLoss,0000021344-25-000011,USD,False,6805000000.0,NetCashProvidedByUsedInOperatingActivities,0000021344-25-000011,USD,False,2064000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000021344-25-000011,USD,False,9992000000.0,OperatingIncomeLoss,0000021344-25-000011,USD,False,2437000000.0,IncomeTaxExpenseBenefit,0000021344-25-000011,USD,False,0.186,EffectiveIncomeTaxRateContinuingOperations,0000021344-25-000011,pure,False,13086000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000021344-25-000011,USD,False,10828000000.0,CashAndCashEquivalentsAtCarryingValue,0000021344-25-000011,USD,False,,,,,False,,,,,False,648000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000021344-25-000011,USD,False,,,,,False,24856000000.0,StockholdersEquity,0000021344-25-000011,USD,False,10828000000.0,648000000.0,4741000000.0,0.1862295583065872,14676000000.0,8131194253.40058,0.5540470328018929,0.10074159070143006,0.4459599285109585,True,True,KO,0000021344,0
2023,45754000000.0,Revenues,0000021344-24-000009,USD,False,10714000000.0,NetIncomeLoss,0000021344-24-000009,USD,False,11599000000.0,NetCashProvidedByUsedInOperatingActivities,0000021344-24-000009,USD,False,1852000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000021344-24-000009,USD,False,11311000000.0,OperatingIncomeLoss,0000021344-24-000009,USD,False,2249000000.0,IncomeTaxExpenseBenefit,0000021344-24-000009,USD,False,0.174,EffectiveIncomeTaxRateContinuingOperations,0000021344-24-000009,pure,False,12952000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000021344-24-000009,USD,False,9366000000.0,CashAndCashEquivalentsAtCarryingValue,0000021344-24-000009,USD,False,,,,,False,37507000000.0,LongTermDebt,0000021344-24-000009,USD,False,1960000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000021344-24-000009,USD,False,35547000000.0,LongTermDebtNoncurrent,0000021344-24-000009,USD,False,25941000000.0,StockholdersEquity,0000021344-24-000009,USD,False,9366000000.0,37507000000.0,9747000000.0,0.17364113650401483,54082000000.0,9346945105.003088,0.17282913178142614,0.2130305547055995,0.9097442598469293,True,True,KO,0000021344,0
2022,43004000000.0,Revenues,0000021344-23-000011,USD,False,9542000000.0,NetIncomeLoss,0000021344-23-000011,USD,False,11018000000.0,NetCashProvidedByUsedInOperatingActivities,0000021344-23-000011,USD,False,1484000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000021344-23-000011,USD,False,10909000000.0,OperatingIncomeLoss,0000021344-23-000011,USD,False,2115000000.0,IncomeTaxExpenseBenefit,0000021344-23-000011,USD,False,0.181,EffectiveIncomeTaxRateContinuingOperations,0000021344-23-000011,pure,False,11686000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000021344-23-000011,USD,False,9519000000.0,CashAndCashEquivalentsAtCarryingValue,0000021344-23-000011,USD,False,,,,,False,36776000000.0,LongTermDebt,0000021344-23-000011,USD,False,399000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000021344-23-000011,USD,False,36377000000.0,LongTermDebtNoncurrent,0000021344-23-000011,USD,False,24105000000.0,StockholdersEquity,0000021344-23-000011,USD,False,9519000000.0,36776000000.0,9534000000.0,0.1809857949683382,51362000000.0,8934625962.6904,0.17395401196780497,0.22170030694819087,0.9991616013414378,True,True,KO,0000021344,0
2021,38655000000.0,Revenues,0000021344-22-000009,USD,False,9771000000.0,NetIncomeLoss,0000021344-22-000009,USD,False,12625000000.0,NetCashProvidedByUsedInOperatingActivities,0000021344-22-000009,USD,False,1367000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000021344-22-000009,USD,False,10308000000.0,OperatingIncomeLoss,0000021344-22-000009,USD,False,2621000000.0,IncomeTaxExpenseBenefit,0000021344-22-000009,USD,False,0.211,EffectiveIncomeTaxRateContinuingOperations,0000021344-22-000009,pure,False,12425000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000021344-22-000009,USD,False,9684000000.0,CashAndCashEquivalentsAtCarryingValue,0000021344-22-000009,USD,False,,,,,False,39454000000.0,LongTermDebt,0000021344-22-000009,USD,False,1338000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000021344-22-000009,USD,False,38116000000.0,LongTermDebtNoncurrent,0000021344-22-000009,USD,False,22999000000.0,StockholdersEquity,0000021344-22-000009,USD,False,9684000000.0,39454000000.0,11258000000.0,0.2109456740442656,52769000000.0,8133571991.95171,0.15413542026477117,0.29124304747121976,1.1521850373554396,True,True,KO,0000021344,0
2020,33014000000.0,Revenues,0000021344-21-000008,USD,False,7747000000.0,NetIncomeLoss,0000021344-21-000008,USD,False,9844000000.0,NetCashProvidedByUsedInOperatingActivities,0000021344-21-000008,USD,False,1177000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000021344-21-000008,USD,False,8997000000.0,OperatingIncomeLoss,0000021344-21-000008,USD,False,1981000000.0,IncomeTaxExpenseBenefit,0000021344-21-000008,USD,False,0.203,EffectiveIncomeTaxRateContinuingOperations,0000021344-21-000008,pure,False,9749000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000021344-21-000008,USD,False,6795000000.0,CashAndCashEquivalentsAtCarryingValue,0000021344-21-000008,USD,False,,,,,False,40610000000.0,LongTermDebt,0000021344-21-000008,USD,False,485000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000021344-21-000008,USD,False,40125000000.0,LongTermDebtNoncurrent,0000021344-21-000008,USD,False,19299000000.0,StockholdersEquity,0000021344-21-000008,USD,False,6795000000.0,40610000000.0,8667000000.0,0.20320032823879372,53114000000.0,7168806646.835572,0.13497018953261988,0.26252498939843705,1.1187556473473603,True,True,KO,0000021344,0
2019,37266000000.0,Revenues,0000021344-20-000006,USD,False,8920000000.0,NetIncomeLoss,0000021344-20-000006,USD,False,10471000000.0,NetCashProvidedByUsedInOperatingActivities,0000021344-20-000006,USD,False,2054000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000021344-20-000006,USD,False,10086000000.0,OperatingIncomeLoss,0000021344-20-000006,USD,False,1801000000.0,IncomeTaxExpenseBenefit,0000021344-20-000006,USD,False,0.167,EffectiveIncomeTaxRateContinuingOperations,0000021344-20-000006,pure,False,10786000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000021344-20-000006,USD,False,6480000000.0,CashAndCashEquivalentsAtCarryingValue,0000021344-20-000006,USD,False,,,,,False,31769000000.0,LongTermDebt,0000021344-20-000006,USD,False,4253000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000021344-20-000006,USD,False,27516000000.0,LongTermDebtNoncurrent,0000021344-20-000006,USD,False,18981000000.0,StockholdersEquity,0000021344-20-000006,USD,False,6480000000.0,31769000000.0,8417000000.0,0.16697570925273503,44270000000.0,8401882996.476914,0.18978728250456098,0.22586271668545055,0.943609865470852,True,True,KO,0000021344,0
2018,31856000000.0,Revenues,0000021344-19-000014,USD,False,6434000000.0,NetIncomeLoss,0000021344-19-000014,USD,False,7320000000.0,NetCashProvidedByUsedInOperatingActivities,0000021344-19-000014,USD,False,1347000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000021344-19-000014,USD,False,8700000000.0,OperatingIncomeLoss,0000021344-19-000014,USD,False,1623000000.0,IncomeTaxExpenseBenefit,0000021344-19-000014,USD,False,0.194,EffectiveIncomeTaxRateContinuingOperations,0000021344-19-000014,pure,False,8350000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000021344-19-000014,USD,False,8926000000.0,CashAndCashEquivalentsAtCarryingValue,0000021344-19-000014,USD,False,,,,,False,30361000000.0,LongTermDebt,0000021344-19-000014,USD,False,4997000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000021344-19-000014,USD,False,25364000000.0,LongTermDebtNoncurrent,0000021344-19-000014,USD,False,16981000000.0,StockholdersEquity,0000021344-19-000014,USD,False,8926000000.0,30361000000.0,5973000000.0,0.19437125748502995,38416000000.0,7008970059.8802395,0.18244924145877342,0.1875,0.9283493938451974,True,True,KO,0000021344,0
2017,,,,,False,1248000000.0,NetIncomeLoss,0000021344-18-000008,USD,False,6995000000.0,NetCashProvidedByUsedInOperatingActivities,0000021344-18-000008,USD,False,1675000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000021344-18-000008,USD,False,7501000000.0,OperatingIncomeLoss,0000021344-18-000008,USD,False,5560000000.0,IncomeTaxExpenseBenefit,0000021344-18-000008,USD,False,0.825,EffectiveIncomeTaxRateContinuingOperations,0000021344-18-000008,pure,False,6742000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000021344-18-000008,USD,False,6006000000.0,CashAndCashEquivalentsAtCarryingValue,0000021344-18-000008,USD,False,,,,,False,34480000000.0,LongTermDebt,0000021344-18-000008,USD,False,3298000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000021344-18-000008,USD,False,31182000000.0,LongTermDebtNoncurrent,0000021344-18-000008,USD,False,17072000000.0,StockholdersEquity,0000021344-18-000008,USD,False,6006000000.0,34480000000.0,5320000000.0,0.8246811035301097,45546000000.0,1315067042.4206471,0.028873381689295374,,4.262820512820513,True,False,KO,0000021344,0
2016,,,,,False,6527000000.0,NetIncomeLoss,0000021344-17-000009,USD,False,8796000000.0,NetCashProvidedByUsedInOperatingActivities,0000021344-17-000009,USD,False,2262000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000021344-17-000009,USD,False,8626000000.0,OperatingIncomeLoss,0000021344-17-000009,USD,False,1586000000.0,IncomeTaxExpenseBenefit,0000021344-17-000009,USD,False,0.195,EffectiveIncomeTaxRateContinuingOperations,0000021344-17-000009,pure,False,8136000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000021344-17-000009,USD,False,8555000000.0,CashAndCashEquivalentsAtCarryingValue,0000021344-17-000009,USD,False,,,,,False,33211000000.0,LongTermDebt,0000021344-17-000009,USD,False,3527000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000021344-17-000009,USD,False,29684000000.0,LongTermDebtNoncurrent,0000021344-17-000009,USD,False,23062000000.0,StockholdersEquity,0000021344-17-000009,USD,False,8555000000.0,33211000000.0,6534000000.0,0.19493608652900687,47718000000.0,6944481317.600787,0.1455316928119533,,1.001072468208978,True,False,KO,0000021344,0
