year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,34650000000.0,15.14,9610000000.0,,,,,,,,460000000.0,1.22,6.57,
2025,33979999999.999996,14.67,9360000000.0,26.18,5050000000.0,28060000000.0,86810000000.0,39740000000.0,29.1,47070000000.0,460000000.0,1.41,5.92,5.06
2024,33000000000.0,,9050000000.0,25.96,4850000000.0,22600000000.0,80140000000.0,39480000000.0,,40650000000.0,470000000.0,1.34,6.1,5.1
2023,32850000000.0,12.7,8400000000.0,24.31,4660000000.0,20310000000.0,80810000000.0,41090000000.0,31.6,39710000000.0,480000000.0,1.27,6.06,4.85
2022,33360000000.0,8.3,5750000000.0,16.61,5430000000.0,18790000000.0,79650000000.0,41380000000.0,37.9,38270000000.0,490000000.0,1.49,4.82,3.88
2021,30790000000.0,7.39,5260000000.0,16.56,2820000000.0,15210000000.0,81600000000.0,45440000000.0,44.6,36160000000.0,510000000.0,1.29,5.77,3.91
2020,27240000000.0,4.74,3630000000.0,12.42,3750000000.0,17220000000.0,88220000000.0,49580000000.0,52.1,38640000000.0,520000000.0,1.56,5.08,2.79
2019,28220000000.0,4.23,3120000000.0,10.37,2700000000.0,14930000000.0,86610000000.0,51630000000.0,46.4,34970000000.0,530000000.0,1.78,4.03,2.2
2018,14850000000.0,,5250000000.0,34.03,4460000000.0,15290000000.0,93380000000.0,57090000000.0,,36290000000.0,280000000.0,2.34,5.75,1.5
2017,11430000000.0,4.35,2440000000.0,20.14,610000000.0,9000000000.0,20430000000.0,6520000000.0,31.5,13910000000.0,280000000.0,2.3,3.87,6.79
2016,10530000000.0,5.26,2230000000.0,19.44,520000000.0,9510000000.0,19330000000.0,5450000000.0,19.3,13880000000.0,280000000.0,2.96,3.17,6.13
2015,10770000000.0,5.39,2320000000.0,20.04,140000000.0,9230000000.0,18310000000.0,4900000000.0,16.0,13410000000.0,280000000.0,3.32,2.71,5.95
2014,12270000000.0,5.78,2600000000.0,19.51,120000000.0,9220000000.0,19760000000.0,6180000000.0,18.4,13580000000.0,290000000.0,2.44,3.05,6.06
2013,11920000000.0,5.94,2620000000.0,20.52,130000000.0,8810000000.0,20250000000.0,7310000000.0,17.6,12940000000.0,290000000.0,2.29,3.21,5.23
2012,11220000000.0,5.67,2450000000.0,20.46,150000000.0,7360000000.0,18090000000.0,6670000000.0,15.2,11410000000.0,290000000.0,2.55,2.89,4.86
