Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,34650000000.0,9610000000.0,,,,
2025,33979999999.999996,9360000000.0,29.1,5050000000.0,86810000000.0,
2024,33000000000.0,9050000000.0,,4850000000.0,80140000000.0,
2023,32850000000.0,8400000000.0,31.6,4660000000.0,80810000000.0,
2022,33360000000.0,5750000000.0,37.9,5430000000.0,79650000000.0,
2021,30790000000.0,5260000000.0,44.6,2820000000.0,81600000000.0,
2020,27240000000.0,3630000000.0,52.1,3750000000.0,88220000000.0,
2019,28220000000.0,3120000000.0,46.4,2700000000.0,86610000000.0,
2018,14850000000.0,5250000000.0,,4460000000.0,93380000000.0,
2017,11430000000.0,2440000000.0,31.5,610000000.0,20430000000.0,
2016,10530000000.0,2230000000.0,19.3,520000000.0,19330000000.0,
2015,10770000000.0,2320000000.0,16.0,140000000.0,18310000000.0,
2014,12270000000.0,2600000000.0,18.4,120000000.0,19760000000.0,
2013,11920000000.0,2620000000.0,17.6,130000000.0,20250000000.0,
2012,11220000000.0,2450000000.0,15.2,150000000.0,18090000000.0,
2011,11250000000.0,2470000000.0,,90000000.0,16350000000.000002,
2010,10110000000.0,2080000000.0,,39000000.0,15270000000.0,
2009,8950000000.0,1570000000.0,,45000000.0,14310000000.0,
2008,10790000000.0,1900000000.0,,32000000.0,13050000000.0,
2007,9400000000.0,1780000000.0,,17000000.0,13380000000.0,
2006,8320000000.0,1510000000.0,,36000000.0,11100000000.0,
2005,7650000000.0,1290000000.0,,170000000.0,10490000000.0,
2004,6590000000.0,1100000000.0,,25000000.0,9870000000.0,
2003,5610000000.0,920000000.0,,50000000.0,8300000000.000001,
2002,5120000000.0,920000000.0,,39000000.0,7400000000.0,
2001,5150000000.0,800000000.0,,39000000.0,7710000000.0,
2000,5040000000.0,690000000.0,,31000000.0,,
1999,4630000000.0,800000000.0,,76000000.0,,
1998,4830000000.0,850000000.0,,34000000.0,,
1997,4730000000.0,820000000.0,,43000000.0,,
1996,4440000000.0,700000000.0,,63000000.0,,
