year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,88430000000.0,11.84,10310000000.0,10.14,980000000.0,44670000000.0,54140000000.0,,,64060000000.0,550000000.0,2.29,1.48,
2025,86280000000.0,12.09,10270000000.0,10.94,1760000000.0,39670000000.0,43100000000.0,,19.9,57330000000.0,550000000.0,1.95,1.59,-13.3
2024,83670000000.0,12.0,10620000000.0,11.78,920000000.0,40140000000.0,41790000000.0,,20.3,56840000000.0,560000000.0,1.85,1.77,-10.4
2023,86370000000.0,12.99,11650000000.0,9.31,1340000000.0,37990000000.0,43700000000.0,,16.6,57960000000.0,570000000.0,2.0,1.17,-8.45
2022,97050000000.0,10.24,10190000000.0,11.64,1130000000.0,29380000000.0,44640000000.0,,18.4,49450000000.0,610000000.0,1.96,1.24,-9.36
2021,96240000000.0,11.56,12100000000.0,8.64,4690000000.0,26210000000.0,46730000000.0,1430000000.0,20.8,45290000000.0,690000000.0,1.17,1.7,-111.0
2020,89590000000.0,7.09,8610000000.0,7.79,710000000.0,23750000000.0,39470000000.0,1970000000.0,20.8,37490000000.0,750000000.0,1.53,1.4,28.9
2019,72140000000.0,3.78,6330000000.0,4.76,510000000.0,16219999999.999998,34500000000.0,3640000000.0,28.5,30860000000.0,760000000.0,1.91,1.2,37.3
2018,71310000000.0,4.5,4040000000.0,8.0,600000000.0,16989999999.999998,35290000000.0,5870000000.0,18.1,29410000000.0,800000000.0,2.18,1.08,13.7
2017,68610000000.0,4.17,6140000000.0,8.0,570000000.0,15690000000.0,34400000000.0,6430000000.0,19.3,27970000000.0,830000000.0,1.89,0.9663,13.4
2016,65010000000.00001,2.74,5850000000.0,7.48,470000000.0,12640000000.0,31260000000.0,7650000000.0,22.1,23610000000.0,870000000.0,2.08,0.9314,9.22
2015,59070000000.0,3.16,4970000000.0,7.61,490000000.0,11350000000.0,31720000000.0,9960000000.0,20.1,21750000000.0,910000000.0,1.6,1.16,8.31
2014,56220000000.0,2.53,4800000000.0,6.88,410000000.0,10520000000.0,32729999999.999996,11850000000.0,22.4,20870000000.0,970000000.0,1.45,1.01,6.24
2013,53410000000.0,2.1,4150000000.0000005,6.21,540000000.0,9070000000.0,32659999999.999996,13850000000.0,19.1,18800000000.0,1040000000.0,1.69,0.9916,4.1
2012,50520000000.0,,3590000000.0,5.79,1060000000.0,7620000000.0,33549999999.999996,16530000000.000002,,17020000000.0,1120000000.0,2.12,0.7227,2.81
