year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,accession_count_from_links
2025,86286000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000060667-26-000029,USD,False,6654000000.0,NetIncomeLoss,0000060667-26-000029,USD,False,9864000000.0,NetCashProvidedByUsedInOperatingActivities,0000060667-26-000029,USD,False,2213000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000060667-26-000029,USD,False,10153000000.0,OperatingIncomeLoss,0000060667-26-000029,USD,False,2093000000.0,IncomeTaxExpenseBenefit,0000060667-26-000029,USD,False,0.239,EffectiveIncomeTaxRateContinuingOperations,0000060667-26-000029,pure,False,8747000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000060667-26-000029,USD,False,982000000.0,CashAndCashEquivalentsAtCarryingValue,0000060667-26-000029,USD,False,370000000.0,ShortTermInvestments,0000060667-26-000029,USD,False,39819000000.0,DebtAndCapitalLeaseObligations,0000060667-26-000029,USD,False,2431000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000060667-26-000029,USD,False,310000000.0,FinanceLeaseLiabilityNoncurrent,0000060667-26-000029,USD,False,-9917000000.0,StockholdersEquity,0000060667-26-000029,USD,False,1352000000.0,39819000000.0,7651000000.0,0.23928203955641936,28550000000.0,7723569452.383675,0.2705278267034562,0.08867023619127089,1.149834685903216,True,True,LOW,0000060667,0
2024,83674000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000060667-25-000049,USD,False,6957000000.0,NetIncomeLoss,0000060667-25-000049,USD,False,9625000000.0,NetCashProvidedByUsedInOperatingActivities,0000060667-25-000049,USD,False,1927000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000060667-25-000049,USD,False,10466000000.0,OperatingIncomeLoss,0000060667-25-000049,USD,False,2196000000.0,IncomeTaxExpenseBenefit,0000060667-25-000049,USD,False,0.24,EffectiveIncomeTaxRateContinuingOperations,0000060667-25-000049,pure,False,9153000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000060667-25-000049,USD,False,1761000000.0,CashAndCashEquivalentsAtCarryingValue,0000060667-25-000049,USD,False,372000000.0,ShortTermInvestments,0000060667-25-000049,USD,False,35319000000.0,DebtAndCapitalLeaseObligations,0000060667-25-000049,USD,False,2586000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000060667-25-000049,USD,False,388000000.0,FinanceLeaseLiabilityNoncurrent,0000060667-25-000049,USD,False,-14231000000.0,StockholdersEquity,0000060667-25-000049,USD,False,2133000000.0,35319000000.0,7698000000.0,0.23992133726647,18955000000.0,7954983284.169125,0.41967730330620545,0.0919999043908502,1.1065114273393704,True,True,LOW,0000060667,0
2023,86377000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000060667-24-000033,USD,False,7726000000.0,NetIncomeLoss,0000060667-24-000033,USD,False,8140000000.0,NetCashProvidedByUsedInOperatingActivities,0000060667-24-000033,USD,False,1964000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000060667-24-000033,USD,False,11557000000.0,OperatingIncomeLoss,0000060667-24-000033,USD,False,2449000000.0,IncomeTaxExpenseBenefit,0000060667-24-000033,USD,False,0.241,EffectiveIncomeTaxRateContinuingOperations,0000060667-24-000033,pure,False,10175000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000060667-24-000033,USD,False,921000000.0,CashAndCashEquivalentsAtCarryingValue,0000060667-24-000033,USD,False,307000000.0,ShortTermInvestments,0000060667-24-000033,USD,False,35770000000.0,DebtAndCapitalLeaseObligations,0000060667-24-000033,USD,False,537000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000060667-24-000033,USD,False,422000000.0,FinanceLeaseLiabilityNoncurrent,0000060667-24-000033,USD,False,-15050000000.0,StockholdersEquity,0000060667-24-000033,USD,False,1228000000.0,35770000000.0,6176000000.0,0.2406879606879607,19492000000.0,8775369238.329237,0.4502036342257971,0.07150051518344004,0.7993787212011391,True,True,LOW,0000060667,0
2022,97059000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000060667-23-000034,USD,False,6437000000.0,NetIncomeLoss,0000060667-23-000034,USD,False,8589000000.0,NetCashProvidedByUsedInOperatingActivities,0000060667-23-000034,USD,False,1829000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000060667-23-000034,USD,False,10159000000.0,OperatingIncomeLoss,0000060667-23-000034,USD,False,2599000000.0,IncomeTaxExpenseBenefit,0000060667-23-000034,USD,False,0.288,EffectiveIncomeTaxRateContinuingOperations,0000060667-23-000034,pure,False,9036000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000060667-23-000034,USD,False,1348000000.0,CashAndCashEquivalentsAtCarryingValue,0000060667-23-000034,USD,False,384000000.0,ShortTermInvestments,0000060667-23-000034,USD,False,33270000000.0,DebtAndCapitalLeaseObligations,0000060667-23-000034,USD,False,585000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000060667-23-000034,USD,False,477000000.0,FinanceLeaseLiabilityNoncurrent,0000060667-23-000034,USD,False,-14254000000.0,StockholdersEquity,0000060667-23-000034,USD,False,1732000000.0,33270000000.0,6760000000.0,0.2876272687029659,17284000000.0,7236994577.246569,0.4187106327960292,0.06964835821510627,1.0501786546527885,True,True,LOW,0000060667,0
2021,96250000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000060667-22-000038,USD,False,8442000000.0,NetIncomeLoss,0000060667-22-000038,USD,False,10113000000.0,NetCashProvidedByUsedInOperatingActivities,0000060667-22-000038,USD,False,1853000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000060667-22-000038,USD,False,12093000000.0,OperatingIncomeLoss,0000060667-22-000038,USD,False,2766000000.0,IncomeTaxExpenseBenefit,0000060667-22-000038,USD,False,0.247,EffectiveIncomeTaxRateContinuingOperations,0000060667-22-000038,pure,False,11208000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000060667-22-000038,USD,False,1133000000.0,CashAndCashEquivalentsAtCarryingValue,0000060667-22-000038,USD,False,271000000.0,ShortTermInvestments,0000060667-22-000038,USD,False,24285000000.0,DebtAndCapitalLeaseObligations,0000060667-22-000038,USD,False,868000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000060667-22-000038,USD,False,563000000.0,FinanceLeaseLiabilityNoncurrent,0000060667-22-000038,USD,False,-4816000000.0,StockholdersEquity,0000060667-22-000038,USD,False,1404000000.0,24285000000.0,8260000000.0,0.2467880085653105,18065000000.0,9108592612.4197,0.5042121567904623,0.08581818181818182,0.978441127694859,True,True,LOW,0000060667,0
2020,89597000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000060667-21-000026,USD,False,5835000000.0,NetIncomeLoss,0000060667-21-000026,USD,False,11049000000.0,NetCashProvidedByUsedInOperatingActivities,0000060667-21-000026,USD,False,1791000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000060667-21-000026,USD,False,9647000000.0,OperatingIncomeLoss,0000060667-21-000026,USD,False,1904000000.0,IncomeTaxExpenseBenefit,0000060667-21-000026,USD,False,0.246,EffectiveIncomeTaxRateContinuingOperations,0000060667-21-000026,pure,False,7739000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000060667-21-000026,USD,False,4690000000.0,CashAndCashEquivalentsAtCarryingValue,0000060667-21-000026,USD,False,506000000.0,ShortTermInvestments,0000060667-21-000026,USD,False,,,,,False,1112000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000060667-21-000026,USD,False,564000000.0,FinanceLeaseLiabilityNoncurrent,0000060667-21-000026,USD,False,1437000000.0,StockholdersEquity,0000060667-21-000026,USD,False,5196000000.0,1676000000.0,9258000000.0,0.24602661842615325,-2083000000.0,7273581212.042899,-3.4918776822097453,0.10332935254528612,1.5866323907455013,True,True,LOW,0000060667,0
2019,72148000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000060667-20-000036,USD,False,4281000000.0,NetIncomeLoss,0000060667-20-000036,USD,False,4296000000.0,NetCashProvidedByUsedInOperatingActivities,0000060667-20-000036,USD,False,1484000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000060667-20-000036,USD,False,6314000000.0,OperatingIncomeLoss,0000060667-20-000036,USD,False,1342000000.0,IncomeTaxExpenseBenefit,0000060667-20-000036,USD,False,0.239,EffectiveIncomeTaxRateContinuingOperations,0000060667-20-000036,pure,False,5623000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000060667-20-000036,USD,False,716000000.0,CashAndCashEquivalentsAtCarryingValue,0000060667-20-000036,USD,False,160000000.0,ShortTermInvestments,0000060667-20-000036,USD,False,,,,,False,597000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000060667-20-000036,USD,False,612000000.0,FinanceLeaseLiabilityNoncurrent,0000060667-20-000036,USD,False,1972000000.0,StockholdersEquity,0000060667-20-000036,USD,False,876000000.0,1209000000.0,2812000000.0,0.23866263560377024,2305000000.0,4807084118.797795,2.0855028714957897,0.03897543937461884,0.6568558747956085,True,True,LOW,0000060667,0
2018,71309000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000060667-19-000042,USD,False,2314000000.0,NetIncomeLoss,0000060667-19-000042,USD,False,6193000000.0,NetCashProvidedByUsedInOperatingActivities,0000060667-19-000042,USD,False,1174000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000060667-19-000042,USD,False,4018000000.0,OperatingIncomeLoss,0000060667-19-000042,USD,False,1080000000.0,IncomeTaxExpenseBenefit,0000060667-19-000042,USD,False,0.318,EffectiveIncomeTaxRateContinuingOperations,0000060667-19-000042,pure,False,3394000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000060667-19-000042,USD,False,511000000.0,CashAndCashEquivalentsAtCarryingValue,0000060667-19-000042,USD,False,218000000.0,ShortTermInvestments,0000060667-19-000042,USD,False,,,,,False,1110000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000060667-19-000042,USD,False,,,,,False,3644000000.0,StockholdersEquity,0000060667-19-000042,USD,False,729000000.0,1110000000.0,5019000000.0,0.3182086034177961,4025000000.0,2739437831.467295,0.6806056724142349,0.07038382251889663,2.168971477960242,True,True,LOW,0000060667,0
2017,68619000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000060667-18-000051,USD,False,3447000000.0,NetIncomeLoss,0000060667-18-000051,USD,False,5065000000.0,NetCashProvidedByUsedInOperatingActivities,0000060667-18-000051,USD,False,1123000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000060667-18-000051,USD,False,6586000000.0,OperatingIncomeLoss,0000060667-18-000051,USD,False,2042000000.0,IncomeTaxExpenseBenefit,0000060667-18-000051,USD,False,0.372,EffectiveIncomeTaxRateContinuingOperations,0000060667-18-000051,pure,False,5489000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000060667-18-000051,USD,False,588000000.0,CashAndCashEquivalentsAtCarryingValue,0000060667-18-000051,USD,False,102000000.0,ShortTermInvestments,0000060667-18-000051,USD,False,,,,,False,294000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000060667-18-000051,USD,False,,,,,False,5873000000.0,StockholdersEquity,0000060667-18-000051,USD,False,690000000.0,294000000.0,3942000000.0,0.3720167607943159,5477000000.0,4135897613.4086356,0.7551392392566434,0.05744764569579854,1.1436031331592689,True,True,LOW,0000060667,0
2016,65017000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000060667-17-000076,USD,False,3091000000.0,NetIncomeLoss,0000060667-17-000076,USD,False,,,,,False,1167000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000060667-17-000076,USD,False,5846000000.0,OperatingIncomeLoss,0000060667-17-000076,USD,False,2108000000.0,IncomeTaxExpenseBenefit,0000060667-17-000076,USD,False,0.405,EffectiveIncomeTaxRateContinuingOperations,0000060667-17-000076,pure,False,5201000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000060667-17-000076,USD,False,558000000.0,CashAndCashEquivalentsAtCarryingValue,0000060667-17-000076,USD,False,100000000.0,ShortTermInvestments,0000060667-17-000076,USD,False,,,,,False,795000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000060667-17-000076,USD,False,,,,,False,6434000000.0,StockholdersEquity,0000060667-17-000076,USD,False,658000000.0,795000000.0,,0.4053066717938858,6571000000.0,3476577196.6929436,0.5290788611616106,,,True,False,LOW,0000060667,0
