year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,27440000000.0,12.19,11100000000.0,,,,,,,,710000000.0,2.72,7.95,
2025,26880000000.0,12.01,10890000000.0,40.53,770000000.0,54810000000.0,59510000000.0,,25.4,61300000000.0,710000000.0,2.35,8.05,-121.0
2024,25920000000.0,11.46,10340000000.0,39.91,1080000000.0,51940000000.0,55180000000.0,,24.9,58970000000.0,710000000.0,2.38,8.12,-55.4
2023,25490000000.0,11.65,10520000000.0,41.27,4570000000.0,53090000000.0,56140000000.0,,24.4,60850000000.0,720000000.0,2.19,8.44,-45.7
2022,23180000000.0,8.42,7820000000.0,33.75,2580000000.0,48690000000.0,50430000000.0,,29.4,56430000000.0,730000000.0,2.29,8.33,-32.2
2021,23220000000.0,10.11,9120000000.0,39.31,4700000000.0,49340000000.0,53850000000.0,,24.3,58450000000.0,740000000.0,2.13,8.63,-43.5
2020,19200000000.0,6.35,6140000000.0,31.97,3440000000.0,51460000000.0,52620000000.0,,30.3,60450000000.0,740000000.0,2.62,8.32,-20.4
2019,21280000000.0,7.98,8010000000.0,37.53,890000000.0,47550000000.0,47510000000.0,,21.7,55720000000.0,740000000.0,2.73,6.93,-18.0
2018,21020000000.0,7.65,7810000000.0,36.77,860000000.0,31070000000.0,32810000000.000004,,19.8,39060000000.0,760000000.0,2.76,6.48,-21.8
2017,22820000000.0,6.46,8570000000.0,37.57,2460000000.0,29530000000.0,33799999999.999996,,22.2,37070000000.0,790000000.0,2.67,6.01,-42.0
2016,24620000000.0,5.53,6860000000.0,27.89,1220000000.0,25950000000.0,31020000000.0,,17.9,33220000000.0,810000000.0,3.65,4.11,-45.9
2015,25410000000.0,4.88,6550000000.0,25.8,7680000000.0,24120000000.0,37930000000.0,7080000000.0,19.1,30850000000.0,900000000.0,3.69,4.22,15.1
2014,27440000000.0,4.87,7370000000.0,26.86,2069999999.9999998,14930000000.0,34220000000.0,12850000000.0,14.7,21370000000.0,960000000.0,4.59,3.29,7.02
2013,28100000000.0,5.6,8199999999.999999,29.19,2790000000.0,14120000000.0,36620000000.0,16000000000.0,12.8,20610000000.0,990000000.0,4.36,3.42,6.0
2012,27560000000.0,5.42,8070000000.0,29.31,2330000000.0,13630000000.0,35380000000.0,15290000000.0,11.6,20090000000.0,1000000000.0,4.56,3.21,5.78
2011,27000000000.0,,8010000000.0,29.67,2330000000.0,12500000000.0,32979999999.999996,14390000000.0,,18590000000.0,1020000000.0,3.65,3.8,7.13
2010,24070000000.0,,7000000000.0,29.08,2380000000.0,11500000000.0,31970000000.0,14630000000.0,,17340000000.0,1050000000.0,4.39,3.36,5.53
2009,22740000000.0,,6480000000.0,28.52,1790000000.0,10570000000.0,30220000000.0,14030000000.0,,16190000000.000002,1100000000.0,5.05,2.96,4.79
2008,23520000000.0,,6150000000.0,26.18,2060000000.0,10210000000.0,28460000000.0,13380000000.0,,15070000000.0,1110000000.0,4.16,2.95,5.18
2007,22780000000.0,,3570000000.0,15.68,1980000000.0,9300000000.0,29390000000.0,15270000000.0,,14110000000.0,1180000000.0,4.17,2.98,4.44
2006,20810000000.0,,3880000000.0,19.88,2120000000.0,8400000000.0,28970000000.0,15450000000.0,,13510000000.0,1230000000.0,3.79,2.56,3.45
2005,20460000000.0,,3700000000.0,19.15,4260000000.0,10130000000.0,29980000000.0,15140000000.0,,14840000000.0,1250000000.0,3.42,2.08,2.81
2004,19060000000.0,,3200000000.0,17.21,1370000000.0,9210000000.0,27830000000.0,14200000000.0,,13630000000.0,1250000000.0,3.02,2.14,2.87
2003,17140000000.0,,2340000000.0,13.69,490000000.0,9730000000.0,25830000000.0,11980000000.0,,13850000000.0,1270000000.0,2.89,1.83,2.62
2002,15400000000.0,,1660000000.0,10.79,330000000.0,9970000000.0,23970000000.0,10280000000.0,,13680000000.0,1270000000.0,2.66,1.32,1.98
2001,14870000000.0,,2320000000.0,15.67,410000000.0,8910000000.0,22530000000.0,9480000000.0,,13040000000.0,1280000000.0,1.57,2.28,
2000,14240000000.0,,2880000000.0,,420000000.0,8470000000.000001,,,,,1310000000.0,1.18,,
1999,13250000000.0,,2880000000.0,,410000000.0,7250000000.0,,,,,1350000000.0,0.91,,
1998,12420000000.0,,2300000000.0,,290000000.0,7040000000.0,,,,,,0.86,,
1997,11400000000.0,,2400000000.0,,340000000.0,6460000000.0,,,,,,1.27,,
1996,10680000000.0,,2250000000.0,,320000000.0,5520000000.0,,,,,,1.23,,
1995,,,,,,,,,,,,1.12,,
1994,,,,,,,,,,,,1.54,,
1993,,,,,,,,,,,,1.44,,
1992,,,,,,,,,,,,1.59,,
1991,,,,,,,,,,,,1.88,,
1990,,,,,,,,,,,,2.28,,
1989,,,,,,,,,,,,1.77,,
1988,,,,,,,,,,,,2.38,,
1987,,,,,,,,,,,,2.28,,
1986,,,,,,,,,,,,2.03,,
1985,,,,,,,,,,,,2.3,,
1984,,,,,,,,,,,,3.14,,
1983,,,,,,,,,,,,2.99,,
1982,,,,,,,,,,,,2.88,,
1981,,,,,,,,,,,,3.26,,
1980,,,,,,,,,,,,3.46,,
1979,,,,,,,,,,,,2.72,,
1978,,,,,,,,,,,,1.62,,
1977,,,,,,,,,,,,0.8,,
1976,,,,,,,,,,,,0.33,,
1975,,,,,,,,,,,,0.0,,
1974,,,,,,,,,,,,0.0,,
1973,,,,,,,,,,,,0.0,,
1972,,,,,,,,,,,,0.0,,
1971,,,,,,,,,,,,0.0,,
1970,,,,,,,,,,,,0.0,,
