year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,26885000000.0,Revenues,0000063908-26-000035,USD,True,8563000000.0,NetIncomeLoss,0000063908-26-000035,USD,True,10551000000.0,NetCashProvidedByUsedInOperatingActivities,0000063908-26-000035,USD,True,3365000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000063908-26-000035,USD,True,12393000000.0,OperatingIncomeLoss,0000063908-26-000035,USD,True,1582000000.0,InterestExpense,0000063908-26-000035,USD,True,2334000000.0,IncomeTaxExpenseBenefit,0000063908-26-000035,USD,True,0.214,EffectiveIncomeTaxRateContinuingOperations,0000063908-26-000035,pure,True,3291000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,0000063908-26-000035,USD,True,774000000.0,CashAndCashEquivalentsAtCarryingValue,0000063908-26-000035,USD,True,,,,,False,39973000000.0,LongTermDebt,0000063908-26-000035,USD,True,23000000.0,DebtCurrent,0000063908-26-000035,USD,True,2329000000.0,FinanceLeaseLiabilityNoncurrent,0000063908-26-000035,USD,True,-1791000000.0,StockholdersEquity,0000063908-26-000035,USD,True,774000000.0,39973000000.0,7186000000.0,0.7092069279854147,37408000000.0,3603798541.476755,0.09633764278969084,12393000000.0,False,0.26728659103589364,0.839191872007474,True,True,MCD,0000063908,ticker:MCD,24
2024,25920000000.0,Revenues,0000063908-25-000012,USD,True,8223000000.0,NetIncomeLoss,0000063908-25-000012,USD,True,9447000000.0,NetCashProvidedByUsedInOperatingActivities,0000063908-25-000012,USD,True,2775000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000063908-25-000012,USD,True,11712000000.0,OperatingIncomeLoss,0000063908-25-000012,USD,True,1506000000.0,InterestExpense,0000063908-25-000012,USD,True,2121000000.0,IncomeTaxExpenseBenefit,0000063908-25-000012,USD,True,0.205,EffectiveIncomeTaxRateContinuingOperations,0000063908-25-000012,pure,True,3282000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,0000063908-25-000012,USD,True,1085000000.0,CashAndCashEquivalentsAtCarryingValue,0000063908-25-000012,USD,True,,,,,False,38424000000.0,LongTermDebt,0000063908-25-000012,USD,True,0.0,DebtCurrent,0000063908-25-000012,USD,True,1770000000.0,FinanceLeaseLiabilityNoncurrent,0000063908-25-000012,USD,True,-3797000000.0,StockholdersEquity,0000063908-25-000012,USD,True,1085000000.0,38424000000.0,6672000000.0,0.6462522851919561,33542000000.0,4143093235.83181,0.12351956460055483,11712000000.0,False,0.2574074074074074,0.8113827070412258,True,True,MCD,0000063908,ticker:MCD,24
2023,25493700000.0,Revenues,0000063908-24-000072,USD,True,8468800000.0,NetIncomeLoss,0000063908-24-000072,USD,True,9611900000.0,NetCashProvidedByUsedInOperatingActivities,0000063908-24-000072,USD,True,2357400000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000063908-24-000072,USD,True,11646700000.0,OperatingIncomeLoss,0000063908-24-000072,USD,True,1360800000.0,InterestExpense,0000063908-24-000072,USD,True,2053400000.0,IncomeTaxExpenseBenefit,0000063908-24-000072,USD,True,0.195,EffectiveIncomeTaxRateContinuingOperations,0000063908-24-000072,pure,True,3665000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,0000063908-24-000072,USD,True,4579300000.0,CashAndCashEquivalentsAtCarryingValue,0000063908-24-000072,USD,True,,,,,False,39345300000.0,LongTermDebt,0000063908-24-000072,USD,True,2192400000.0,DebtCurrent,0000063908-24-000072,USD,True,37152900000.0,FinanceLeaseLiabilityNoncurrent,0000063908-24-000072,USD,True,-4706700000.0,StockholdersEquity,0000063908-24-000072,USD,True,4579300000.0,39345300000.0,7254500000.0,0.5602728512960437,30059300000.0,5121370182.810369,0.1703755637293739,11646700000.0,False,0.2845604992606016,0.8566148686945022,True,True,MCD,0000063908,ticker:MCD,24
2022,23182600000.0,Revenues,0000063908-23-000012,USD,True,6177400000.0,NetIncomeLoss,0000063908-23-000012,USD,True,7386700000.0,NetCashProvidedByUsedInOperatingActivities,0000063908-23-000012,USD,True,1899200000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000063908-23-000012,USD,True,9371000000.0,OperatingIncomeLoss,0000063908-23-000012,USD,True,1207000000.0,InterestExpense,0000063908-23-000012,USD,True,1648000000.0,IncomeTaxExpenseBenefit,0000063908-23-000012,USD,True,0.211,EffectiveIncomeTaxRateContinuingOperations,0000063908-23-000012,pure,True,1845600000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,0000063908-23-000012,USD,True,2583800000.0,CashAndCashEquivalentsAtCarryingValue,0000063908-23-000012,USD,True,,,,,False,35903500000.0,LongTermDebt,0000063908-23-000012,USD,True,,,,,False,35903500000.0,FinanceLeaseLiabilityNoncurrent,0000063908-23-000012,USD,True,-6003400000.0,StockholdersEquity,0000063908-23-000012,USD,True,2583800000.0,35903500000.0,5487500000.0,0.8929345470307759,27316300000.0,1003310359.7745988,0.036729365242532806,9371000000.0,False,0.2367077031911865,0.8883187101369509,True,True,MCD,0000063908,ticker:MCD,24
2021,23222900000.0,Revenues,0000063908-22-000011,USD,True,7545200000.0,NetIncomeLoss,0000063908-22-000011,USD,True,9141500000.0,NetCashProvidedByUsedInOperatingActivities,0000063908-22-000011,USD,True,2040000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000063908-22-000011,USD,True,10356000000.0,OperatingIncomeLoss,0000063908-22-000011,USD,True,1185800000.0,InterestExpense,0000063908-22-000011,USD,True,1582700000.0,IncomeTaxExpenseBenefit,0000063908-22-000011,USD,True,0.173,EffectiveIncomeTaxRateContinuingOperations,0000063908-22-000011,pure,True,2413900000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,0000063908-22-000011,USD,True,4709200000.0,CashAndCashEquivalentsAtCarryingValue,0000063908-22-000011,USD,True,,,,,False,35622700000.0,LongTermDebt,0000063908-22-000011,USD,True,0.0,DebtCurrent,0000063908-22-000011,USD,True,35622700000.0,FinanceLeaseLiabilityNoncurrent,0000063908-22-000011,USD,True,-4601000000.0,StockholdersEquity,0000063908-22-000011,USD,True,4709200000.0,35622700000.0,7101500000.0,0.6556609635858983,26312500000.0,3565975061.1044374,0.13552399282107125,10356000000.0,False,0.3057972949114882,0.9411944017388538,True,True,MCD,0000063908,ticker:MCD,24
2020,19207800000.0,Revenues,0000063908-21-000013,USD,True,4730500000.0,NetIncomeLoss,0000063908-21-000013,USD,True,6265200000.0,NetCashProvidedByUsedInOperatingActivities,0000063908-21-000013,USD,True,1640800000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000063908-21-000013,USD,True,7324000000.0,OperatingIncomeLoss,0000063908-21-000013,USD,True,1218100000.0,InterestExpense,0000063908-21-000013,USD,True,1410200000.0,IncomeTaxExpenseBenefit,0000063908-21-000013,USD,True,0.23,EffectiveIncomeTaxRateContinuingOperations,0000063908-21-000013,pure,True,1390400000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,0000063908-21-000013,USD,True,3449100000.0,CashAndCashEquivalentsAtCarryingValue,0000063908-21-000013,USD,True,,,,,False,37440400000.0,LongTermDebt,0000063908-21-000013,USD,True,2243600000.0,DebtCurrent,0000063908-21-000013,USD,True,35196800000.0,FinanceLeaseLiabilityNoncurrent,0000063908-21-000013,USD,True,-7824900000.0,StockholdersEquity,0000063908-21-000013,USD,True,3449100000.0,37440400000.0,4624400000.0,1.014240506329114,26166400000.0,-104297468.35443093,-0.003985931131314622,7324000000.0,False,0.24075635939566217,0.9775710812810485,True,True,MCD,0000063908,ticker:MCD,24
2019,21076500000.0,Revenues,0000063908-20-000022,USD,True,6025400000.0,NetIncomeLoss,0000063908-20-000022,USD,True,8122100000.0,NetCashProvidedByUsedInOperatingActivities,0000063908-20-000022,USD,True,2393700000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000063908-20-000022,USD,True,9069800000.0,OperatingIncomeLoss,0000063908-20-000022,USD,True,1121900000.0,InterestExpense,0000063908-20-000022,USD,True,1992700000.0,IncomeTaxExpenseBenefit,0000063908-20-000022,USD,True,0.249,EffectiveIncomeTaxRateContinuingOperations,0000063908-20-000022,pure,True,2159100000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,0000063908-20-000022,USD,True,898500000.0,CashAndCashEquivalentsAtCarryingValue,0000063908-20-000022,USD,True,,,,,False,34177200000.0,LongTermDebt,0000063908-20-000022,USD,True,59100000.0,DebtCurrent,0000063908-20-000022,USD,True,34118100000.0,FinanceLeaseLiabilityNoncurrent,0000063908-20-000022,USD,True,-8210300000.0,StockholdersEquity,0000063908-20-000022,USD,True,898500000.0,34177200000.0,5728400000.0,0.9229308508174703,25068400000.0,699001769.255708,0.02788378074610697,9069800000.0,False,0.271790857115745,0.9507086666445381,True,True,MCD,0000063908,ticker:MCD,24
2018,21025200000.0,Revenues,0000063908-19-000010,USD,True,5924300000.0,NetIncomeLoss,0000063908-19-000010,USD,True,6966700000.0,NetCashProvidedByUsedInOperatingActivities,0000063908-19-000010,USD,True,2741700000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000063908-19-000010,USD,True,8822600000.0,OperatingIncomeLoss,0000063908-19-000010,USD,True,981200000.0,InterestExpense,0000063908-19-000010,USD,True,1891800000.0,IncomeTaxExpenseBenefit,0000063908-19-000010,USD,True,0.242,EffectiveIncomeTaxRateContinuingOperations,0000063908-19-000010,pure,True,2218000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,0000063908-19-000010,USD,True,866000000.0,CashAndCashEquivalentsAtCarryingValue,0000063908-19-000010,USD,True,,,,,False,31075300000.0,LongTermDebt,0000063908-19-000010,USD,True,,,,,False,31075300000.0,FinanceLeaseLiabilityNoncurrent,0000063908-19-000010,USD,True,-6258400000.0,StockholdersEquity,0000063908-19-000010,USD,True,866000000.0,31075300000.0,4225000000.0,0.8529305680793507,23950900000.0,1297534770.0631201,0.05417478132609297,8822600000.0,False,0.20094933698609288,0.7131644244889691,True,True,MCD,0000063908,ticker:MCD,24
2017,22820400000.0,Revenues,0000063908-18-000010,USD,True,5192300000.0,NetIncomeLoss,0000063908-18-000010,USD,True,5551200000.0,NetCashProvidedByUsedInOperatingActivities,0000063908-18-000010,USD,True,1853700000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000063908-18-000010,USD,True,9552700000.0,OperatingIncomeLoss,0000063908-18-000010,USD,True,921300000.0,InterestExpense,0000063908-18-000010,USD,True,3381200000.0,IncomeTaxExpenseBenefit,0000063908-18-000010,USD,True,0.394,EffectiveIncomeTaxRateContinuingOperations,0000063908-18-000010,pure,True,2242000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,0000063908-18-000010,USD,True,2463800000.0,CashAndCashEquivalentsAtCarryingValue,0000063908-18-000010,USD,True,,,,,False,29536400000.0,LongTermDebt,0000063908-18-000010,USD,True,0.0,DebtCurrent,0000063908-18-000010,USD,True,29536400000.0,FinanceLeaseLiabilityNoncurrent,0000063908-18-000010,USD,True,-3268000000.0,StockholdersEquity,0000063908-18-000010,USD,True,2463800000.0,29536400000.0,3697500000.0,1.5081177520071365,23804600000.0,-4853896449.598573,-0.20390581860642787,9552700000.0,False,0.16202608192669715,0.7121121660920979,True,True,MCD,0000063908,ticker:MCD,24
2016,24621900000.0,Revenues,0000063908-17-000017,USD,True,4686500000.0,NetIncomeLoss,0000063908-17-000017,USD,True,6059600000.0,NetCashProvidedByUsedInOperatingActivities,0000063908-17-000017,USD,True,1821100000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000063908-17-000017,USD,True,7744500000.0,OperatingIncomeLoss,0000063908-17-000017,USD,True,884800000.0,InterestExpense,0000063908-17-000017,USD,True,2179500000.0,IncomeTaxExpenseBenefit,0000063908-17-000017,USD,True,0.317,EffectiveIncomeTaxRateContinuingOperations,0000063908-17-000017,pure,True,2059400000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,0000063908-17-000017,USD,True,1223400000.0,CashAndCashEquivalentsAtCarryingValue,0000063908-17-000017,USD,True,,,,,False,25955700000.0,LongTermDebt,0000063908-17-000017,USD,True,77200000.0,DebtCurrent,0000063908-17-000017,USD,True,25878500000.0,FinanceLeaseLiabilityNoncurrent,0000063908-17-000017,USD,True,-2204300000.0,StockholdersEquity,0000063908-17-000017,USD,True,1223400000.0,25955700000.0,4238500000.0,1.0583179566864136,22528000000.0,-451643415.5579301,-0.020048091954808687,7744500000.0,False,0.17214349826780223,0.9044062733383121,True,True,MCD,0000063908,ticker:MCD,24
