year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,4710000000.0,0.21,270000000.0,10.37,240000000.0,5530000000.0,14370000000.0,6430000000.0,,7930000000.0,540000000.0,2.34,7.12,
2025,4370000000.0,-0.29,,6.6,770000000.0,5660000000.0,15370000000.0,7070000000.0,-220.0,8289999999.999999,540000000.0,2.86,8.04,5.36
2024,4750000000.0,0.58,400000000.0,33.49,310000000.0,6030000000.0,15870000000.0,6650000000.0,96.7,9210000000.0,530000000.0,3.23,6.59,5.19
2023,8539999999.999999,4.33,2960000000.0,36.78,230000000.0,6470000000.0,16370000000.000002,6510000000.0,19.9,9850000000.0,540000000.0,1.84,5.71,6.89
2022,8050000000.000001,3.76,2580000000.0,25.33,310000000.0,7720000000.0,16190000000.000002,5890000000.0,17.5,10300000000.0,540000000.0,1.76,4.8,6.12
2021,6440000000.0,1.76,1140000000.0,12.49,280000000.0,8940000000.0,16469999999.999998,5330000000.0,45.8,11140000000.0,550000000.0,1.06,7.5,8.32
2020,5290000000.0,0.67,240000000.0,11.96,400000000.0,9520000000.0,17420000000.0,5580000000.0,94.0,11840000000.0,,1.17,7.01,7.01
2019,5270000000.0,1.36,250000000.0,12.92,430000000.0,10300000000.0,18350000000.0,5280000000.0,34.8,13060000000.0,,1.55,4.75,4.47
2018,5020000000.0,0.7,240000000.0,23.52,2190000000.0,3060000000.0,8250000000.0,3270000000.0,45.5,4970000000.0,,2.29,3.39,3.3
2017,3880000000.0,0.54,620000000.0,6.93,1300000000.0,2950000000.0,7680000000.0,3270000000.0,70.1,4410000000.0,,1.89,5.3,6.45
2016,3060000000.0,0.23,75590000.0,17.73,2440000000.0,2450000000.0,5530000000.0,2150000000.0,119.0,3380000000.0,,2.63,4.52,5.4
2015,2150000000.0,0.88,280000000.0,19.0,1950000000.0,1820000000.0,4780000000.0,2060000000.0,22.0,2710000000.0,,3.7,4.39,4.45
2014,2089999999.9999998,0.96,400000000.0,24.91,1340000000.0,1020000000.0,4059999999.9999995,2130000000.0,19.0,1930000000.0,,3.91,4.33,3.98
2013,1860000000.0,0.86,360000000.0,12.21,1570000000.0,980000000.0,3850000000.0,1930000000.0,20.2,1910000000.0,,4.04,4.77,4.29
2012,1490000000.0,,190000000.0,29.93,1450000000.0,350000000.0,3080000000.0,1990000000.0,,1090000000.0,,5.71,4.27,3.3
2011,1420000000.0,,400000000.0,33.1,1240000000.0,340000000.0,2960000000.0,1810000000.0,,1150000000.0,,3.93,4.92,3.61
2010,1380000000.0,,420000000.0,28.38,1210000000.0,340000000.0,2510000000.0,1530000000.0,,980000000.0,,7.14,4.65,4.11
2009,840000000.0,,180000000.0,28.95,1380000000.0,1210000000.0,2420000000.0,990000000.0,,1430000000.0,,7.04,6.35,3.61
2008,990000000.0,,290000000.0,31.71,1320000000.0,1150000000.0,2510000000.0,1030000000.0,,1470000000.0,,10.88,3.59,3.49
2007,1030000000.0,,360000000.0,33.45,750000000.0,,2260000000.0,2000000000.0,,260000000.0,,6.13,5.75,5.11
2006,1020000000.0,,400000000.0,35.17,760000000.0,260000000.0,2350000000.0,1720000000.0,,620000000.0,,4.71,6.87,3.74
2005,880000000.0,,330000000.0,30.54,730000000.0,45450000.0,1810000000.0,1480000000.0,,330000000.0,,2.49,7.66,4.13
2004,830000000.0,,260000000.0,24.5,470000000.0,,1620000000.0,1320000000.0,,300000000.0,,1.17,6.63,3.83
2003,650000000.0,,150000000.0,19.05,210000000.0,,1420000000.0,1170000000.0,,240000000.0,,0.53,10.5,5.26
2002,640000000.0,,110000000.0,21.44,280000000.0,,1270000000.0,1070000000.0000001,,190000000.0,,0.15,7.73,4.23
2001,620000000.0,,120000000.0,25.45,120000000.0,,1160000000.0,940000000.0,,210000000.0,,0.0,8.26,
2000,700000000.0,,220000000.0,,200000000.0,9000000.0,,,,,,0.0,,
1999,450000000.0,,98110000.0,,30800000.0,28300000.0,,,,,,0.0,,
1998,390000000.0,,85530000.0,,32200000.000000004,29100000.0,,,,,,0.0,,
1997,390000000.0,,90820000.0,,42990000.0,12240000.0,,,,,,0.0,,
1996,310000000.0,,65450000.0,,31100000.0,39000000.0,,,,,,0.0,,
1995,,,,,,,,,,,,0.0,,
1994,,,,,,,,,,,,0.0,,
1993,,,,,,,,,,,,0.0,,
