year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,7870000000.0,14.0,3470000000.0,,,,,,,,170000000.0,0.81,9.61,
2025,7710000000.0,13.73,3410000000.0,40.55,2440000000.0,7350000000.0,15830000000.0,4200000000.0,37.2,11620000000.0,170000000.0,0.74,11.6,21.3
2024,7080000000.0,11.31,3030000000.0,38.08,2970000000.0,7740000000.0,15500000000.0,3720000000.0,41.6,11770000000.0,180000000.0,0.72,12.2,23.2
2023,5910000000.0,8.76,2260000000.0,32.71,2190000000.0,7410000000.0,14620000000.0,3470000000.0,44.0,11140000000.0,180000000.0,0.8,12.1,20.6
2022,5460000000.0,7.46,2000000000.0,32.19,1850000000.0,7860000000.0,14340000000.0,2680000000.0,36.5,11660000000.0,180000000.0,1.03,9.33,19.0
2021,6210000000.0,11.87,2960000000.0,44.31,1900000000.0,7970000000.0,14680000000.0,2910000000.0,31.9,11760000000.0,180000000.0,0.66,11.7,24.9
2020,5370000000.0,9.47,2440000000.0,41.5,2690000000.0,6940000000.0,12400000000.0,1760000000.0,29.5,10640000000.0,180000000.0,0.8,10.1,30.9
2019,4820000000.0,7.52,2029999999.9999998,37.48,1930000000.0,6150000000.0,10260000000.0,830000000.0,30.1,9420000000.0,180000000.0,0.88,9.23,53.2
2018,4440000000.0,6.84,1900000000.0,37.63,1810000000.0,5670000000.0,9520000000.0,650000000.0,19.3,8870000000.0,190000000.0,1.33,6.03,40.8
2017,4200000000.0,5.23,2000000000.0,42.51,1180000000.0,5540000000.0,8590000000.0,,26.3,8700000000.0,190000000.0,1.1,6.71,-246.0
2016,3600000000.0,1.35,700000000.0,15.48,2220000000.0,3360000000.0,5320000000.0,,64.4,6350000000.0,190000000.0,1.7,5.0,-17.5
2015,3480000000.0,4.71,1500000000.0,39.59,2230000000.0,3380000000.0,5100000000.0,,19.3,5430000000.0,190000000.0,1.49,5.65,-59.1
2014,3330000000.0,4.69,1580000000.0,43.82,1670000000.0,2540000000.0,4660000000.0,42900000.0,18.3,4620000000.0,200000000.0,1.3,5.87,456.0
2013,2970000000.0,3.65,1260000000.0,39.34,2100000000.0,2100000000.0,4390000000.0,420000000.0,19.0,3960000000.0,210000000.0,1.3,5.65,39.2
2012,2730000000.0,3.1,1080000000.0,37.51,1770000000.0,1670000000.0,3960000000.0,460000000.0,14.1,3490000000.0,220000000.0,1.46,4.11,24.0
2011,2280000000.0,,900000000.0,36.82,770000000.0,1240000000.0,2870000000.0,,,2970000000.0,220000000.0,1.85,3.28,-76.4
2010,2029999999.9999998,,770000000.0,35.16,670000000.0,1230000000.0,2540000000.0,,,2830000000.0,230000000.0,1.87,3.01,-20.5
2009,1790000000.0,,700000000.0,35.96,480000000.0,1190000000.0,2000000000.0,,,2590000000.0,230000000.0,1.8,3.53,-10.6
2008,1750000000.0,,770000000.0,41.57,250000000.0,1460000000.0,1770000000.0,,,2750000000.0,240000000.0,2.44,2.69,-4.79
2007,2250000000.0,,1180000000.0,49.43,440000000.0,1150000000.0,1710000000.0,,,2490000000.0,260000000.0,1.11,3.97,-11.5
2006,2029999999.9999998,,1250000000.0,61.88,480000000.0,300000000.0,1490000000.0,160000000.0,,1330000000.0,280000000.0,0.51,9.45,115.0
2005,1730000000.0,,930000000.0,53.98,580000000.0,300000000.0,1450000000.0,300000000.0,,1140000000.0,290000000.0,0.32,10.3,57.6
2004,1430000000.0,,780000000.0,53.63,610000000.0,300000000.0,1380000000.0,310000000.0,,1070000000.0000001,,0.43,8.99,40.7
2003,1240000000.0,,660000000.0,52.66,260000000.0,300000000.0,950000000.0,,,980000000.0,,0.38,7.26,-282.0
2002,1020000000.0,,530000000.0,50.56,39900000.0,430000000.0,630000000.0,,,950000000.0,,0.55,6.1,-19.1
2001,790000000.0,,390000000.0,47.94,160000000.0,300000000.0,500000000.0,,,800000000.0,,0.57,7.73,
2000,600000000.0,,280000000.0,,110000000.0,300000000.0,,,,,,0.22,,
1999,5900000000.0,,1300000000.0,,3400000.0,120000000.0,,,,,,0.0,,
1998,1930000000.0,,,,90600000.0,36900000.0,,,,,,0.0,,
1997,,,,,,,,,,,,0.0,,
1996,,,,,,,,,,,,0.0,,
1995,,,,,,,,,,,,0.0,,
1994,,,,,,,,,,,,0.0,,
