Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,7870000000.0,3470000000.0,,,,
2025,7710000000.0,3410000000.0,37.2,2440000000.0,15830000000.0,
2024,7080000000.0,3030000000.0,41.6,2970000000.0,15500000000.0,
2023,5910000000.0,2260000000.0,44.0,2190000000.0,14620000000.0,
2022,5460000000.0,2000000000.0,36.5,1850000000.0,14340000000.0,
2021,6210000000.0,2960000000.0,31.9,1900000000.0,14680000000.0,
2020,5370000000.0,2440000000.0,29.5,2690000000.0,12400000000.0,
2019,4820000000.0,2029999999.9999998,30.1,1930000000.0,10260000000.0,
2018,4440000000.0,1900000000.0,19.3,1810000000.0,9520000000.0,
2017,4200000000.0,2000000000.0,26.3,1180000000.0,8590000000.0,
2016,3600000000.0,700000000.0,64.4,2220000000.0,5320000000.0,
2015,3480000000.0,1500000000.0,19.3,2230000000.0,5100000000.0,
2014,3330000000.0,1580000000.0,18.3,1670000000.0,4660000000.0,
2013,2970000000.0,1260000000.0,19.0,2100000000.0,4390000000.0,
2012,2730000000.0,1080000000.0,14.1,1770000000.0,3960000000.0,
2011,2280000000.0,900000000.0,,770000000.0,2870000000.0,
2010,2029999999.9999998,770000000.0,,670000000.0,2540000000.0,
2009,1790000000.0,700000000.0,,480000000.0,2000000000.0,
2008,1750000000.0,770000000.0,,250000000.0,1770000000.0,
2007,2250000000.0,1180000000.0,,440000000.0,1710000000.0,
2006,2029999999.9999998,1250000000.0,,480000000.0,1490000000.0,
2005,1730000000.0,930000000.0,,580000000.0,1450000000.0,
2004,1430000000.0,780000000.0,,610000000.0,1380000000.0,
2003,1240000000.0,660000000.0,,260000000.0,950000000.0,
2002,1020000000.0,530000000.0,,39900000.0,630000000.0,
2001,790000000.0,390000000.0,,160000000.0,500000000.0,
2000,600000000.0,280000000.0,,110000000.0,,
1999,5900000000.0,1300000000.0,,3400000.0,,
1998,1930000000.0,,,90600000.0,,
