year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,36360000000.0,3.74,6850000000.0,16.87,9220000000.0,27960000000.0,93020000000.0,50070000000.0,,42950000000.0,1280000000.0,3.38,2.82,
2025,35480000000.0,3.71,6270000000.0,16.78,8960000000.0,28510000000.0,91680000000.0,48250000000.0,25.9,43420000000.0,1280000000.0,2.95,3.35,2.52
2024,33189999999.999996,3.28,5970000000.0,14.95,8000000000.0,25020000000.0,89980000000.0,50420000000.0,24.0,39560000000.0,1280000000.0,3.55,3.5,2.13
2023,32320000000.0,3.08,6230000000.0,17.18,7950000000.0,24360000000.0,90940000000.0,51660000000.0,25.4,39280000000.0,1330000000.0,3.51,2.89,2.12
2022,30770000000.0,3.23,6000000000.0,17.41,10570000000.0,24110000000.0,90980000000.0,52720000000.0,22.1,38250000000.0,1320000000.0,3.73,3.77,1.99
2021,31780000000.0,3.49,6030000000.0,12.93,10810000000.0,26380000000.0,93080000000.0,51600000000.0,26.5,41480000000.0,1340000000.0,2.67,5.07,2.67
2020,27920000000.0,2.63,3480000000.0,14.02,10940000000.0,24790000000.0,90680000000.0,50870000000.0,38.9,39810000000.0,1340000000.0,2.23,4.85,3.13
2019,31060000000.0,3.48,6790000000.0,17.01,9840000000.0,25310000000.0,89690000000.0,50210000000.0,27.8,39480000000.0,1340000000.0,2.19,4.73,3.0
2018,30550000000.0,1.67,6670000000.0,18.95,11220000000.0,25760000000.0,91390000000.0,50820000000.0,45.5,40570000000.0,1340000000.0,1.92,3.98,2.46
2017,29720000000.0,3.69,5610000000.0,15.49,13700000000.0,33400000000.0,99850000000.0,50330000000.0,18.0,49520000000.0,1350000000.0,2.73,3.68,2.12
2016,29360000000.0,3.05,5580000000.0,15.04,12630000000.0,31010000000.0,99640000000.0,52060000000.0,18.8,47580000000.0,1380000000.0,2.92,3.94,1.94
2015,28570000000.0,1.94,4590000000.0,17.21,19480000000.0,36100000000.0,106680000000.0,53230000000.0,31.2,53450000000.0,1410000000.0,2.39,4.03,2.07
2014,17520000000.0,2.93,4250000000.0,21.79,14240000000.0,11870000000.0,37940000000.0,19440000000.0,19.0,18500000000.0,980000000.0,2.14,3.84,3.66
