Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,36360000000.0,6850000000.0,,9220000000.0,93020000000.0,
2025,35480000000.0,6270000000.0,25.9,8960000000.0,91680000000.0,
2024,33189999999.999996,5970000000.0,24.0,8000000000.0,89980000000.0,
2023,32320000000.0,6230000000.0,25.4,7950000000.0,90940000000.0,
2022,30770000000.0,6000000000.0,22.1,10570000000.0,90980000000.0,
2021,31780000000.0,6030000000.0,26.5,10810000000.0,93080000000.0,
2020,27920000000.0,3480000000.0,38.9,10940000000.0,90680000000.0,
2019,31060000000.0,6790000000.0,27.8,9840000000.0,89690000000.0,
2018,30550000000.0,6670000000.0,45.5,11220000000.0,91390000000.0,
2017,29720000000.0,5610000000.0,18.0,13700000000.0,99850000000.0,
2016,29360000000.0,5580000000.0,18.8,12630000000.0,99640000000.0,
2015,28570000000.0,4590000000.0,31.2,19480000000.0,106680000000.0,
2014,17520000000.0,4250000000.0,19.0,14240000000.0,37940000000.0,
2013,16899999999.999998,4760000000.0,11.5,11130000000.0,34900000000.0,
2012,16420000000.000002,4500000000.0,,9350000000.0,32810000000.000004,
2011,16180000000.0,4400000000.0,,2420000000.0,30670000000.0,
2010,15720000000.0,4460000000.0,,3770000000.0,28090000000.0,
2009,15450000000.0,2480000000.0,,1670000000.0,23580000000.0,
2008,14630000000.0,3980000000.0,,1610000000.0,22190000000.0,
2007,12930000000.0,3840000000.0,,3070000000.0,19510000000.0,
2006,12080000000.0,3770000000.0,,6100000000.0,19660000000.0,
2005,11000000000.0,3640000000.0,,3390000000.0,16610000000.0,
2004,9940000000.0,3420000000.0,,1920000000.0,14110000000.0,
2003,8560000000.000001,2920000000.0,,1490000000.0,12400000000.0,
2002,7300000000.0,2500000000.0,,530000000.0,10900000000.0,
2001,6130000000.0,2040000000.0,,1230000000.0,7030000000.0,
2000,5460000000.0,1830000000.0,,570000000.0,,
1999,4670000000.0,1500000000.0,,380000000.0,,
1998,3720000000.0,1210000000.0,,510000000.0,,
1997,2770000000.0,890000000.0,,190000000.0,,
1996,2390000000.0,750000000.0,,110000000.0,,
