year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,214960000000.0,27.95,90780000000.0,,,,,,,,2530000000.0,0.35,6.19,
2025,200960000000.0,23.97,87090000000.0,42.76,81590000000.0,83890000000.0,366020000000.0,217240000000.0,27.5,148770000000.0,2520000000.0,0.32,8.16,7.55
2024,164500000000.0,24.61,71370000000.0,42.96,77810000000.0,49060000000.0,276050000000.0,182630000000.0,23.8,93410000000.0,2520000000.0,0.34,9.2,8.29
2023,134900000000.0,15.2,47870000000.0,35.16,65400000000.00001,37230000000.0,229620000000.0,153160000000.0,23.2,76450000000.0,2560000000.0,0.0,6.74,5.94
2022,116600000000.0,8.61,29140000000.0,24.71,40730000000.0,26590000000.0,185720000000.0,125710000000.0,13.9,60010000000.0,2630000000.0,0.0,2.74,2.54
2021,117920000000.0,14.0,46750000000.0,40.1,47990000000.0,13870000000.0,165980000000.0,124870000000.0,23.9,41100000000.0,2760000000.0,0.0,7.82,7.38
2020,85960000000.0,10.23,32670000000.0,38.6,61950000000.0,10650000000.0,159310000000.0,128289999999.99998,26.6,31020000000.0,2850000000.0,0.0,9.05,6.07
2019,70690000000.0,6.48,29830000000.0,35.1,54850000000.0,10320000000.0,133370000000.0,101050000000.0,31.5,32320000000.0,2850000000.0,0.0,8.28,5.79
2018,55830000000.0,7.66,25370000000.0,45.42,41110000000.0,500000000.0,97330000000.0,84120000000.0,17.0,13200000000.0,2870000000.0,0.0,6.7,4.45
2017,40650000000.0,5.49,20590000000.0,50.66,41710000000.0,340000000.0,84520000000.0,74340000000.0,32.0,10170000000.0,2900000000.0,0.0,12.6,6.9
2016,27630000000.0,3.32,12510000000.0,45.29,29440000000.0,,64959999999.99999,59190000000.0,34.5,5760000000.0,2880000000.0,0.0,12.0,5.6
2015,17920000000.0,1.31,6210000000.0,34.55,18430000000.0,310000000.0,49400000000.0,44210000000.0,79.5,5180000000.0,2820000000.0,0.0,16.5,6.71
2014,12460000000.0,1.12,4930000000.0,39.39,11190000000.0,230000000.0,39960000000.0,36090000000.0,69.3,3870000000.0,2760000000.0,0.0,17.4,6.0
2013,7870000000.0,0.61,2790000000.0,34.98,11440000000.0,470000000.0,17890000000.0,15470000000.0,89.1,2420000000.0,2450000000.0,0.0,17.7,9.0
2012,5080000000.0,-0.005924,540000000.0,9.71,9620000000.0,2350000000.0,15100000000.0,11750000000.0,,3340000000.0,2360000000.0,0.0,12.4,5.37
2011,3710000000.0,,1730000000.0,45.68,3900000000.0,670000000.0,6330000000.0,4890000000.0,,1430000000.0,2450000000.0,,,
2010,,,,51.06,1780000000.0,470000000.0,2990000000.0,2160000000.0,,820000000.0,,,,
