Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,214960000000.0,90780000000.0,,,,
2025,200960000000.0,87090000000.0,27.5,81590000000.0,366020000000.0,
2024,164500000000.0,71370000000.0,23.8,77810000000.0,276050000000.0,
2023,134900000000.0,47870000000.0,23.2,65400000000.00001,229620000000.0,
2022,116600000000.0,29140000000.0,13.9,40730000000.0,185720000000.0,
2021,117920000000.0,46750000000.0,23.9,47990000000.0,165980000000.0,
2020,85960000000.0,32670000000.0,26.6,61950000000.0,159310000000.0,
2019,70690000000.0,29830000000.0,31.5,54850000000.0,133370000000.0,
2018,55830000000.0,25370000000.0,17.0,41110000000.0,97330000000.0,
2017,40650000000.0,20590000000.0,32.0,41710000000.0,84520000000.0,
2016,27630000000.0,12510000000.0,34.5,29440000000.0,64959999999.99999,
2015,17920000000.0,6210000000.0,79.5,18430000000.0,49400000000.0,
2014,12460000000.0,4930000000.0,69.3,11190000000.0,39960000000.0,
2013,7870000000.0,2790000000.0,89.1,11440000000.0,17890000000.0,
2012,5080000000.0,540000000.0,,9620000000.0,15100000000.0,
2011,3710000000.0,1730000000.0,,3900000000.0,6330000000.0,
2010,,,,1780000000.0,2990000000.0,
