year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,27510000000.0,8.04,5290000000.0,,,,,,,,480000000.0,1.92,3.01,
2025,26980000000.0,8.48,5530000000.0,20.53,2680000000.0,21440000000.0,58710000000.0,15310000000.0,21.8,43390000000.0,480000000.0,1.85,3.33,5.87
2024,24450000000.0,8.24,5480000000.0,22.41,2390000000.0,21860000000.0,56480000000.0,13530000000.0,25.2,42940000000.0,490000000.0,1.45,4.27,7.71
2023,22730000000.0,7.6,5020000000.0,22.11,3350000000.0,15430000000.0,48030000000.0,12370000000.0,24.1,35660000000.0,490000000.0,1.41,4.11,7.55
2022,20720000000.0,6.1,4080000000.0,19.7,1440000000.0,13470000000.0,44110000000.0,10740000000.0,25.8,33360000000.0,490000000.0,1.42,3.96,7.64
2021,19820000000.0,6.19,4200000000.0,21.23,1750000000.0,13160000000.0,34380000000.0,11220000000.0,26.3,23160000000.0,500000000.0,1.21,4.42,7.8
2020,17220000000.0,3.98,2790000000.0,16.22,2080000000.0,13570000000.0,33040000000.0,9260000000.0,27.2,23780000000.0,500000000.0,1.69,3.45,6.42
2019,16649999999.999998,3.45,2430000000.0,14.65,1150000000.0,14220000000.0,31350000000.0,7940000000.0,29.3,23410000000.0,500000000.0,1.7,3.37,7.06
2018,14950000000.0,3.26,2240000000.0,15.01,1060000000.0,5820000000.0,21570000000.0,7580000000.0,21.8,13990000000.0,500000000.0,2.2,2.69,5.3
2017,14020000000.0,2.91,2640000000.0,18.85,1200000000.0,5480000000.0,20420000000.0,7440000000.0,24.5,12980000000.0,510000000.0,1.99,2.96,5.58
2016,13210000000.0,3.41,2480000000.0,18.77,1020000000.0,4800000000.0,18190000000.0,6270000000.0,17.0,11910000000.0,510000000.0,2.22,2.64,5.56
2015,12890000000.0,3.0,2300000000.0,17.89,1370000000.0,4410000000.0,18210000000.0,6600000000.0,15.5,11610000000.0,520000000.0,2.51,2.24,4.38
2014,12950000000.0,2.68,2049999999.9999998,15.88,1950000000.0,3370000000.0,17790000000.0,7130000000.0,17.6,10660000000.0,540000000.0,2.23,2.39,4.33
2013,12260000000.0,2.47,1970000000.0,16.09,2300000000.0,2950000000.0,16980000000.0,7970000000.0,15.8,9000000000.0,540000000.0,2.44,2.16,3.32
2012,11920000000.0,2.16,1690000000.0,14.22,2300000000.0,2910000000.0,16280000000.000002,6600000000.0,12.5,9680000000.0,540000000.0,3.29,1.58,2.85
2011,11520000000.0,,1400000000.0,12.18,2109999999.9999998,2920000000.0,15450000000.0,5940000000.0,,9510000000.0,540000000.0,3.53,1.48,2.86
2010,10550000000.0,,760000000.0,7.29,1890000000.0,3030000000.0,15310000000.0,6410000000.0,,8890000000.0,540000000.0,3.96,1.4,2.3
2009,10160000000.0,,570000000.0,5.61,1700000000.0,3590000000.0,15330000000.0,5860000000.0,,9470000000.0,520000000.0,5.01,1.15,1.99
2008,11570000000.0,,77000000.0,4.6,1680000000.0,3600000000.0,15200000000.0,5720000000.0,,9480000000.0,510000000.0,4.74,1.08,2.18
2007,11270000000.0,,840000000.0,7.58,2130000000.0,3860000000.0,17350000000.0,7820000000.0,,9530000000.0,530000000.0,4.25,1.22,1.76
2006,11210000000.0,,1080000000.0,8.82,2009999999.9999998,4970000000.0,18130000000.0,5810000000.0,,12310000000.0,550000000.0,3.37,1.51,2.91
2005,11300000000.0,,530000000.0,2.77,2020000000.0,5540000000.0,17890000000.0,5360000000.0,,12530000000.0,530000000.0,3.33,1.53,3.23
2004,12110000000.0,,450000000.0,3.42,1370000000.0,5320000000.0,18490000000.0,5050000000.0,,13440000000.0,520000000.0,4.79,1.43,3.43
2003,11580000000.0,,2340000000.0,20.23,660000000.0,3350000000.0,15050000000.0,5450000000.0,,9600000000.0,530000000.0,4.11,2.18,4.63
2002,10440000000.0,,2130000000.0,20.53,540000000.0,3430000000.0,13850000000.0,5010000000.0,,8830000000.0,530000000.0,3.0,2.38,4.96
2001,10010000000.0,,1580000000.0,16.11,530000000.0,3090000000.0,13760000000.0,5170000000.0,,8590000000.0,,2.5,2.94,
2000,10150000000.0,,1930000000.0,,240000000.0,2680000000.0,,,,,,2.85,,
1999,9150000000.0,,1240000000.0,,420000000.0,3480000000.0,,,,,,3.17,,
1998,7190000000.0,,1300000000.0,,610000000.0,3820000000.0,,,,,,4.59,,
1997,6100000000.0,,660000000.0,,420000000.0,1470000000.0,,,,,,4.79,,
1996,4139999999.9999995,,660000000.0,,290000000.0,850000000.0,,,,,,6.15,,
1995,,,,,,,,,,,,6.73,,
1994,,,,,,,,,,,,5.58,,
1993,,,,,,,,,,,,5.33,,
1992,,,,,,,,,,,,6.39,,
1991,,,,,,,,,,,,7.28,,
1990,,,,,,,,,,,,5.81,,
1989,,,,,,,,,,,,7.76,,
1988,,,,,,,,,,,,8.17,,
1987,,,,,,,,,,,,8.93,,
1986,,,,,,,,,,,,7.58,,
1985,,,,,,,,,,,,8.72,,
1984,,,,,,,,,,,,8.41,,
1983,,,,,,,,,,,,10.16,,
1982,,,,,,,,,,,,0.0,,
1981,,,,,,,,,,,,0.0,,
1980,,,,,,,,,,,,0.0,,
1979,,,,,,,,,,,,0.0,,
1978,,,,,,,,,,,,0.0,,
1977,,,,,,,,,,,,0.0,,
1976,,,,,,,,,,,,0.0,,
1975,,,,,,,,,,,,0.0,,
1974,,,,,,,,,,,,0.0,,
1973,,,,,,,,,,,,0.0,,
