Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,27510000000.0,5290000000.0,,,,
2025,26980000000.0,5530000000.0,21.8,2680000000.0,58710000000.0,
2024,24450000000.0,5480000000.0,25.2,2390000000.0,56480000000.0,
2023,22730000000.0,5020000000.0,24.1,3350000000.0,48030000000.0,
2022,20720000000.0,4080000000.0,25.8,1440000000.0,44110000000.0,
2021,19820000000.0,4200000000.0,26.3,1750000000.0,34380000000.0,
2020,17220000000.0,2790000000.0,27.2,2080000000.0,33040000000.0,
2019,16649999999.999998,2430000000.0,29.3,1150000000.0,31350000000.0,
2018,14950000000.0,2240000000.0,21.8,1060000000.0,21570000000.0,
2017,14020000000.0,2640000000.0,24.5,1200000000.0,20420000000.0,
2016,13210000000.0,2480000000.0,17.0,1020000000.0,18190000000.0,
2015,12890000000.0,2300000000.0,15.5,1370000000.0,18210000000.0,
2014,12950000000.0,2049999999.9999998,17.6,1950000000.0,17790000000.0,
2013,12260000000.0,1970000000.0,15.8,2300000000.0,16980000000.0,
2012,11920000000.0,1690000000.0,12.5,2300000000.0,16280000000.000002,
2011,11520000000.0,1400000000.0,,2109999999.9999998,15450000000.0,
2010,10550000000.0,760000000.0,,1890000000.0,15310000000.0,
2009,10160000000.0,570000000.0,,1700000000.0,15330000000.0,
2008,11570000000.0,77000000.0,,1680000000.0,15200000000.0,
2007,11270000000.0,840000000.0,,2130000000.0,17350000000.0,
2006,11210000000.0,1080000000.0,,2009999999.9999998,18130000000.0,
2005,11300000000.0,530000000.0,,2020000000.0,17890000000.0,
2004,12110000000.0,450000000.0,,1370000000.0,18490000000.0,
2003,11580000000.0,2340000000.0,,660000000.0,15050000000.0,
2002,10440000000.0,2130000000.0,,540000000.0,13850000000.0,
2001,10010000000.0,1580000000.0,,530000000.0,13760000000.0,
2000,10150000000.0,1930000000.0,,240000000.0,,
1999,9150000000.0,1240000000.0,,420000000.0,,
1998,7190000000.0,1300000000.0,,610000000.0,,
1997,6100000000.0,660000000.0,,420000000.0,,
1996,4139999999.9999995,660000000.0,,290000000.0,,
