year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,20370000000.0,4.77,11730000000.0,,,,,,,,1670000000.0,5.82,5.48,
2025,20130000000.0,,10560000000.0,46.62,4470000000.0,25700000000.0,35010000000.0,,,38460000000.0,1680000000.0,7.21,4.78,-27.9
2024,20440000000.0,6.57,14780000000.0,66.81,3120000000.0,24920000000.0,35170000000.0,,7.68,37360000000.0,1690000000.0,7.92,4.34,-40.6
2023,20500000000.0,,12070000000.0,53.3,3680000000.0,26230000000.0,38570000000.0,,,42060000000.0,1760000000.0,10.71,3.48,-20.4
2022,20680000000.0,,8510000000.0,35.72,4030000000.0000005,26680000000.0,36950000000.0,,,40870000000.0,1790000000.0,9.88,3.96,-20.9
2021,21110000000.0,1.34,5010000000.0,18.11,4540000000.0,28040000000.0,39520000000.0,,26.6,41120000000.0,1820000000.0,9.86,4.09,-53.8
2020,20840000000.0,2.4,4980000000.0,33.06,4940000000.0,29470000000.0,47410000000.0,2960000000.0,12.0,44440000000.0,1850000000.0,11.83,3.66,25.7
2019,19790000000.0,-0.69,1710000000.0,3.87,2109999999.9999998,28040000000.0,49270000000.0,6310000000.0,-46.1,42950000000.0,1850000000.0,10.25,4.68,14.7
2018,19620000000.0,3.69,10030000000.0,47.59,1330000000.0,25740000000.0,55450000000.0,14780000000.0,8.04,40670000000.0,1860000000.0,10.11,4.72,6.26
2017,19490000000.0,,10520000000.0,50.42,1250000000.0,13890000000.0,43200000000.0,15380000000.0,,27820000000.0,1910000000.0,6.24,6.99,8.86
2016,19330000000.0,,22610000000.0,113.01,4560000000.0,13880000000.0,45930000000.0,12770000000.0,,33150000000.0,1950000000.0,6.32,6.82,10.3
2015,18850000000.0,2.68,8890000000.0,42.85,2360000000.0,12840000000.0,31450000000.0,2870000000.0,11.5,28580000000.0,1940000000.0,7.02,6.05,39.7
2014,17940000000.0,2.57,8630000000.0,43.32,3320000000.0,14690000000.0,34470000000.0,3010000000.0,9.76,31460000000.0,1960000000.0,7.97,5.43,32.4
2013,17660000000.0,2.26,8470000000.000001,39.3,3170000000.0,14510000000.0,34850000000.0,4110000000.0000005,8.26,30740000000.0,2029999999.9999998,9.86,4.33,18.6
2012,17500000000.0,2.06,8050000000.000001,37.01,2900000000.0,13870000000.0,35320000000.0,3170000000.0,7.05,32150000000.0,2000000000.0,11.71,3.61,19.9
2011,16610000000.0,,7020000000.0,33.59,3270000000.0,13680000000.0,36750000000.0,3680000000.0,,33060000000.000004,2049999999.9999998,12.16,3.67,16.6
2010,16890000000.0,,6450000000.0,33.88,2310000000.0,12190000000.0,37400000000.0,5220000000.0,,32170000000.0,2080000000.0,14.35,3.04,9.84
2009,16820000000.0,,6060000000.0,28.99,1870000000.0,11960000000.0,36670000000.0,4099999999.9999995,,32570000000.0,2049999999.9999998,17.37,2.42,9.93
2008,15150000000.0,,2640000000.0,30.01,7910000000.0,7470000000.0,27210000000.0,2820000000.0,,24380000000.0,2049999999.9999998,974.05,2.05,11.0
2007,32500000000.0,,11100000000.0,30.75,4840000000.0,4730000000.0,57740000000.0,18900000000.0,,38840000000.0,2100000000.0,316.56,4.9,8.43
2006,60780000000.0,,13240000000.0,31.33,4780000000.0,7360000000.0,104270000000.0,39610000000.0,,64650000000.00001,2080000000.0,51.47,2.96,4.54
2005,68920000000.0,,16480000000.0,17.76,6250000000.0,24130000000.0,107940000000.0,39840000000.0,,68099999999.99999,2069999999.9999998,56.86,2.26,3.91
2004,63610000000.0,,15220000000.0,21.89,5740000000.0,22980000000.0,101640000000.0,35470000000.0,,66170000000.0,2049999999.9999998,66.92,1.98,3.55
2003,60700000000.0,,15910000000.0,24.27,3770000000.0,24530000000.0,96170000000.0,29830000000.0,,66330000000.0,2020000000.0,74.14,1.83,3.71
2002,62180000000.0,,16600000000.000002,29.08,560000000.0,23320000000.0,87540000000.0,24330000000.0,,63200000000.0,2100000000.0,97.86,1.33,3.4
2001,65810000000.0,,15700000000.0,22.43,450000000.0,20090000000.0,84960000000.0,23630000000.0,,61330000000.0,2170000000.0,82.96,1.5,
2000,63270000000.0,,14670000000.0,,930000000.0,29120000000.0,,,,,2220000000.0,82.38,,
1999,61750000000.0,,13490000000.0,,5100000000.0,14460000000.0,,,,,2380000000.0,154.5,,
1998,57810000000.0,,13350000000.0,,4080000000.0,14660000000.0,,,,,2430000000.0,63.95,,
1997,56110000000.0,,13120000000.0,,2280000000.0,14100000000.0,,,,,2420000000.0,74.81,,
1996,54550000000.0,,11760000000.0,,240000000.0,15240000000.0,,,,,,85.42,,
1995,,,,,,,,,,,,78.65,,
1994,,,,,,,,,,,,125.64,,
1993,,,,,,,,,,,,117.65,,
1992,,,,,,,,,,,,80.5,,
1991,,,,,,,,,,,,64.77,,
1990,,,,,,,,,,,,83.7,,
1989,,,,,,,,,,,,87.02,,
1988,,,,,,,,,,,,119.21,,
1987,,,,,,,,,,,,115.55,,
1986,,,,,,,,,,,,111.56,,
1985,,,,,,,,,,,,152.33,,
1984,,,,,,,,,,,,148.8,,
1983,,,,,,,,,,,,149.54,,
1982,,,,,,,,,,,,154.96,,
1981,,,,,,,,,,,,166.47,,
1980,,,,,,,,,,,,156.33,,
1979,,,,,,,,,,,,152.75,,
1978,,,,,,,,,,,,132.73,,
1977,,,,,,,,,,,,118.78,,
1976,,,,,,,,,,,,90.07,,
1975,,,,,,,,,,,,86.15,,
1974,,,,,,,,,,,,81.23,,
1973,,,,,,,,,,,,60.04,,
1972,,,,,,,,,,,,55.17,,
1971,,,,,,,,,,,,90.2,,
1970,,,,,,,,,,,,86.26,,
