Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,20370000000.0,11730000000.0,,,,
2025,20130000000.0,10560000000.0,,4470000000.0,35010000000.0,
2024,20440000000.0,14780000000.0,7.68,3120000000.0,35170000000.0,
2023,20500000000.0,12070000000.0,,3680000000.0,38570000000.0,
2022,20680000000.0,8510000000.0,,4030000000.0000005,36950000000.0,
2021,21110000000.0,5010000000.0,26.6,4540000000.0,39520000000.0,
2020,20840000000.0,4980000000.0,12.0,4940000000.0,47410000000.0,
2019,19790000000.0,1710000000.0,-46.1,2109999999.9999998,49270000000.0,
2018,19620000000.0,10030000000.0,8.04,1330000000.0,55450000000.0,
2017,19490000000.0,10520000000.0,,1250000000.0,43200000000.0,
2016,19330000000.0,22610000000.0,,4560000000.0,45930000000.0,
2015,18850000000.0,8890000000.0,11.5,2360000000.0,31450000000.0,
2014,17940000000.0,8630000000.0,9.76,3320000000.0,34470000000.0,
2013,17660000000.0,8470000000.000001,8.26,3170000000.0,34850000000.0,
2012,17500000000.0,8050000000.000001,7.05,2900000000.0,35320000000.0,
2011,16610000000.0,7020000000.0,,3270000000.0,36750000000.0,
2010,16890000000.0,6450000000.0,,2310000000.0,37400000000.0,
2009,16820000000.0,6060000000.0,,1870000000.0,36670000000.0,
2008,15150000000.0,2640000000.0,,7910000000.0,27210000000.0,
2007,32500000000.0,11100000000.0,,4840000000.0,57740000000.0,
2006,60780000000.0,13240000000.0,,4780000000.0,104270000000.0,
2005,68920000000.0,16480000000.0,,6250000000.0,107940000000.0,
2004,63610000000.0,15220000000.0,,5740000000.0,101640000000.0,
2003,60700000000.0,15910000000.0,,3770000000.0,96170000000.0,
2002,62180000000.0,16600000000.000002,,560000000.0,87540000000.0,
2001,65810000000.0,15700000000.0,,450000000.0,84960000000.0,
2000,63270000000.0,14670000000.0,,930000000.0,,
1999,61750000000.0,13490000000.0,,5100000000.0,,
1998,57810000000.0,13350000000.0,,4080000000.0,,
1997,56110000000.0,13120000000.0,,2280000000.0,,
1996,54550000000.0,11760000000.0,,240000000.0,,
