year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,2950000000.0,13.96,830000000.0,,,,,,,,49090000.0,0.53,17.5,
2025,2790000000.0,12.82,760000000.0,26.11,1250000000.0,19970000.0,4190000000.0000005,3530000000.0,70.7,660000000.0,48500000.0,0.69,16.1,12.7
2024,2200000000.0,36.92,570000000.0,24.44,860000000.0,12970000.0,3510000000.0,2950000000.0,15.9,560000000.0,48310000.0,0.85,13.5,10.1
2023,1820000000.0,8.98,500000000.0,26.45,1100000000.0,5560000.0,2430000000.0,2040000000.0,69.4,380000000.0,47930000.0,0.64,16.6,14.7
2022,1790000000.0,9.36,520000000.0,29.36,730000000.0,1660000.0,2049999999.9999998,1660000000.0,37.1,390000000.0,46970000.0,0.87,9.25,9.95
2021,1200000000.0,5.28,270000000.0,21.73,720000000.0,,1580000000.0,1240000000.0,90.9,340000000.0,46130000.0,0.5,18.8,18.3
2020,840000000.0,3.66,160000000.0,19.74,590000000.0,3090000.0,1200000000.0,960000000.0,96.8,240000000.0,45140000.0,0.56,19.6,17.1
2019,620000000.0,2.52,110000000.0,16.73,450000000.0,2350000.0,950000000.0,770000000.0,67.8,180000000.0,43490000.0,0.94,12.4,10.0
2018,580000000.0,2.49,110000000.0,19.82,370000000.0,,790000000.0,640000000.0,44.3,150000000.0,42460000.0,1.09,8.48,7.72
2017,470000000.0,1.57,82940000.0,16.7,290000000.0,,650000000.0,520000000.0,67.3,130000000.0,41570000.0,0.76,9.91,8.94
2016,380000000.0,1.3,57260000.0,13.95,260000000.0,,510000000.0,430000000.0,58.8,80010000.0,40730000.0,1.05,8.57,7.73
2015,330000000.0,0.89,42490000.0,12.63,230000000.0,,430000000.0,360000000.0,66.0,62760000.0,39610000.0,1.36,7.59,6.86
2014,280000000.0,0.92,36390000.0,9.65,230000000.0,,390000000.0,340000000.0,49.1,52940000.0,38800000.0,1.0,6.84,5.58
2013,230000000.0,0.62,24000000.0,9.89,220000000.0,,360000000.0,320000000.0,50.3,45500000.0,38320000.0,0.0,5.57,4.1
2012,210000000.0,0.46,17890000.0,6.7,160000000.0,,280000000.0,250000000.0,43.6,28860000.0,35550000.0,4.99,3.72,3.08
2011,190000000.0,,13720000.0,8.55,170000000.0,,270000000.0,240000000.0,,30990000.0,33590000.0,0.0,2.58,2.09
2010,210000000.0,,31420000.0,16.41,170000000.0,,280000000.0,240000000.0,,34700000.0,36180000.0,0.0,2.65,2.35
2009,160000000.0,,20140000.0,11.84,160000000.0,,240000000.0,210000000.0,,28860000.0,34550000.0,0.0,5.11,3.96
2008,160000000.0,,25440000.0,14.02,100000000.0,,190000000.0,160000000.0,,30650000.0,33860000.0,0.0,2.64,2.58
2007,130000000.0,,14270000.0,7.22,110000000.0,,170000000.0,130000000.0,,35050000.0,31990000.0,0.0,5.36,5.22
2006,100000000.0,,3590000.0,1.18,78490000.0,,110000000.0,94950000.0,,22370000.0,29730000.0,0.0,3.21,3.55
2005,99130000.0,,16600000.000000002,6.52,63900000.0,,100000000.0,78160000.0,,22600000.0,28090000.0,0.0,4.03,5.12
2004,47590000.0,,4880000.0,-11.0,49010000.0,,72380000.0,63930000.0,,8440000.0,6810000.0,0.0,5.21,3.88
2003,24200000.0,,,-13.25,13140000.0,,22600000.0,1230000.0,,21370000.0,6140000.0,,,
2002,12200000.0,,,-26.99,17220000.0,,21610000.0,1970000.0,,19630000.0,5900000.0,,,
2001,,,,-5.59,,,,,,,,,,
2000,,,,,900000.0,,,,,,,,,
