year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,2790459000.0,Revenues,0001437749-26-006113,USD,True,621483000.0,NetIncomeLoss,0001437749-26-006113,USD,True,838202000.0,NetCashProvidedByUsedInOperatingActivities,0001437749-26-006113,USD,True,172013000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001437749-26-006113,USD,True,728636000.0,OperatingIncomeLoss,0001437749-26-006113,USD,True,,,,,False,144733000.0,IncomeTaxExpenseBenefit,0001437749-26-006113,USD,True,0.189,EffectiveIncomeTaxRateContinuingOperations,0001437749-26-006113,pure,True,766216000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001437749-26-006113,USD,True,1099302000.0,CashAndCashEquivalentsAtCarryingValue,0001437749-26-006113,USD,True,157243000.0,ShortTermInvestments,0001437749-26-006113,USD,True,,,,,False,,,,,False,,,,,False,3531497000.0,StockholdersEquity,0001437749-26-006113,USD,True,1256545000.0,,666189000.0,0.18889321026968897,,,,728636000.0,False,0.23873814307968688,1.0719343891948774,False,True,MPWR,0001280452,ticker:MPWR,22
2024,2207100000.0,Revenues,0001437749-25-005903,USD,True,1786700000.0,NetIncomeLoss,0001437749-25-005903,USD,True,788410000.0,NetCashProvidedByUsedInOperatingActivities,0001437749-25-005903,USD,True,146118000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001437749-25-005903,USD,True,539358000.0,OperatingIncomeLoss,0001437749-25-005903,USD,True,,,,,False,-1213788000.0,IncomeTaxExpenseBenefit,0001437749-25-005903,USD,True,-2.119,EffectiveIncomeTaxRateContinuingOperations,0001437749-25-005903,pure,True,572912000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001437749-25-005903,USD,True,691816000.0,CashAndCashEquivalentsAtCarryingValue,0001437749-25-005903,USD,True,171130000.0,ShortTermInvestments,0001437749-25-005903,USD,True,,,,,False,,,,,False,,,,,False,3145767000.0,StockholdersEquity,0001437749-25-005903,USD,True,862946000.0,,642292000.0,-2.118629039014718,,,,539358000.0,False,0.291011734855693,0.3594850842335031,False,True,MPWR,0001280452,ticker:MPWR,22
2023,1821072000.0,Revenues,0001437749-24-006133,USD,True,427374000.0,NetIncomeLoss,0001437749-24-006133,USD,True,638213000.0,NetCashProvidedByUsedInOperatingActivities,0001437749-24-006133,USD,True,57578000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001437749-24-006133,USD,True,481736000.0,OperatingIncomeLoss,0001437749-24-006133,USD,True,,,,,False,78467000.0,IncomeTaxExpenseBenefit,0001437749-24-006133,USD,True,0.155,EffectiveIncomeTaxRateContinuingOperations,0001437749-24-006133,pure,True,505841000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001437749-24-006133,USD,True,527843000.0,CashAndCashEquivalentsAtCarryingValue,0001437749-24-006133,USD,True,580633000.0,ShortTermInvestments,0001437749-24-006133,USD,True,,,,,False,,,,,False,,,,,False,2049939000.0,StockholdersEquity,0001437749-24-006133,USD,True,1108476000.0,,580635000.0,0.155121866357215,,,,481736000.0,False,0.31884241809220065,1.3586109590195006,False,True,MPWR,0001280452,ticker:MPWR,22
2022,1794148000.0,Revenues,0001437749-23-004540,USD,True,437672000.0,NetIncomeLoss,0001437749-23-004540,USD,True,246674000.0,NetCashProvidedByUsedInOperatingActivities,0001437749-23-004540,USD,True,58843000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001437749-23-004540,USD,True,526785000.0,OperatingIncomeLoss,0001437749-23-004540,USD,True,,,,,False,87265000.0,IncomeTaxExpenseBenefit,0001437749-23-004540,USD,True,0.166,EffectiveIncomeTaxRateContinuingOperations,0001437749-23-004540,pure,True,524937000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001437749-23-004540,USD,True,288607000.0,CashAndCashEquivalentsAtCarryingValue,0001437749-23-004540,USD,True,449266000.0,ShortTermInvestments,0001437749-23-004540,USD,True,,,,,False,,,,,False,,,,,False,1668602000.0,StockholdersEquity,0001437749-23-004540,USD,True,737873000.0,,187831000.0,0.16623899629860345,,,,526785000.0,False,0.10469091736021778,0.4291592790948473,False,True,MPWR,0001280452,ticker:MPWR,22
2021,1207798000.0,Revenues,0001437749-22-004460,USD,True,242023000.0,NetIncomeLoss,0001437749-22-004460,USD,True,320010000.0,NetCashProvidedByUsedInOperatingActivities,0001437749-22-004460,USD,True,94445000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001437749-22-004460,USD,True,262417000.0,OperatingIncomeLoss,0001437749-22-004460,USD,True,,,,,False,30196000.0,IncomeTaxExpenseBenefit,0001437749-22-004460,USD,True,0.111,EffectiveIncomeTaxRateContinuingOperations,0001437749-22-004460,pure,True,272219000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001437749-22-004460,USD,True,189265000.0,CashAndCashEquivalentsAtCarryingValue,0001437749-22-004460,USD,True,535817000.0,ShortTermInvestments,0001437749-22-004460,USD,True,,,,,False,,,,,False,,,,,False,1243985000.0,StockholdersEquity,0001437749-22-004460,USD,True,725082000.0,,225565000.0,0.11092539462712007,,,,262417000.0,False,0.18675722264815806,0.9319981985183227,False,True,MPWR,0001280452,ticker:MPWR,22
2020,844452000.0,Revenues,0001437749-21-004587,USD,True,164375000.0,NetIncomeLoss,0001437749-21-004587,USD,True,267803000.0,NetCashProvidedByUsedInOperatingActivities,0001437749-21-004587,USD,True,55639000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001437749-21-004587,USD,True,158882000.0,OperatingIncomeLoss,0001437749-21-004587,USD,True,,,,,False,4967000.0,IncomeTaxExpenseBenefit,0001437749-21-004587,USD,True,0.029,EffectiveIncomeTaxRateContinuingOperations,0001437749-21-004587,pure,True,169342000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001437749-21-004587,USD,True,334944000.0,CashAndCashEquivalentsAtCarryingValue,0001437749-21-004587,USD,True,260169000.0,ShortTermInvestments,0001437749-21-004587,USD,True,,,,,False,,,,,False,,,,,False,966587000.0,StockholdersEquity,0001437749-21-004587,USD,True,595113000.0,,212164000.0,0.029331175963434944,,,,158882000.0,False,0.2512445941273157,1.2907315589353612,False,True,MPWR,0001280452,ticker:MPWR,22
2019,627921000.0,Revenues,0001437749-20-003943,USD,True,108839000.0,NetIncomeLoss,0001437749-20-003943,USD,True,216303000.0,NetCashProvidedByUsedInOperatingActivities,0001437749-20-003943,USD,True,95806000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001437749-20-003943,USD,True,102562000.0,OperatingIncomeLoss,0001437749-20-003943,USD,True,,,,,False,4281000.0,IncomeTaxExpenseBenefit,0001437749-20-003943,USD,True,0.038,EffectiveIncomeTaxRateContinuingOperations,0001437749-20-003943,pure,True,113120000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001437749-20-003943,USD,True,172960000.0,CashAndCashEquivalentsAtCarryingValue,0001437749-20-003943,USD,True,282437000.0,ShortTermInvestments,0001437749-20-003943,USD,True,,,,,False,,,,,False,,,,,False,773491000.0,StockholdersEquity,0001437749-20-003943,USD,True,455397000.0,,120497000.0,0.0378447666195191,,,,102562000.0,False,0.1918983438999492,1.107112340245684,False,True,MPWR,0001280452,ticker:MPWR,22
2018,582382000.0,Revenues,0001437749-19-003798,USD,True,105268000.0,NetIncomeLoss,0001437749-19-003798,USD,True,141451000.0,NetCashProvidedByUsedInOperatingActivities,0001437749-19-003798,USD,True,22526000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001437749-19-003798,USD,True,113488000.0,OperatingIncomeLoss,0001437749-19-003798,USD,True,,,,,False,13214000.0,IncomeTaxExpenseBenefit,0001437749-19-003798,USD,True,0.112,EffectiveIncomeTaxRateContinuingOperations,0001437749-19-003798,pure,True,118482000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001437749-19-003798,USD,True,172704000.0,CashAndCashEquivalentsAtCarryingValue,0001437749-19-003798,USD,True,204577000.0,ShortTermInvestments,0001437749-19-003798,USD,True,,,,,False,,,,,False,,,,,False,640093000.0,StockholdersEquity,0001437749-19-003798,USD,True,377281000.0,,118925000.0,0.11152748940767374,,,,113488000.0,False,0.20420445686851585,1.1297355321655205,False,True,MPWR,0001280452,ticker:MPWR,22
2017,470929000.0,Revenues,0001437749-18-003639,USD,True,65203000.0,NetIncomeLoss,0001437749-18-003639,USD,True,133821000.0,NetCashProvidedByUsedInOperatingActivities,0001437749-18-003639,USD,True,65773000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001437749-18-003639,USD,True,77424000.0,OperatingIncomeLoss,0001437749-18-003639,USD,True,,,,,False,17741000.0,IncomeTaxExpenseBenefit,0001437749-18-003639,USD,True,0.214,EffectiveIncomeTaxRateContinuingOperations,0001437749-18-003639,pure,True,82944000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001437749-18-003639,USD,True,82759000.0,CashAndCashEquivalentsAtCarryingValue,0001437749-18-003639,USD,True,216331000.0,ShortTermInvestments,0001437749-18-003639,USD,True,,,,,False,,,,,False,,,,,False,522007000.0,StockholdersEquity,0001437749-18-003639,USD,True,299090000.0,,68048000.0,0.21389130015432098,,,,77424000.0,False,0.1444973658449575,1.0436329616735427,False,True,MPWR,0001280452,ticker:MPWR,22
2016,388665000.0,Revenues,0001437749-17-003558,USD,True,52720000.0,NetIncomeLoss,0001437749-17-003558,USD,True,,,,,False,37112000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001437749-17-003558,USD,True,54447000.0,OperatingIncomeLoss,0001437749-17-003558,USD,True,,,,,False,4544000.0,IncomeTaxExpenseBenefit,0001437749-17-003558,USD,True,0.079,EffectiveIncomeTaxRateContinuingOperations,0001437749-17-003558,pure,True,57264000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001437749-17-003558,USD,True,112703000.0,CashAndCashEquivalentsAtCarryingValue,0001437749-17-003558,USD,True,155521000.0,ShortTermInvestments,0001437749-17-003558,USD,True,,,,,False,,,,,False,,,,,False,431116000.0,StockholdersEquity,0001437749-17-003558,USD,True,268224000.0,,,0.07935177423861414,,,,54447000.0,False,,,False,False,MPWR,0001280452,ticker:MPWR,22
