Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,3230000000.0,1780000000.0,,,,
2025,3130000000.0,1700000000.0,36.5,510000000.0,5700000000.0,
2024,2850000000.0,1540000000.0,42.2,400000000.0,5440000000.0,
2023,2520000000.0,1550000000.0,38.3,450000000.0,5510000000.0,
2022,2240000000.0,1210000000.0,41.8,990000000.0,4990000000.0,
2021,2040000000.0,1010000000.0,66.8,1420000000.0,5500000000.0,
2020,1690000000.0,840000000.0,59.1,1300000000.0,4190000000.0000005,
2019,1550000000.0,750000000.0,36.6,1500000000.0,4200000000.0,
2018,1430000000.0,760000000.0,24.0,900000000.0,3380000000.0,
2017,1270000000.0,580000000.0,34.8,880000000.0,3270000000.0,
2016,1150000000.0,480000000.0,26.4,790000000.0,3080000000.0,
2015,1070000000.0000001,410000000.0,31.5,770000000.0,3140000000.0,
2014,990000000.0,340000000.0,17.3,500000000.0,2880000000.0,
2013,940000000.0,340000000.0,20.9,350000000.0,3130000000.0,
2012,950000000.0,340000000.0,18.3,250000000.0,3010000000.0,
2011,900000000.0,310000000.0,,390000000.0,3090000000.0,
2010,660000000.0,200000000.0,,300000000.0,3020000000.0,
2009,440000000.0,150000000.0,,470000000.0,1200000000.0,
2008,430000000.0,130000000.0,,260000000.0,1010000000.0,
2007,370000000.0,,,33810000.0,900000000.0,
2006,310000000.0,83290000.0,,24360000.0,1110000000.0,
2005,270000000.0,73620000.0,,23410000.0,1040000000.0,
2003,,,,5730000.0,120000000.0,
