year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,3134459000.0,Revenues,0001408198-26-000011,USD,True,1202305000.0,NetIncomeLoss,0001408198-26-000011,USD,True,1588446000.0,NetCashProvidedByUsedInOperatingActivities,0001408198-26-000011,USD,True,39319000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001408198-26-000011,USD,True,1713567000.0,OperatingIncomeLoss,0001408198-26-000011,USD,True,,,,,False,291951000.0,IncomeTaxExpenseBenefit,0001408198-26-000011,USD,True,0.195,EffectiveIncomeTaxRateContinuingOperations,0001408198-26-000011,pure,True,1494256000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001408198-26-000011,USD,True,515332000.0,CashAndCashEquivalentsAtCarryingValue,0001408198-26-000011,USD,True,,,,,False,6202119000.0,LongTermDebt,0001408198-26-000011,USD,True,,,,,False,6202286000.0,LongTermDebtNoncurrent,0001408198-26-000011,USD,True,-2654540000.0,StockholdersEquity,0001408198-26-000011,USD,True,515332000.0,6202119000.0,1549127000.0,0.19538218350804681,3032247000.0,1378766537.9526668,0.4547012621177189,1713567000.0,False,0.4942246811969785,1.2884642416025884,True,True,MSCI,0001408198,ticker:MSCI,19
2024,2856128000.0,Revenues,0001408198-25-000053,USD,True,1109128000.0,NetIncomeLoss,0001408198-25-000053,USD,True,1501627000.0,NetCashProvidedByUsedInOperatingActivities,0001408198-25-000053,USD,True,33762000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001408198-25-000053,USD,True,1528518000.0,OperatingIncomeLoss,0001408198-25-000053,USD,True,,,,,False,247040000.0,IncomeTaxExpenseBenefit,0001408198-25-000053,USD,True,0.1822,EffectiveIncomeTaxRateContinuingOperations,0001408198-25-000053,pure,True,1356168000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001408198-25-000053,USD,True,409351000.0,CashAndCashEquivalentsAtCarryingValue,0001408198-25-000053,USD,True,,,,,False,4510816000.0,LongTermDebt,0001408198-25-000053,USD,True,0.0,LongTermDebtCurrent,0001408198-25-000053,USD,True,4510816000.0,LongTermDebtNoncurrent,0001408198-25-000053,USD,True,-939997000.0,StockholdersEquity,0001408198-25-000053,USD,True,409351000.0,4510816000.0,1467865000.0,0.18216032231994855,3161468000.0,1250082668.4481568,0.39541208971533376,1528518000.0,False,0.5139352998184955,1.323440576741368,True,True,MSCI,0001408198,ticker:MSCI,19
2023,2528920000.0,Revenues,0001408198-24-000030,USD,True,1148592000.0,NetIncomeLoss,0001408198-24-000030,USD,True,1236029000.0,NetCashProvidedByUsedInOperatingActivities,0001408198-24-000030,USD,True,22757000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001408198-24-000030,USD,True,1384609000.0,OperatingIncomeLoss,0001408198-24-000030,USD,True,186679000.0,InterestExpense,0001408198-24-000030,USD,True,220469000.0,IncomeTaxExpenseBenefit,0001408198-24-000030,USD,True,0.161,EffectiveIncomeTaxRateContinuingOperations,0001408198-24-000030,pure,True,1369061000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001408198-24-000030,USD,True,461693000.0,CashAndCashEquivalentsAtCarryingValue,0001408198-24-000030,USD,True,,,,,False,4507728000.0,LongTermDebt,0001408198-24-000030,USD,True,10902000.0,LongTermDebtCurrent,0001408198-24-000030,USD,True,4496826000.0,LongTermDebtNoncurrent,0001408198-24-000030,USD,True,-739764000.0,StockholdersEquity,0001408198-24-000030,USD,True,461693000.0,4507728000.0,1213272000.0,0.1610366521287218,3306271000.0,1161636202.1327026,0.35134331158356424,1384609000.0,False,0.4797589484839378,1.0563124242550879,True,True,MSCI,0001408198,ticker:MSCI,19
2022,2248598000.0,Revenues,0001408198-23-000011,USD,True,870573000.0,NetIncomeLoss,0001408198-23-000011,USD,True,1095369000.0,NetCashProvidedByUsedInOperatingActivities,0001408198-23-000011,USD,True,13617000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001408198-23-000011,USD,True,1207640000.0,OperatingIncomeLoss,0001408198-23-000011,USD,True,171571000.0,InterestExpense,0001408198-23-000011,USD,True,173268000.0,IncomeTaxExpenseBenefit,0001408198-23-000011,USD,True,0.166,EffectiveIncomeTaxRateContinuingOperations,0001408198-23-000011,pure,True,1043841000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001408198-23-000011,USD,True,993564000.0,CashAndCashEquivalentsAtCarryingValue,0001408198-23-000011,USD,True,,,,,False,4511947000.0,LongTermDebt,0001408198-23-000011,USD,True,8713000.0,LongTermDebtCurrent,0001408198-23-000011,USD,True,4503233000.0,LongTermDebtNoncurrent,0001408198-23-000011,USD,True,-1007925000.0,StockholdersEquity,0001408198-23-000011,USD,True,993564000.0,4511947000.0,1081752000.0,0.16599079744903678,2510458000.0,1007182873.3686452,0.40119487096324463,1207640000.0,False,0.48107843198295114,1.2425747180305384,True,True,MSCI,0001408198,ticker:MSCI,19
2021,2043544000.0,Revenues,0001564590-22-004803,USD,True,725983000.0,NetIncomeLoss,0001564590-22-004803,USD,True,936069000.0,NetCashProvidedByUsedInOperatingActivities,0001564590-22-004803,USD,True,13509000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001564590-22-004803,USD,True,1072725000.0,OperatingIncomeLoss,0001564590-22-004803,USD,True,159614000.0,InterestExpense,0001564590-22-004803,USD,True,132153000.0,IncomeTaxExpenseBenefit,0001564590-22-004803,USD,True,0.154,EffectiveIncomeTaxRateContinuingOperations,0001564590-22-004803,pure,True,858136000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001564590-22-004803,USD,True,1421449000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-22-004803,USD,True,,,,,False,4161422000.0,LongTermDebt,0001564590-22-004803,USD,True,,,,,False,4161422000.0,LongTermDebtNoncurrent,0001564590-22-004803,USD,True,-163467000.0,StockholdersEquity,0001564590-22-004803,USD,True,1421449000.0,4161422000.0,922560000.0,0.1540000652577214,2576506000.0,907525279.9964108,0.35223099810224034,1072725000.0,False,0.4514510086398923,1.270773558058522,True,True,MSCI,0001408198,ticker:MSCI,19
2020,1695390000.0,Revenues,0001564590-21-005811,USD,True,601822000.0,NetIncomeLoss,0001564590-21-005811,USD,True,811109000.0,NetCashProvidedByUsedInOperatingActivities,0001564590-21-005811,USD,True,21826000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001564590-21-005811,USD,True,884764000.0,OperatingIncomeLoss,0001564590-21-005811,USD,True,156324000.0,InterestExpense,0001564590-21-005811,USD,True,84403000.0,IncomeTaxExpenseBenefit,0001564590-21-005811,USD,True,0.123,EffectiveIncomeTaxRateContinuingOperations,0001564590-21-005811,pure,True,686225000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001564590-21-005811,USD,True,1300521000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-21-005811,USD,True,,,,,False,,,,,False,,,,,False,3366777000.0,LongTermDebtNoncurrent,0001564590-21-005811,USD,True,-443234000.0,StockholdersEquity,0001564590-21-005811,USD,True,1300521000.0,3366777000.0,789283000.0,0.1229961018616343,1623022000.0,775941476.932493,0.4780843863684491,884764000.0,False,0.46554657040562936,1.3114891113983869,True,True,MSCI,0001408198,ticker:MSCI,19
2019,1557796000.0,Revenues,0001564590-20-004992,USD,True,563648000.0,NetIncomeLoss,0001564590-20-004992,USD,True,709523000.0,NetCashProvidedByUsedInOperatingActivities,0001564590-20-004992,USD,True,29116000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001564590-20-004992,USD,True,755701000.0,OperatingIncomeLoss,0001564590-20-004992,USD,True,148041000.0,InterestExpense,0001564590-20-004992,USD,True,39670000.0,IncomeTaxExpenseBenefit,0001564590-20-004992,USD,True,0.0658,EffectiveIncomeTaxRateContinuingOperations,0001564590-20-004992,pure,True,603318000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001564590-20-004992,USD,True,1506567000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-20-004992,USD,True,,,,,False,,,,,False,,,,,False,3071926000.0,LongTermDebtNoncurrent,0001564590-20-004992,USD,True,-76714000.0,StockholdersEquity,0001564590-20-004992,USD,True,1506567000.0,3071926000.0,680407000.0,0.0657530522875167,1488645000.0,706011352.6332713,0.47426441672344405,755701000.0,False,0.43677541860423313,1.207148787895992,True,True,MSCI,0001408198,ticker:MSCI,19
2018,1433984000.0,Revenues,0001564590-19-003885,USD,True,507885000.0,NetIncomeLoss,0001564590-19-003885,USD,True,612762000.0,NetCashProvidedByUsedInOperatingActivities,0001564590-19-003885,USD,True,30257000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001564590-19-003885,USD,True,686898000.0,OperatingIncomeLoss,0001564590-19-003885,USD,True,133114000.0,InterestExpense,0001564590-19-003885,USD,True,122011000.0,IncomeTaxExpenseBenefit,0001564590-19-003885,USD,True,0.1937,EffectiveIncomeTaxRateContinuingOperations,0001564590-19-003885,pure,True,629896000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001564590-19-003885,USD,True,904176000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-19-003885,USD,True,,,,,False,,,,,False,,,,,False,2575502000.0,LongTermDebtNoncurrent,0001564590-19-003885,USD,True,-166494000.0,StockholdersEquity,0001564590-19-003885,USD,True,904176000.0,2575502000.0,582505000.0,0.19370022987921814,1504832000.0,553845699.4964248,0.3680448711194504,686898000.0,False,0.40621443474962066,1.1469230239128936,True,True,MSCI,0001408198,ticker:MSCI,19
2017,1274172000.0,Revenues,0001564590-18-003147,USD,True,303972000.0,NetIncomeLoss,0001564590-18-003147,USD,True,404158000.0,NetCashProvidedByUsedInOperatingActivities,0001564590-18-003147,USD,True,33177000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001564590-18-003147,USD,True,579188000.0,OperatingIncomeLoss,0001564590-18-003147,USD,True,116098000.0,InterestExpense,0001564590-18-003147,USD,True,162927000.0,IncomeTaxExpenseBenefit,0001564590-18-003147,USD,True,0.349,EffectiveIncomeTaxRateContinuingOperations,0001564590-18-003147,pure,True,466899000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001564590-18-003147,USD,True,889502000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-18-003147,USD,True,,,,,False,,,,,False,,,,,False,2078093000.0,LongTermDebtNoncurrent,0001564590-18-003147,USD,True,401012000.0,StockholdersEquity,0001564590-18-003147,USD,True,889502000.0,2078093000.0,370981000.0,0.34895555569834164,1589603000.0,377077129.6061889,0.2372146564935955,579188000.0,False,0.29115456939879386,1.2204446462174148,True,True,MSCI,0001408198,ticker:MSCI,19
2016,1150669000.0,Revenues,0001564590-17-002336,USD,True,260855000.0,NetIncomeLoss,0001564590-17-002336,USD,True,434738000.0,NetCashProvidedByUsedInOperatingActivities,0001564590-17-002336,USD,True,32284000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001564590-17-002336,USD,True,488104000.0,OperatingIncomeLoss,0001564590-17-002336,USD,True,101651000.0,InterestExpense,0001564590-17-002336,USD,True,125083000.0,IncomeTaxExpenseBenefit,0001564590-17-002336,USD,True,0.3241,EffectiveIncomeTaxRateContinuingOperations,0001564590-17-002336,pure,True,385938000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001564590-17-002336,USD,True,791834000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-17-002336,USD,True,,,,,False,,,,,False,,,,,False,2075201000.0,LongTermDebtNoncurrent,0001564590-17-002336,USD,True,317605000.0,StockholdersEquity,0001564590-17-002336,USD,True,791834000.0,2075201000.0,402454000.0,0.3241012805165597,1600972000.0,329908868.5747451,0.20606785663630914,488104000.0,False,0.3497565329386644,1.5428264744781583,True,True,MSCI,0001408198,ticker:MSCI,19
