year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,281724000000.0,Revenues,0000950170-25-100235,USD,True,101832000000.0,NetIncomeLoss,0000950170-25-100235,USD,True,136162000000.0,NetCashProvidedByUsedInOperatingActivities,0000950170-25-100235,USD,True,64551000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000950170-25-100235,USD,True,128528000000.0,OperatingIncomeLoss,0000950170-25-100235,USD,True,,,,,False,21795000000.0,IncomeTaxExpenseBenefit,0000950170-25-100235,USD,True,0.176,EffectiveIncomeTaxRateContinuingOperations,0000950170-25-100235,pure,True,123627000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000950170-25-100235,USD,True,30242000000.0,CashAndCashEquivalentsAtCarryingValue,0000950170-25-100235,USD,True,64323000000.0,ShortTermInvestments,0000950170-25-100235,USD,True,43151000000.0,LongTermDebt,0000950170-25-100235,USD,True,2999000000.0,LongTermDebtCurrent,0000950170-25-100235,USD,True,40152000000.0,LongTermDebtNoncurrent,0000950170-25-100235,USD,True,343479000000.0,StockholdersEquity,0000950170-25-100235,USD,True,94565000000.0,43151000000.0,71611000000.0,0.17629644009803683,292065000000.0,105868971147.07953,0.36248427968801306,128528000000.0,False,0.2541884965427156,0.7032268834943829,True,True,MSFT,0000789019,ticker:MSFT,25
2024,245122000000.0,Revenues,0000950170-24-087843,USD,True,88136000000.0,NetIncomeLoss,0000950170-24-087843,USD,True,118548000000.0,NetCashProvidedByUsedInOperatingActivities,0000950170-24-087843,USD,True,44477000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000950170-24-087843,USD,True,109433000000.0,OperatingIncomeLoss,0000950170-24-087843,USD,True,2935000000.0,InterestExpense,0000950170-24-087843,USD,True,19651000000.0,IncomeTaxExpenseBenefit,0000950170-24-087843,USD,True,0.182,EffectiveIncomeTaxRateContinuingOperations,0000950170-24-087843,pure,True,107787000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000950170-24-087843,USD,True,18315000000.0,CashAndCashEquivalentsAtCarryingValue,0000950170-24-087843,USD,True,57228000000.0,ShortTermInvestments,0000950170-24-087843,USD,True,44937000000.0,LongTermDebt,0000950170-24-087843,USD,True,2249000000.0,LongTermDebtCurrent,0000950170-24-087843,USD,True,42688000000.0,LongTermDebtNoncurrent,0000950170-24-087843,USD,True,268477000000.0,StockholdersEquity,0000950170-24-087843,USD,True,75543000000.0,44937000000.0,74071000000.0,0.18231326597827197,237871000000.0,89481912364.19975,0.37617831666827717,109433000000.0,False,0.3021801388696241,0.8404170826903876,True,True,MSFT,0000789019,ticker:MSFT,25
2023,211915000000.0,Revenues,0000950170-23-035122,USD,True,72361000000.0,NetIncomeLoss,0000950170-23-035122,USD,True,87582000000.0,NetCashProvidedByUsedInOperatingActivities,0000950170-23-035122,USD,True,28107000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000950170-23-035122,USD,True,88523000000.0,OperatingIncomeLoss,0000950170-23-035122,USD,True,1968000000.0,InterestExpense,0000950170-23-035122,USD,True,16950000000.0,IncomeTaxExpenseBenefit,0000950170-23-035122,USD,True,0.19,EffectiveIncomeTaxRateContinuingOperations,0000950170-23-035122,pure,True,89311000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000950170-23-035122,USD,True,34704000000.0,CashAndCashEquivalentsAtCarryingValue,0000950170-23-035122,USD,True,76558000000.0,ShortTermInvestments,0000950170-23-035122,USD,True,47237000000.0,LongTermDebt,0000950170-23-035122,USD,True,5247000000.0,LongTermDebtCurrent,0000950170-23-035122,USD,True,41990000000.0,LongTermDebtNoncurrent,0000950170-23-035122,USD,True,206223000000.0,StockholdersEquity,0000950170-23-035122,USD,True,111262000000.0,47237000000.0,59475000000.0,0.18978625253328257,142198000000.0,71722551566.99623,0.5043850937917287,88523000000.0,False,0.2806549795908737,0.8219206478627991,True,True,MSFT,0000789019,ticker:MSFT,25
2022,198270000000.0,Revenues,0001564590-22-026876,USD,True,72738000000.0,NetIncomeLoss,0001564590-22-026876,USD,True,89035000000.0,NetCashProvidedByUsedInOperatingActivities,0001564590-22-026876,USD,True,23886000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001564590-22-026876,USD,True,83383000000.0,OperatingIncomeLoss,0001564590-22-026876,USD,True,2063000000.0,InterestExpense,0001564590-22-026876,USD,True,10978000000.0,IncomeTaxExpenseBenefit,0001564590-22-026876,USD,True,0.131,EffectiveIncomeTaxRateContinuingOperations,0001564590-22-026876,pure,True,83716000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001564590-22-026876,USD,True,13931000000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-22-026876,USD,True,90826000000.0,ShortTermInvestments,0001564590-22-026876,USD,True,49781000000.0,LongTermDebt,0001564590-22-026876,USD,True,2749000000.0,LongTermDebtCurrent,0001564590-22-026876,USD,True,47032000000.0,LongTermDebtNoncurrent,0001564590-22-026876,USD,True,166542000000.0,StockholdersEquity,0001564590-22-026876,USD,True,104757000000.0,49781000000.0,65149000000.0,0.13113383343685794,111566000000.0,72448667566.53447,0.6493794486360941,83383000000.0,False,0.3285872799717557,0.8956666391707223,True,True,MSFT,0000789019,ticker:MSFT,25
2021,168088000000.0,Revenues,0001564590-21-039151,USD,True,61271000000.0,NetIncomeLoss,0001564590-21-039151,USD,True,76740000000.0,NetCashProvidedByUsedInOperatingActivities,0001564590-21-039151,USD,True,20622000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001564590-21-039151,USD,True,69916000000.0,OperatingIncomeLoss,0001564590-21-039151,USD,True,2346000000.0,InterestExpense,0001564590-21-039151,USD,True,9831000000.0,IncomeTaxExpenseBenefit,0001564590-21-039151,USD,True,0.138,EffectiveIncomeTaxRateContinuingOperations,0001564590-21-039151,pure,True,71102000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001564590-21-039151,USD,True,14224000000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-21-039151,USD,True,116110000000.0,ShortTermInvestments,0001564590-21-039151,USD,True,58146000000.0,LongTermDebt,0001564590-21-039151,USD,True,8072000000.0,LongTermDebtCurrent,0001564590-21-039151,USD,True,50074000000.0,LongTermDebtNoncurrent,0001564590-21-039151,USD,True,141988000000.0,StockholdersEquity,0001564590-21-039151,USD,True,130334000000.0,58146000000.0,56118000000.0,0.13826615285083402,69800000000.0,60248983657.28109,0.8631659549753737,69916000000.0,False,0.33386083480081863,0.9158982226501934,True,True,MSFT,0000789019,ticker:MSFT,25
2020,143015000000.0,Revenues,0001564590-20-034944,USD,True,44281000000.0,NetIncomeLoss,0001564590-20-034944,USD,True,60675000000.0,NetCashProvidedByUsedInOperatingActivities,0001564590-20-034944,USD,True,15441000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001564590-20-034944,USD,True,52959000000.0,OperatingIncomeLoss,0001564590-20-034944,USD,True,2591000000.0,InterestExpense,0001564590-20-034944,USD,True,8755000000.0,IncomeTaxExpenseBenefit,0001564590-20-034944,USD,True,0.165,EffectiveIncomeTaxRateContinuingOperations,0001564590-20-034944,pure,True,53036000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001564590-20-034944,USD,True,13576000000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-20-034944,USD,True,122951000000.0,ShortTermInvestments,0001564590-20-034944,USD,True,63327000000.0,LongTermDebt,0001564590-20-034944,USD,True,3749000000.0,LongTermDebtCurrent,0001564590-20-034944,USD,True,59578000000.0,LongTermDebtNoncurrent,0001564590-20-034944,USD,True,118304000000.0,StockholdersEquity,0001564590-20-034944,USD,True,136527000000.0,63327000000.0,45234000000.0,0.16507655177615205,45104000000.0,44216710894.48676,0.98032792866457,52959000000.0,False,0.3162885012061672,1.021521645852623,True,True,MSFT,0000789019,ticker:MSFT,25
2019,125843000000.0,Revenues,0001564590-19-027952,USD,True,39240000000.0,NetIncomeLoss,0001564590-19-027952,USD,True,52185000000.0,NetCashProvidedByUsedInOperatingActivities,0001564590-19-027952,USD,True,13925000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001564590-19-027952,USD,True,42959000000.0,OperatingIncomeLoss,0001564590-19-027952,USD,True,2686000000.0,InterestExpense,0001564590-19-027952,USD,True,4448000000.0,IncomeTaxExpenseBenefit,0001564590-19-027952,USD,True,0.102,EffectiveIncomeTaxRateContinuingOperations,0001564590-19-027952,pure,True,43688000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001564590-19-027952,USD,True,11356000000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-19-027952,USD,True,122463000000.0,ShortTermInvestments,0001564590-19-027952,USD,True,72200000000.0,LongTermDebt,0001564590-19-027952,USD,True,5516000000.0,LongTermDebtCurrent,0001564590-19-027952,USD,True,66662000000.0,LongTermDebtNoncurrent,0001564590-19-027952,USD,True,102330000000.0,StockholdersEquity,0001564590-19-027952,USD,True,133819000000.0,72200000000.0,38260000000.0,0.10181285478850027,40711000000.0,38585221571.140816,0.947783684290261,42959000000.0,False,0.30402962421429874,0.9750254841997962,True,True,MSFT,0000789019,ticker:MSFT,25
2018,110360000000.0,Revenues,0001564590-18-019062,USD,True,16571000000.0,NetIncomeLoss,0001564590-18-019062,USD,True,43884000000.0,NetCashProvidedByUsedInOperatingActivities,0001564590-18-019062,USD,True,11632000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001564590-18-019062,USD,True,35058000000.0,OperatingIncomeLoss,0001564590-18-019062,USD,True,2733000000.0,InterestExpense,0001564590-18-019062,USD,True,19903000000.0,IncomeTaxExpenseBenefit,0001564590-18-019062,USD,True,0.546,EffectiveIncomeTaxRateContinuingOperations,0001564590-18-019062,pure,True,36474000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001564590-18-019062,USD,True,11946000000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-18-019062,USD,True,121822000000.0,ShortTermInvestments,0001564590-18-019062,USD,True,76200000000.0,LongTermDebt,0001564590-18-019062,USD,True,3998000000.0,LongTermDebtCurrent,0001564590-18-019062,USD,True,72242000000.0,LongTermDebtNoncurrent,0001564590-18-019062,USD,True,82718000000.0,StockholdersEquity,0001564590-18-019062,USD,True,133768000000.0,76200000000.0,32252000000.0,0.5456763722103416,25150000000.0,15927677743.049845,0.6333072661252424,35058000000.0,False,0.2922435665096049,1.9462917144408907,True,True,MSFT,0000789019,ticker:MSFT,25
2017,89950000000.0,Revenues,0001564590-17-014900,USD,True,21204000000.0,NetIncomeLoss,0001564590-17-014900,USD,True,,,,,False,8129000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001564590-17-014900,USD,True,22326000000.0,OperatingIncomeLoss,0001564590-17-014900,USD,True,2222000000.0,InterestExpense,0001564590-17-014900,USD,True,1945000000.0,IncomeTaxExpenseBenefit,0001564590-17-014900,USD,True,0.084,EffectiveIncomeTaxRateContinuingOperations,0001564590-17-014900,pure,True,23149000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001564590-17-014900,USD,True,7663000000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-17-014900,USD,True,125318000000.0,ShortTermInvestments,0001564590-17-014900,USD,True,77100000000.0,LongTermDebt,0001564590-17-014900,USD,True,1049000000.0,LongTermDebtCurrent,0001564590-17-014900,USD,True,76073000000.0,LongTermDebtNoncurrent,0001564590-17-014900,USD,True,72394000000.0,StockholdersEquity,0001564590-17-014900,USD,True,132981000000.0,77100000000.0,,0.08402090803058447,16513000000.0,20450149207.30917,1.238427251699217,22326000000.0,False,,,True,False,MSFT,0000789019,ticker:MSFT,25
2016,85320000000.0,Revenues,0001193125-16-662209,USD,True,16798000000.0,NetIncomeLoss,0001193125-16-662209,USD,True,,,,,False,8343000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-16-662209,USD,True,20182000000.0,OperatingIncomeLoss,0001193125-16-662209,USD,True,1243000000.0,InterestExpense,0001193125-16-662209,USD,True,2953000000.0,IncomeTaxExpenseBenefit,0001193125-16-662209,USD,True,0.15,EffectiveIncomeTaxRateContinuingOperations,0001193125-16-662209,pure,True,19751000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001193125-16-662209,USD,True,6510000000.0,CashAndCashEquivalentsAtCarryingValue,0001193125-16-662209,USD,True,106730000000.0,ShortTermInvestments,0001193125-16-662209,USD,True,40800000000.0,LongTermDebt,0001193125-16-662209,USD,True,0.0,LongTermDebtCurrent,0001193125-16-662209,USD,True,40783000000.0,LongTermDebtNoncurrent,0001193125-16-662209,USD,True,71997000000.0,StockholdersEquity,0001193125-16-662209,USD,True,113240000000.0,40800000000.0,,0.14951141714343577,-443000000.0,17164560579.21118,-38.74618640905458,20182000000.0,False,,,True,False,MSFT,0000789019,ticker:MSFT,25
