Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,46390000000.0,3790000000.0,,9020000000.0,38410000000.0,
2025,46510000000.0,3040000000.0,37.3,9150000000.0,36570000000.0,
2024,48970000000.0,5470000000.0,23.0,11580000000.0,38110000000.0,
2023,51540000000.0,6060000000.0,30.3,10670000000.0,37530000000.0,
2022,49100000000.0,6370000000.0,31.2,12990000000.0,40320000000.0,
2021,46300000000.0,7160000000.0,40.4,13470000000.0,37740000000.0,
2020,38250000000.0,3690000000.0,73.7,8780000000.0,31340000000.0,
2019,40780000000.0,5230000000.0,32.3,4660000000.0,23710000000.0,
2018,38090000000.0,4720000000.0,49.7,5240000000.0,22530000000.0,
2017,34730000000.0,4420000000.0,24.2,6170000000.0,23250000000.0,
2016,33509999999.999996,4480000000.0,19.6,5450000000.0,21370000000.0,
2015,31330000000.0,4400000000.0,19.7,5920000000.0,21590000000.0,
2014,29750000000.0,3990000000.0,24.4,5140000000.0,18590000000.0,
2013,26280000000.0,3600000000.0,21.3,5960000000.0,17540000000.0,
2012,24550000000.0,3030000000.0,19.5,3750000000.0,15460000000.0,
2011,22470000000.0,3030000000.0,,4530000000.0,14990000000.0,
2010,19820000000.0,2690000000.0,,5140000000.0,14410000000.0,
2009,18350000000.0,2400000000.0,,3450000000.0,13240000000.0,
2008,19650000000.0,2490000000.0,,2770000000.0,12440000000.0,
2007,17300000000.0,2280000000.0,,2840000000.0,10680000000.0,
2006,15630000000.0,2000000000.0,,2300000000.0,9860000000.0,
2005,14360000000.0,2060000000.0,,1820000000.0,8790000000.0,
2004,13100000000.0,1740000000.0,,1220000000.0,7900000000.0,
2003,11240000000.0,1360000000.0,,630000000.0,6820000000.0,
2002,10250000000.0,1120000000.0,,570000000.0,6440000000.0,
2001,9600000000.0,1000000000.0,,300000000.0,5810000000.0,
2000,9260000000.0,1010000000.0,,250000000.0,,
1999,8910000000.0,950000000.0,,190000000.0,,
1998,8940000000.0,610000000.0,,100000000.0,,
1997,9810000000.0,1380000000.0,,440000000.0,,
1996,7800000000.0,1160000000.0,,260000000.0,,
