year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,42360000000.0,25.35,5520000000.0,,,,,,,,140000000.0,1.72,2.29,
2025,41950000000.0,29.14,5060000000.0,13.66,4400000000.0,17010000000.000002,51370000000.0,16670000000.000002,19.7,34700000000.0,140000000.0,1.58,2.0,5.03
2024,41030000000.0,28.39,5010000000.0,13.74,4350000000.0,16489999999.999998,49350000000.0,15290000000.0,16.2,34060000000.000004,140000000.0,1.74,1.67,4.49
2023,39290000000.0,13.57,2340000000.0,7.36,3100000000.0,15670000000.0,46540000000.0,14790000000.0,33.5,31740000000.0,150000000.0,1.62,1.8,4.77
2022,36600000000.0,31.61,5830000000.0,17.33,2570000000.0,13620000000.0,43750000000.0,15310000000.0,16.5,28440000000.0,150000000.0,1.3,2.29,5.48
2021,35660000000.0,43.7,8930000000.0,26.62,3530000000.0,14370000000.0,42570000000.0,12920000000.0,8.28,29650000000.0,150000000.0,1.69,1.7,4.68
2020,36790000000.0,19.08,3720000000.0,11.74,4900000000.0,16340000000.0,44460000000.0,10570000000.0,14.7,33890000000.0,160000000.0,2.01,1.38,4.8
2019,33840000000.000004,13.28,2540000000.0,9.09,2240000000.0,15180000000.0,41080000000.0,8810000000.0,23.9,32270000000.000004,160000000.0,1.65,1.71,6.55
2018,30090000000.0,18.59,4120000000.0,14.3,1570000000.0,14400000000.0,37650000000.0,8180000000.0,11.9,29460000000.0,170000000.0,2.14,1.39,5.1
2017,26080000000.0,11.55,3060000000.0,17.65,11220000000.0,14390000000.0,35120000000.0,7130000000.0,23.4,27990000000.0,170000000.0,1.44,2.05,7.49
2016,24500000000.0,12.3,2920000000.0,12.07,2540000000.0,7050000000.0,25610000000.0,5250000000.0,16.4,20350000000.0,170000000.0,1.73,1.67,7.8
2015,23520000000.0,10.51,2790000000.0,13.14,2310000000.0,6380000000.0,24420000000.0,5520000000.0,15.5,18900000000.0,180000000.0,1.92,1.46,6.2
2014,23970000000.0,9.91,2930000000.0,13.42,3860000000.0,5920000000.0,26570000000.0,7230000000.0,12.8,19330000000.0,200000000.0,2.19,1.22,4.05
2013,24660000000.0,8.5,2860000000.0,12.65,5150000000.0,5920000000.0,26380000000.0,10620000000.0,11.0,15760000000.0,220000000.0,2.53,1.01,2.35
2012,25210000000.0,7.96,2960000000.0,12.6,3860000000.0,3930000000.0,26540000000.0,9510000000.0,6.84,17020000000.0,240000000.0,3.98,0.641,1.7
2011,26410000000.0,7.65,3080000000.0,12.51,3000000000.0,3930000000.0,25410000000.0,10330000000.0,5.9,15070000000.0,270000000.0,4.26,0.5785,1.48
2010,29840000000.0,6.91,2470000000.0,9.36,3700000000.0,4820000000.0,31420000000.0,13550000000.0,6.29,17860000000.0,,3.81,0.6315,1.39
2009,32580000000.0,5.28,2150000000.0,7.55,3270000000.0,4290000000.0,30250000000.0,12680000000.0,7.03,17560000000.0,,4.18,0.526,1.35
2008,33880000000.000004,-3.77,,-0.7,1500000000.0,3940000000.0,30190000000.0,11920000000.0,-7.44,18270000000.0,,4.99,0.4345,1.24
2007,31880000000.0,5.24,2690000000.0,9.39,960000000.0,4050000000.0,33369999999.999996,17680000000.0,9.22,15680000000.0,,2.77,0.8332,1.5
2006,30140000000.0,4.46,2270000000.0,8.18,1010000000.0,4160000000.0,32000000000.0,16610000000.0,9.15,15390000000.0,,2.57,0.7769,1.41
2005,30410000000.0,3.93,2049999999.9999998,7.34,1600000000.0,5140000000.0,34210000000.0,16820000000.0,9.06,17380000000.0,,2.56,0.6866,1.24
2004,29850000000.0,3.01,1610000000.0,6.85,1230000000.0,5150000000.0,33299999999.999996,16700000000.0,10.6,16600000000.000002,,2.54,0.6636,1.19
2003,26250000000.0,2.11,1090000000.0,5.56,340000000.0,5890000000.0,33020000000.000004,15780000000.0,12.9,17230000000.0,,2.65,0.6598,1.1
2002,17200000000.0,1.87,1000000000.0,6.43,1410000000.0,9620000000.0,42320000000.0,14460000000.0,14.6,27860000000.0,,2.65,1.03,1.23
2001,13360000000.0,2.39,710000000.0,7.94,460000000.0,5480000000.0,20810000000.0,7510000000.0,11.4,13300000000.0,,2.59,0.8221,
2000,7610000000.0,4.3,970000000.0,,310000000.0,1610000000.0,,,,,,3.2,,
1999,8320000000.0,3.36,750000000.0,,140000000.0,2220000000.0,,,,,,5.04,,
1998,8900000000.0,1.42,310000000.0,,44000000.0,2830000000.0,,,,,,4.77,,
1997,8990000000.0,3.05,630000000.0,,63000000.0,2790000000.0,,,,,,2.48,,
1996,8199999999.999999,2.11,390000000.0,,120000000.0,3370000000.0,,,,,,3.51,,
1995,,,,,,,,,,,,4.64,,
1994,,,,,,,,,,,,7.29,,
1993,,,,,,,,,,,,8.52,,
1992,,,,,,,,,,,,7.33,,
1991,,,,,,,,,,,,9.97,,
1990,,,,,,,,,,,,15.83,,
1989,,,,,,,,,,,,16.91,,
1988,,,,,,,,,,,,11.21,,
1987,,,,,,,,,,,,12.7,,
1986,,,,,,,,,,,,8.51,,
1985,,,,,,,,,,,,7.77,,
1984,,,,,,,,,,,,5.82,,
1983,,,,,,,,,,,,6.26,,
1982,,,,,,,,,,,,7.32,,
1981,,,,,,,,,,,,0.0,,
