year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,41954000000.0,Revenues,0001133421-26-000003,USD,True,4182000000.0,NetIncomeLoss,0001133421-26-000003,USD,True,4757000000.0,NetCashProvidedByUsedInOperatingActivities,0001133421-26-000003,USD,True,1450000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001133421-26-000003,USD,True,4511000000.0,OperatingIncomeLoss,0001133421-26-000003,USD,True,665000000.0,InterestAndDebtExpense,0001133421-26-000003,USD,True,886000000.0,IncomeTaxExpenseBenefit,0001133421-26-000003,USD,True,0.175,EffectiveIncomeTaxRateContinuingOperations,0001133421-26-000003,pure,True,5068000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001133421-26-000003,USD,True,4403000000.0,CashAndCashEquivalentsAtCarryingValue,0001133421-26-000003,USD,True,,,,,False,15696000000.0,DebtAndCapitalLeaseObligations,0001133421-26-000003,USD,True,534000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001133421-26-000003,USD,True,15162000000.0,LongTermDebtNoncurrent,0001133421-26-000003,USD,True,16674000000.0,StockholdersEquity,0001133421-26-000003,USD,True,4403000000.0,15696000000.0,3307000000.0,0.17482241515390687,27967000000.0,3722376085.2407265,0.13309886956916103,4511000000.0,False,0.07882442675311055,0.7907699665231946,True,True,NOC,0001133421,ticker:NOC,24
2024,41033000000.0,Revenues,0001133421-25-000006,USD,True,4174000000.0,NetIncomeLoss,0001133421-25-000006,USD,True,4388000000.0,NetCashProvidedByUsedInOperatingActivities,0001133421-25-000006,USD,True,1767000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001133421-25-000006,USD,True,4370000000.0,OperatingIncomeLoss,0001133421-25-000006,USD,True,621000000.0,InterestAndDebtExpense,0001133421-25-000006,USD,True,842000000.0,IncomeTaxExpenseBenefit,0001133421-25-000006,USD,True,0.168,EffectiveIncomeTaxRateContinuingOperations,0001133421-25-000006,pure,True,5016000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001133421-25-000006,USD,True,,,,,False,,,,,False,16274000000.0,DebtAndCapitalLeaseObligations,0001133421-25-000006,USD,True,1582000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001133421-25-000006,USD,True,14692000000.0,LongTermDebtNoncurrent,0001133421-25-000006,USD,True,15290000000.0,StockholdersEquity,0001133421-25-000006,USD,True,,16274000000.0,2621000000.0,0.1678628389154705,,,,4370000000.0,False,0.06387541734701338,0.6279348346909439,False,True,NOC,0001133421,ticker:NOC,24
2023,39290000000.0,Revenues,0001133421-24-000006,USD,True,2056000000.0,NetIncomeLoss,0001133421-24-000006,USD,True,3875000000.0,NetCashProvidedByUsedInOperatingActivities,0001133421-24-000006,USD,True,1775000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001133421-24-000006,USD,True,2537000000.0,OperatingIncomeLoss,0001133421-24-000006,USD,True,545000000.0,InterestAndDebtExpense,0001133421-24-000006,USD,True,290000000.0,IncomeTaxExpenseBenefit,0001133421-24-000006,USD,True,0.124,EffectiveIncomeTaxRateContinuingOperations,0001133421-24-000006,pure,True,2346000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001133421-24-000006,USD,True,3109000000.0,CashAndCashEquivalentsAtCarryingValue,0001133421-24-000006,USD,True,,,,,False,13856000000.0,DebtAndCapitalLeaseObligations,0001133421-24-000006,USD,True,70000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001133421-24-000006,USD,True,13786000000.0,LongTermDebtNoncurrent,0001133421-24-000006,USD,True,14795000000.0,StockholdersEquity,0001133421-24-000006,USD,True,3109000000.0,13856000000.0,2100000000.0,0.12361466325660699,25542000000.0,2223389599.317988,0.08704837519841782,2537000000.0,False,0.053448714685670654,1.0214007782101167,True,True,NOC,0001133421,ticker:NOC,24
2022,36602000000.0,Revenues,0001133421-23-000006,USD,True,4896000000.0,NetIncomeLoss,0001133421-23-000006,USD,True,2901000000.0,NetCashProvidedByUsedInOperatingActivities,0001133421-23-000006,USD,True,1435000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001133421-23-000006,USD,True,3601000000.0,OperatingIncomeLoss,0001133421-23-000006,USD,True,506000000.0,InterestAndDebtExpense,0001133421-23-000006,USD,True,940000000.0,IncomeTaxExpenseBenefit,0001133421-23-000006,USD,True,0.161,EffectiveIncomeTaxRateContinuingOperations,0001133421-23-000006,pure,True,5836000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001133421-23-000006,USD,True,2577000000.0,CashAndCashEquivalentsAtCarryingValue,0001133421-23-000006,USD,True,,,,,False,12877000000.0,DebtAndCapitalLeaseObligations,0001133421-23-000006,USD,True,1072000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001133421-23-000006,USD,True,11805000000.0,LongTermDebtNoncurrent,0001133421-23-000006,USD,True,15312000000.0,StockholdersEquity,0001133421-23-000006,USD,True,2577000000.0,12877000000.0,1466000000.0,0.16106922549691569,25612000000.0,3020989718.9856067,0.11795212084123094,3601000000.0,False,0.04005245614993716,0.2994281045751634,True,True,NOC,0001133421,ticker:NOC,24
2021,35667000000.0,Revenues,0001133421-22-000004,USD,True,7005000000.0,NetIncomeLoss,0001133421-22-000004,USD,True,3567000000.0,NetCashProvidedByUsedInOperatingActivities,0001133421-22-000004,USD,True,1415000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001133421-22-000004,USD,True,5651000000.0,OperatingIncomeLoss,0001133421-22-000004,USD,True,556000000.0,InterestAndDebtExpense,0001133421-22-000004,USD,True,1933000000.0,IncomeTaxExpenseBenefit,0001133421-22-000004,USD,True,0.216,EffectiveIncomeTaxRateContinuingOperations,0001133421-22-000004,pure,True,8938000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001133421-22-000004,USD,True,3530000000.0,CashAndCashEquivalentsAtCarryingValue,0001133421-22-000004,USD,True,,,,,False,12783000000.0,DebtAndCapitalLeaseObligations,0001133421-22-000004,USD,True,6000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001133421-22-000004,USD,True,12777000000.0,LongTermDebtNoncurrent,0001133421-22-000004,USD,True,12926000000.0,StockholdersEquity,0001133421-22-000004,USD,True,3530000000.0,12783000000.0,2152000000.0,0.21626762139181024,22179000000.0,4428871671.51488,0.19968761763446866,5651000000.0,False,0.06033588471135784,0.307209136331192,True,True,NOC,0001133421,ticker:NOC,24
2020,36799000000.0,Revenues,0001133421-21-000006,USD,True,3189000000.0,NetIncomeLoss,0001133421-21-000006,USD,True,4305000000.0,NetCashProvidedByUsedInOperatingActivities,0001133421-21-000006,USD,True,1420000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001133421-21-000006,USD,True,4065000000.0,OperatingIncomeLoss,0001133421-21-000006,USD,True,593000000.0,InterestAndDebtExpense,0001133421-21-000006,USD,True,539000000.0,IncomeTaxExpenseBenefit,0001133421-21-000006,USD,True,0.145,EffectiveIncomeTaxRateContinuingOperations,0001133421-21-000006,pure,True,3728000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001133421-21-000006,USD,True,4907000000.0,CashAndCashEquivalentsAtCarryingValue,0001133421-21-000006,USD,True,,,,,False,15003000000.0,DebtAndCapitalLeaseObligations,0001133421-21-000006,USD,True,742000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001133421-21-000006,USD,True,14261000000.0,LongTermDebtNoncurrent,0001133421-21-000006,USD,True,10579000000.0,StockholdersEquity,0001133421-21-000006,USD,True,4907000000.0,15003000000.0,2885000000.0,0.14458154506437768,20675000000.0,3477276019.3133044,0.1681874737273666,4065000000.0,False,0.07839886953449822,0.9046723110693007,True,True,NOC,0001133421,ticker:NOC,24
2019,33841000000.0,Revenues,0001133421-20-000006,USD,True,2248000000.0,NetIncomeLoss,0001133421-20-000006,USD,True,4297000000.0,NetCashProvidedByUsedInOperatingActivities,0001133421-20-000006,USD,True,1264000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001133421-20-000006,USD,True,3969000000.0,OperatingIncomeLoss,0001133421-20-000006,USD,True,528000000.0,InterestAndDebtExpense,0001133421-20-000006,USD,True,300000000.0,IncomeTaxExpenseBenefit,0001133421-20-000006,USD,True,0.118,EffectiveIncomeTaxRateContinuingOperations,0001133421-20-000006,pure,True,2548000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001133421-20-000006,USD,True,2245000000.0,CashAndCashEquivalentsAtCarryingValue,0001133421-20-000006,USD,True,,,,,False,13879000000.0,DebtAndCapitalLeaseObligations,0001133421-20-000006,USD,True,1109000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001133421-20-000006,USD,True,,,,,False,8819000000.0,StockholdersEquity,0001133421-20-000006,USD,True,2245000000.0,13879000000.0,3033000000.0,0.11773940345368916,20453000000.0,3501692307.692308,0.17120678177735824,3969000000.0,False,0.08962501108123283,1.3491992882562278,True,True,NOC,0001133421,ticker:NOC,24
2018,30095000000.0,Revenues,0001133421-19-000007,USD,True,3229000000.0,NetIncomeLoss,0001133421-19-000007,USD,True,3827000000.0,NetCashProvidedByUsedInOperatingActivities,0001133421-19-000007,USD,True,1249000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001133421-19-000007,USD,True,3780000000.0,OperatingIncomeLoss,0001133421-19-000007,USD,True,562000000.0,InterestAndDebtExpense,0001133421-19-000007,USD,True,513000000.0,IncomeTaxExpenseBenefit,0001133421-19-000007,USD,True,0.137,EffectiveIncomeTaxRateContinuingOperations,0001133421-19-000007,pure,True,3742000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001133421-19-000007,USD,True,1579000000.0,CashAndCashEquivalentsAtCarryingValue,0001133421-19-000007,USD,True,,,,,False,14400000000.0,DebtAndCapitalLeaseObligations,0001133421-19-000007,USD,True,517000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001133421-19-000007,USD,True,,,,,False,8187000000.0,StockholdersEquity,0001133421-19-000007,USD,True,1579000000.0,14400000000.0,2578000000.0,0.1370924639230358,21008000000.0,3261790486.370925,0.15526420822405393,3780000000.0,False,0.08566207011131417,0.7983895943016414,True,True,NOC,0001133421,ticker:NOC,24
2017,25803000000.0,Revenues,0001133421-18-000005,USD,True,2015000000.0,NetIncomeLoss,0001133421-18-000005,USD,True,2613000000.0,NetCashProvidedByUsedInOperatingActivities,0001133421-18-000005,USD,True,928000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001133421-18-000005,USD,True,3299000000.0,OperatingIncomeLoss,0001133421-18-000005,USD,True,360000000.0,InterestAndDebtExpense,0001133421-18-000005,USD,True,1034000000.0,IncomeTaxExpenseBenefit,0001133421-18-000005,USD,True,0.339,EffectiveIncomeTaxRateContinuingOperations,0001133421-18-000005,pure,True,3049000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001133421-18-000005,USD,True,11225000000.0,CashAndCashEquivalentsAtCarryingValue,0001133421-18-000005,USD,True,,,,,False,15266000000.0,DebtAndCapitalLeaseObligations,0001133421-18-000005,USD,True,867000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001133421-18-000005,USD,True,,,,,False,7048000000.0,StockholdersEquity,0001133421-18-000005,USD,True,11225000000.0,15266000000.0,1685000000.0,0.3391275828140374,11089000000.0,2180218104.2964907,0.19661088504792953,3299000000.0,False,0.06530248420726271,0.8362282878411911,True,True,NOC,0001133421,ticker:NOC,24
2016,24508000000.0,Revenues,0001133421-17-000008,USD,True,2200000000.0,NetIncomeLoss,0001133421-17-000008,USD,True,2813000000.0,NetCashProvidedByUsedInOperatingActivities,0001133421-17-000008,USD,True,920000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001133421-17-000008,USD,True,3193000000.0,OperatingIncomeLoss,0001133421-17-000008,USD,True,301000000.0,InterestAndDebtExpense,0001133421-17-000008,USD,True,723000000.0,IncomeTaxExpenseBenefit,0001133421-17-000008,USD,True,0.247,EffectiveIncomeTaxRateContinuingOperations,0001133421-17-000008,pure,True,2923000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001133421-17-000008,USD,True,2541000000.0,CashAndCashEquivalentsAtCarryingValue,0001133421-17-000008,USD,True,,,,,False,7070000000.0,DebtAndCapitalLeaseObligations,0001133421-17-000008,USD,True,12000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001133421-17-000008,USD,True,,,,,False,5259000000.0,StockholdersEquity,0001133421-17-000008,USD,True,2541000000.0,7070000000.0,1893000000.0,0.24734861443722203,9788000000.0,2403215874.10195,0.24552675460788212,3193000000.0,False,0.07724008487024644,0.8604545454545455,True,True,NOC,0001133421,ticker:NOC,24
