year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,253490000000.0,6.56,189740000000.0,65.5,62550000000.0,11040000000.0,206800000000.0,157290000000.0,,49510000000.0,24280000000.0,0.14,19.0,
2025,215930000000.0,4.06,141700000000.0,64.39,43210000000.0,9980000000.0,111600000000.0,79320000000.0,45.9,32270000000.000004,24320000000.0,0.02,26.3,38.7
2024,130490000000.00002,,84270000000.0,55.51,25980000000.0,11050000000.0,65720000000.0,42970000000.0,,22750000000.0,24530000000.0,0.03,28.7,49.9
2023,60920000000.0,0.76,34070000000.0,15.5,13290000000.0,12030000000.0,41180000000.0,22100000000.0,65.1,19080000000.0,,0.03,22.4,36.8
2022,26970000000.0,0.24,4440000000.0,36.94,21200000000.0,11830000000.0,44180000000.0,26610000000.0,61.3,17570000000.0,,0.11,11.7,17.1
2021,26910000000.0,0.33,10170000000.0,26.44,11560000000.0,7590000000.0,28790000000.0,16890000000.0,89.0,11890000000.0,,0.05,26.3,30.9
2020,16670000000.000002,0.16,4590000000.0,27.2,10890000000.0,2640000000.0,17310000000.0,12200000000.0,84.0,5110000000.0,,0.12,21.0,21.1
2019,10910000000.0,0.099,3020000000.0,33.25,7420000000.0,1980000000.0,13290000000.0,9340000000.0,59.2,3950000000.0,,0.27,12.3,12.8
2018,11710000000.0,0.19,3950000000.0,32.9,7100000000.0,2000000000.0,11240000000.0,7470000000.0,17.1,3770000000.0,,0.46,10.3,8.59
2017,9710000000.0,0.11,3250000000.0,27.57,6790000000.0,2810000000.0,9840000000.0,5760000000.0,43.4,4070000000.0000005,,0.3,13.8,18.5
2016,6910000000.0,0.0555,1960000000.0,14.83,5030000000.0,1510000000.0,7370000000.0,4460000000.0,47.4,2900000000.0,,0.46,6.2,10.8
2015,5010000000.0,0.02725,790000000.0,16.13,4620000000.0,1390000000.0,7200000000.0,4410000000.0,29.5,2780000000.0,,1.23,3.15,3.97
2014,4680000000.0,0.02625,800000000.0,12.35,4670000000.0,1370000000.0,7250000000.0,4450000000.0,18.3,2790000000.0,,1.77,2.31,2.59
2013,4130000000.0,0.01925,530000000.0,15.47,3720000000.0,18990000.0,6410000000.0,4820000000.0,19.6,1580000000.0,,2.05,2.15,2.11
2012,4280000000.0000005,0.0205,660000000.0,16.59,3120000000.0,21430000.0,5550000000.0,4139999999.9999995,13.8,1400000000.0,,0.66,1.8,1.62
2011,3990000000.0,,660000000.0,7.65,2490000000.0,23380000.0,4490000000.0,3180000000.0,,1310000000.0,,0.0,2.27,2.13
2010,3540000000.0,,270000000.0,-2.47,1720000000.0,24450000.0,3580000000.0,2660000000.0,,920000000.0,,0.0,1.9,3.24
2009,3320000000.0,,,-1.25,1250000000.0,25630000.0,3350000000.0,2390000000.0,,950000000.0,,0.0,2.32,4.28
2008,3420000000.0,,,22.0,1800000000.0,,3740000000.0,2610000000.0,,1120000000.0,,0.0,1.13,1.74
2007,4090000000.0,,830000000.0,16.11,1110000000.0,,2670000000.0,2000000000.0,,660000000.0,,0.0,5.21,7.63
2006,3060000000.0,,450000000.0,15.02,950000000.0,,1950000000.0,1490000000.0,,450000000.0,,0.0,4.39,7.13
2005,2370000000.0,,330000000.0,5.32,670000000.0,850000.0,1620000000.0,1170000000.0,,450000000.0,,0.0,2.49,4.64
2004,2009999999.9999998,,110000000.0,4.75,600000000.0,4870000.0,1390000000.0,1050000000.0,,340000000.0,,0.0,1.25,3.53
2003,1820000000.0,,93650000.0,7.88,1020000000.0,310000000.0,1610000000.0,930000000.0,,680000000.0,,0.0,1.05,2.48
2002,1900000000.0,,140000000.0,18.46,790000000.0,300000000.0,1500000000.0,760000000.0,,730000000.0,,0.0,0.6446,1.38
2001,1360000000.0,,240000000.0,19.69,670000000.0,300000000.0,1010000000.0,400000000.0,,600000000.0,,0.0,3.8,
2000,730000000.0,,130000000.0,,61560000.0,3240000.0,,,,,,0.0,,
1999,370000000.0,,54400000.0,,50300000.0,8400000.0,,,,,,0.0,,
