Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,253490000000.0,189740000000.0,,62550000000.0,206800000000.0,
2025,215930000000.0,141700000000.0,45.9,43210000000.0,111600000000.0,
2024,130490000000.00002,84270000000.0,,25980000000.0,65720000000.0,
2023,60920000000.0,34070000000.0,65.1,13290000000.0,41180000000.0,
2022,26970000000.0,4440000000.0,61.3,21200000000.0,44180000000.0,
2021,26910000000.0,10170000000.0,89.0,11560000000.0,28790000000.0,
2020,16670000000.000002,4590000000.0,84.0,10890000000.0,17310000000.0,
2019,10910000000.0,3020000000.0,59.2,7420000000.0,13290000000.0,
2018,11710000000.0,3950000000.0,17.1,7100000000.0,11240000000.0,
2017,9710000000.0,3250000000.0,43.4,6790000000.0,9840000000.0,
2016,6910000000.0,1960000000.0,47.4,5030000000.0,7370000000.0,
2015,5010000000.0,790000000.0,29.5,4620000000.0,7200000000.0,
2014,4680000000.0,800000000.0,18.3,4670000000.0,7250000000.0,
2013,4130000000.0,530000000.0,19.6,3720000000.0,6410000000.0,
2012,4280000000.0000005,660000000.0,13.8,3120000000.0,5550000000.0,
2011,3990000000.0,660000000.0,,2490000000.0,4490000000.0,
2010,3540000000.0,270000000.0,,1720000000.0,3580000000.0,
2009,3320000000.0,,,1250000000.0,3350000000.0,
2008,3420000000.0,,,1800000000.0,3740000000.0,
2007,4090000000.0,830000000.0,,1110000000.0,2670000000.0,
2006,3060000000.0,450000000.0,,950000000.0,1950000000.0,
2005,2370000000.0,330000000.0,,670000000.0,1620000000.0,
2004,2009999999.9999998,110000000.0,,600000000.0,1390000000.0,
2003,1820000000.0,93650000.0,,1020000000.0,1610000000.0,
2002,1900000000.0,140000000.0,,790000000.0,1500000000.0,
2001,1360000000.0,240000000.0,,670000000.0,1010000000.0,
2000,730000000.0,130000000.0,,61560000.0,,
1999,370000000.0,54400000.0,,50300000.0,,
