year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,130497000000.0,Revenues,0001045810-25-000023,USD,True,72880000000.0,NetIncomeLoss,0001045810-25-000023,USD,True,64089000000.0,NetCashProvidedByUsedInOperatingActivities,0001045810-25-000023,USD,True,525000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001045810-25-000023,USD,True,81453000000.0,OperatingIncomeLoss,0001045810-25-000023,USD,True,,,,,False,11146000000.0,IncomeTaxExpenseBenefit,0001045810-25-000023,USD,True,0.133,EffectiveIncomeTaxRateContinuingOperations,0001045810-25-000023,pure,True,84026000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001045810-25-000023,USD,True,8589000000.0,CashAndCashEquivalentsAtCarryingValue,0001045810-25-000023,USD,True,,,,,False,8463000000.0,LongTermDebt,0001045810-25-000023,USD,True,0.0,DebtCurrent,0001045810-25-000023,USD,True,8463000000.0,LongTermDebtNoncurrent,0001045810-25-000023,USD,True,79327000000.0,StockholdersEquity,0001045810-25-000023,USD,True,8589000000.0,8463000000.0,63564000000.0,0.13264941803727417,79201000000.0,70648306952.60991,0.8920128148964017,81453000000.0,False,0.4870916572794777,0.8721734357848518,True,True,NVDA,0001045810,ticker:NVDA,25
2024,60922000000.0,Revenues,0001045810-24-000029,USD,True,29760000000.0,NetIncomeLoss,0001045810-24-000029,USD,True,28090000000.0,NetCashProvidedByUsedInOperatingActivities,0001045810-24-000029,USD,True,170000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001045810-24-000029,USD,True,32972000000.0,OperatingIncomeLoss,0001045810-24-000029,USD,True,257000000.0,InterestExpense,0001045810-24-000029,USD,True,4058000000.0,IncomeTaxExpenseBenefit,0001045810-24-000029,USD,True,0.12,EffectiveIncomeTaxRateContinuingOperations,0001045810-24-000029,pure,True,33818000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001045810-24-000029,USD,True,7280000000.0,CashAndCashEquivalentsAtCarryingValue,0001045810-24-000029,USD,True,,,,,False,9709000000.0,LongTermDebt,0001045810-24-000029,USD,True,1250000000.0,DebtCurrent,0001045810-24-000029,USD,True,8459000000.0,LongTermDebtNoncurrent,0001045810-24-000029,USD,True,42978000000.0,StockholdersEquity,0001045810-24-000029,USD,True,7280000000.0,9709000000.0,27920000000.0,0.1199952687917677,45407000000.0,29015515997.397835,0.6390097561476829,32972000000.0,False,0.4582909293851154,0.9381720430107527,True,True,NVDA,0001045810,ticker:NVDA,25
2023,26974000000.0,Revenues,0001045810-23-000017,USD,True,4368000000.0,NetIncomeLoss,0001045810-23-000017,USD,True,5641000000.0,NetCashProvidedByUsedInOperatingActivities,0001045810-23-000017,USD,True,374000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001045810-23-000017,USD,True,4224000000.0,OperatingIncomeLoss,0001045810-23-000017,USD,True,262000000.0,InterestExpense,0001045810-23-000017,USD,True,-187000000.0,IncomeTaxExpenseBenefit,0001045810-23-000017,USD,True,-0.045,EffectiveIncomeTaxRateContinuingOperations,0001045810-23-000017,pure,True,4181000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001045810-23-000017,USD,True,3389000000.0,CashAndCashEquivalentsAtCarryingValue,0001045810-23-000017,USD,True,,,,,False,10953000000.0,LongTermDebt,0001045810-23-000017,USD,True,1250000000.0,DebtCurrent,0001045810-23-000017,USD,True,9703000000.0,LongTermDebtNoncurrent,0001045810-23-000017,USD,True,22101000000.0,StockholdersEquity,0001045810-23-000017,USD,True,3389000000.0,10953000000.0,5267000000.0,-0.044726142071274816,29665000000.0,4412923224.109065,0.148758578260882,4224000000.0,False,0.19526210424853563,1.2058150183150182,True,True,NVDA,0001045810,ticker:NVDA,25
2022,26914000000.0,Revenues,0001045810-22-000036,USD,True,9752000000.0,NetIncomeLoss,0001045810-22-000036,USD,True,9108000000.0,NetCashProvidedByUsedInOperatingActivities,0001045810-22-000036,USD,True,258000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001045810-22-000036,USD,True,10041000000.0,OperatingIncomeLoss,0001045810-22-000036,USD,True,236000000.0,InterestExpense,0001045810-22-000036,USD,True,189000000.0,IncomeTaxExpenseBenefit,0001045810-22-000036,USD,True,0.019,EffectiveIncomeTaxRateContinuingOperations,0001045810-22-000036,pure,True,9941000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001045810-22-000036,USD,True,1990000000.0,CashAndCashEquivalentsAtCarryingValue,0001045810-22-000036,USD,True,,,,,False,10946000000.0,LongTermDebt,0001045810-22-000036,USD,True,0.0,DebtCurrent,0001045810-22-000036,USD,True,10946000000.0,LongTermDebtNoncurrent,0001045810-22-000036,USD,True,26612000000.0,StockholdersEquity,0001045810-22-000036,USD,True,1990000000.0,10946000000.0,8850000000.0,0.019012171813700834,35568000000.0,9850098782.81863,0.2769371002816754,10041000000.0,False,0.32882514676376606,0.9075061525840853,True,True,NVDA,0001045810,ticker:NVDA,25
2021,16675000000.0,Revenues,0001045810-21-000010,USD,True,4332000000.0,NetIncomeLoss,0001045810-21-000010,USD,True,5822000000.0,NetCashProvidedByUsedInOperatingActivities,0001045810-21-000010,USD,True,,,,,False,4532000000.0,OperatingIncomeLoss,0001045810-21-000010,USD,True,184000000.0,InterestExpense,0001045810-21-000010,USD,True,77000000.0,IncomeTaxExpenseBenefit,0001045810-21-000010,USD,True,0.017,EffectiveIncomeTaxRateContinuingOperations,0001045810-21-000010,pure,True,4409000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001045810-21-000010,USD,True,847000000.0,CashAndCashEquivalentsAtCarryingValue,0001045810-21-000010,USD,True,,,,,False,6963000000.0,LongTermDebt,0001045810-21-000010,USD,True,999000000.0,DebtCurrent,0001045810-21-000010,USD,True,5964000000.0,LongTermDebtNoncurrent,0001045810-21-000010,USD,True,16893000000.0,StockholdersEquity,0001045810-21-000010,USD,True,847000000.0,6963000000.0,,0.017464277613971423,23009000000.0,4452851893.853481,0.1935265284824843,4532000000.0,False,,,True,False,NVDA,0001045810,ticker:NVDA,25
2020,10918000000.0,Revenues,0001045810-20-000010,USD,True,2796000000.0,NetIncomeLoss,0001045810-20-000010,USD,True,4761000000.0,NetCashProvidedByUsedInOperatingActivities,0001045810-20-000010,USD,True,,,,,False,2846000000.0,OperatingIncomeLoss,0001045810-20-000010,USD,True,52000000.0,InterestExpense,0001045810-20-000010,USD,True,174000000.0,IncomeTaxExpenseBenefit,0001045810-20-000010,USD,True,0.059,EffectiveIncomeTaxRateContinuingOperations,0001045810-20-000010,pure,True,2970000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001045810-20-000010,USD,True,10896000000.0,CashAndCashEquivalentsAtCarryingValue,0001045810-20-000010,USD,True,,,,,False,1991000000.0,LongTermDebt,0001045810-20-000010,USD,True,,,,,False,,,,,False,12204000000.0,StockholdersEquity,0001045810-20-000010,USD,True,10896000000.0,1991000000.0,,0.05858585858585859,3299000000.0,2679264646.4646463,0.8121444821050762,2846000000.0,False,,,True,False,NVDA,0001045810,ticker:NVDA,25
2019,11716000000.0,Revenues,0001045810-19-000023,USD,True,4141000000.0,NetIncomeLoss,0001045810-19-000023,USD,True,3743000000.0,NetCashProvidedByUsedInOperatingActivities,0001045810-19-000023,USD,True,,,,,False,3804000000.0,OperatingIncomeLoss,0001045810-19-000023,USD,True,58000000.0,InterestExpense,0001045810-19-000023,USD,True,-245000000.0,IncomeTaxExpenseBenefit,0001045810-19-000023,USD,True,-0.063,EffectiveIncomeTaxRateContinuingOperations,0001045810-19-000023,pure,True,3896000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001045810-19-000023,USD,True,782000000.0,CashAndCashEquivalentsAtCarryingValue,0001045810-19-000023,USD,True,,,,,False,1988000000.0,LongTermDebt,0001045810-19-000023,USD,True,,,,,False,,,,,False,9342000000.0,StockholdersEquity,0001045810-19-000023,USD,True,782000000.0,1988000000.0,,-0.06288501026694045,10548000000.0,4043214579.055442,0.38331575455588185,3804000000.0,False,,,True,False,NVDA,0001045810,ticker:NVDA,25
2018,9714000000.0,Revenues,0001045810-18-000010,USD,True,3047000000.0,NetIncomeLoss,0001045810-18-000010,USD,True,3502000000.0,NetCashProvidedByUsedInOperatingActivities,0001045810-18-000010,USD,True,,,,,False,3210000000.0,OperatingIncomeLoss,0001045810-18-000010,USD,True,61000000.0,InterestExpense,0001045810-18-000010,USD,True,149000000.0,IncomeTaxExpenseBenefit,0001045810-18-000010,USD,True,0.047,EffectiveIncomeTaxRateContinuingOperations,0001045810-18-000010,pure,True,3196000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001045810-18-000010,USD,True,4002000000.0,CashAndCashEquivalentsAtCarryingValue,0001045810-18-000010,USD,True,,,,,False,1985000000.0,LongTermDebt,0001045810-18-000010,USD,True,,,,,False,,,,,False,7471000000.0,StockholdersEquity,0001045810-18-000010,USD,True,4002000000.0,1985000000.0,,0.046620775969962454,5454000000.0,3060347309.1364207,0.5611197853202091,3210000000.0,False,,,True,False,NVDA,0001045810,ticker:NVDA,25
2017,6910000000.0,Revenues,0001045810-17-000027,USD,True,1666000000.0,NetIncomeLoss,0001045810-17-000027,USD,True,1672000000.0,NetCashProvidedByUsedInOperatingActivities,0001045810-17-000027,USD,True,,,,,False,1934000000.0,OperatingIncomeLoss,0001045810-17-000027,USD,True,58000000.0,InterestExpense,0001045810-17-000027,USD,True,239000000.0,IncomeTaxExpenseBenefit,0001045810-17-000027,USD,True,0.125,EffectiveIncomeTaxRateContinuingOperations,0001045810-17-000027,pure,True,1905000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001045810-17-000027,USD,True,1766000000.0,CashAndCashEquivalentsAtCarryingValue,0001045810-17-000027,USD,True,,,,,False,1983000000.0,LongTermDebt,0001045810-17-000027,USD,True,,,,,False,,,,,False,5762000000.0,StockholdersEquity,0001045810-17-000027,USD,True,1766000000.0,1983000000.0,,0.12545931758530185,5979000000.0,1691361679.7900262,0.2828837062702837,1934000000.0,False,,,True,False,NVDA,0001045810,ticker:NVDA,25
2016,5010000000.0,Revenues,0001045810-16-000205,USD,True,614000000.0,NetIncomeLoss,0001045810-16-000205,USD,True,1175000000.0,NetCashProvidedByUsedInOperatingActivities,0001045810-16-000205,USD,True,,,,,False,747000000.0,OperatingIncomeLoss,0001045810-16-000205,USD,True,47000000.0,InterestExpense,0001045810-16-000205,USD,True,129000000.0,IncomeTaxExpenseBenefit,0001045810-16-000205,USD,True,0.173,EffectiveIncomeTaxRateContinuingOperations,0001045810-16-000205,pure,True,743000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001045810-16-000205,USD,True,596000000.0,CashAndCashEquivalentsAtCarryingValue,0001045810-16-000205,USD,True,,,,,False,1413000000.0,LongTermDebt,0001045810-16-000205,USD,True,,,,,False,,,,,False,4469000000.0,StockholdersEquity,0001045810-16-000205,USD,True,596000000.0,1413000000.0,,0.17362045760430686,5286000000.0,617305518.1695827,0.1167812179662472,747000000.0,False,,,True,False,NVDA,0001045810,ticker:NVDA,25
