year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,51370000000.0,4.3,25010000000.0,,,,,,,,4440000000.0,3.74,3.14,
2025,47700000000.0,3.55,20960000000.0,42.24,4240000000.0,20590000000.0,85390000000.0,30520000000.0,14.3,54860000000.0,4440000000.0,3.31,4.88,7.63
2024,41860000000.0,3.27,19720000000.0,43.8,3670000000.0,14340000000.0,64970000000.0,20020000000.0,25.9,44940000000.0,4440000000.0,1.7,9.17,19.2
2023,33759999999.999996,,15400000000.0,45.07,4470000000.0,3990000000.0,46570000000.0,15780000000.0,,30790000000.0,4470000000.0,1.03,13.7,29.2
2022,24990000000.0,,9760000000.0,39.03,3390000000.0,3710000000.0,34740000000.0,12020000000.0,,22720000000.0,,1.25,12.2,25.3
2021,21970000000.0,,9270000000.0,41.96,2660000000.0,4050000000.0,29610000000.0,10770000000.0,,18840000000.0,,1.42,11.6,23.7
2020,19700000000.0,,8250000000.0,41.85,2100000000.0,1710000000.0,23950000000.0,10460000000.0,,13480000000.0,,2.01,8.27,15.6
2019,18250000000.0,,7290000000.0,39.79,2320000000.0,670000000.0,18830000000.0,8630000000.0,,10190000000.0,,2.35,7.62,16.1
2018,17620000000.0,,7550000000.0,42.58,2390000000.0,78900000.0,16969999999.999998,7940000000.0,,9020000000.0,,2.78,6.35,14.1
2017,17210000000.0,,7410000000.0,43.58,3030000000.0,270000000.0,16500000000.0,8029999999.999999,,8470000000.000001,,2.45,7.62,16.3
2016,16590000000.0,1.12,7110000000.0,42.76,2930000000.0,32420000.0,13810000000.0,6400000000.0,13.5,7400000000.0,,4.68,5.67,14.7
2015,15900000000.0,,6440000000.0,40.29,2990000000.0,150000000.0,13450000000.0,6880000000.0,,6560000000.0,,1.6,9.58,22.1
2014,15510000000.0,,5990000000.0,38.39,2590000000.0,110000000.0,12580000000.0,6580000000.0,,6000000000.0,,2.43,7.26,17.1
2013,14900000000.0,,5800000000.0,38.94,2670000000.0,39800000.0,13020000000.0,7880000000.0,,5140000000.0,,2.18,6.79,12.8
2012,13620000000.0,,4870000000.0,35.64,2850000000.0,88650000.0,11640000000.0,7200000000.0,,4430000000.0,,1.97,6.68,12.6
2011,12210000000.0,,4210000000.0,33.05,3040000000.0,140000000.0,11270000000.0,6520000000.0,,4740000000.0,,2.07,5.46,10.2
2010,10800000000.0,,3610000000.0,30.09,2860000000.0,390000000.0,10950000000.0,6590000000.0,,4360000000.0,,1.66,6.25,10.2
2009,9640000000.0,,2870000000.0,27.39,2470000000.0,260000000.0,10540000000.0,6880000000.0,,3660000000.0,,2.2,4.2,5.88
2008,9100000000.0,,2600000000.0,27.87,1910000000.0,430000000.0,9520000000.0,6200000000.0,,3310000000.0,,2.38,3.58,5.25
2007,7850000000.0,,1660000000.0,26.22,1440000000.0,260000000.0,9350000000.0,6300000000.0,,3040000000.0,,1.32,5.34,6.65
2006,6620000000.0,,1550000000.0,23.65,900000000.0,260000000.0,7920000000.0,5340000000.0,,2580000000.0,,1.64,4.01,4.97
2005,5470000000.0,,1300000000.0,24.38,790000000.0,420000000.0,6630000000.0,4360000000.0,,2260000000.0,,2.16,3.33,4.17
2004,4940000000.0,,1180000000.0,25.68,720000000.0,310000000.0,6860000000.0,4850000000.0,,2000000000.0,,2.02,3.64,3.71
2003,4269999999.9999995,,,28.48,520000000.0,290000000.0,5830000000.0,4269999999.9999995,,1550000000.0,,1.91,3.31,3.31
2002,3710000000.0,,790000000.0,25.01,260000000.0,210000000.0,4780000000.0,3480000000.0,,1300000000.0,,1.94,2.71,2.89
2001,3680000000.0,,930000000.0,25.36,460000000.0,250000000.0,4380000000.0,3050000000.0,,1330000000.0,,1.21,3.77,
2000,4490000000.0,,1970000000.0,,190000000.0,260000000.0,,,,,,1.84,,
1999,3200000000.0,,560000000.0,,190000000.0,300000000.0,,,,,,0.99,,
1998,2840000000.0,,430000000.0,,120000000.0,410000000.0,,,,,,0.95,,
1997,2540000000.0,,320000000.0,,170000000.0,470000000.0,,,,,,0.62,,
1996,2250000000.0,,280000000.0,,130000000.0,340000000.0,,,,,,1.35,,
1995,,,,,,,,,,,,0.99,,
1994,,,,,,,,,,,,1.92,,
1993,,,,,,,,,,,,0.9,,
1992,,,,,,,,,,,,1.12,,
1991,,,,,,,,,,,,0.95,,
1990,,,,,,,,,,,,1.68,,
1989,,,,,,,,,,,,1.57,,
1988,,,,,,,,,,,,2.32,,
1987,,,,,,,,,,,,3.4,,
1986,,,,,,,,,,,,1.86,,
1985,,,,,,,,,,,,1.58,,
1984,,,,,,,,,,,,2.19,,
1983,,,,,,,,,,,,0.89,,
1982,,,,,,,,,,,,0.25,,
1981,,,,,,,,,,,,0.0,,
