year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,12269000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001413447-26-000008,USD,True,2021000000.0,NetIncomeLoss,0001413447-26-000008,USD,True,2820000000.0,NetCashProvidedByUsedInOperatingActivities,0001413447-26-000008,USD,True,397000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001413447-26-000008,USD,True,3047000000.0,OperatingIncomeLoss,0001413447-26-000008,USD,True,466000000.0,InterestExpense,0001413447-26-000008,USD,True,525000000.0,IncomeTaxExpenseBenefit,0001413447-26-000008,USD,True,0.197,EffectiveIncomeTaxRateContinuingOperations,0001413447-26-000008,pure,True,2663000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001413447-26-000008,USD,True,3267000000.0,CashAndCashEquivalentsAtCarryingValue,0001413447-26-000008,USD,True,,,,,False,11040000000.0,DebtAndCapitalLeaseObligations,0001413447-26-000008,USD,True,1250000000.0,DebtCurrent,0001413447-26-000008,USD,True,10972000000.0,FinanceLeaseLiabilityNoncurrent,0001413447-26-000008,USD,True,10056000000.0,StockholdersEquity,0001413447-26-000008,USD,True,3267000000.0,11040000000.0,2423000000.0,0.19714607585429966,17829000000.0,2446295906.8719487,0.13720881187233994,3047000000.0,False,0.19748960795500856,1.1989114299851558,True,True,NXPI,0001413447,ticker:NXPI,7
2024,12614000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001413447-25-000019,USD,True,2510000000.0,NetIncomeLoss,0001413447-25-000019,USD,True,2782000000.0,NetCashProvidedByUsedInOperatingActivities,0001413447-25-000019,USD,True,727000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001413447-25-000019,USD,True,3417000000.0,OperatingIncomeLoss,0001413447-25-000019,USD,True,398000000.0,InterestExpense,0001413447-25-000019,USD,True,545000000.0,IncomeTaxExpenseBenefit,0001413447-25-000019,USD,True,0.176,EffectiveIncomeTaxRateContinuingOperations,0001413447-25-000019,pure,True,3099000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001413447-25-000019,USD,True,3292000000.0,CashAndCashEquivalentsAtCarryingValue,0001413447-25-000019,USD,True,,,,,False,10420000000.0,DebtAndCapitalLeaseObligations,0001413447-25-000019,USD,True,500000000.0,DebtCurrent,0001413447-25-000019,USD,True,10354000000.0,FinanceLeaseLiabilityNoncurrent,0001413447-25-000019,USD,True,9183000000.0,StockholdersEquity,0001413447-25-000019,USD,True,3292000000.0,10420000000.0,2055000000.0,0.17586318167150694,16311000000.0,2816075508.228461,0.1726488571043137,3417000000.0,False,0.16291422229269067,0.8187250996015937,True,True,NXPI,0001413447,ticker:NXPI,7
2023,13276000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001413447-24-000013,USD,True,2797000000.0,NetIncomeLoss,0001413447-24-000013,USD,True,3513000000.0,NetCashProvidedByUsedInOperatingActivities,0001413447-24-000013,USD,True,827000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001413447-24-000013,USD,True,3661000000.0,OperatingIncomeLoss,0001413447-24-000013,USD,True,438000000.0,InterestExpense,0001413447-24-000013,USD,True,523000000.0,IncomeTaxExpenseBenefit,0001413447-24-000013,USD,True,0.156,EffectiveIncomeTaxRateContinuingOperations,0001413447-24-000013,pure,True,3352000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001413447-24-000013,USD,True,3862000000.0,CashAndCashEquivalentsAtCarryingValue,0001413447-24-000013,USD,True,,,,,False,11175000000.0,DebtAndCapitalLeaseObligations,0001413447-24-000013,USD,True,1000000000.0,DebtCurrent,0001413447-24-000013,USD,True,,,,,False,8644000000.0,StockholdersEquity,0001413447-24-000013,USD,True,3862000000.0,11175000000.0,2686000000.0,0.15602625298329356,15957000000.0,3089787887.828162,0.19363212933685292,3661000000.0,False,0.20231997589635434,0.9603146228101538,True,True,NXPI,0001413447,ticker:NXPI,7
2022,13205000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001413447-23-000006,USD,True,2787000000.0,NetIncomeLoss,0001413447-23-000006,USD,True,3895000000.0,NetCashProvidedByUsedInOperatingActivities,0001413447-23-000006,USD,True,1063000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001413447-23-000006,USD,True,3797000000.0,OperatingIncomeLoss,0001413447-23-000006,USD,True,427000000.0,InterestExpense,0001413447-23-000006,USD,True,529000000.0,IncomeTaxExpenseBenefit,0001413447-23-000006,USD,True,0.157,EffectiveIncomeTaxRateContinuingOperations,0001413447-23-000006,pure,True,3363000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001413447-23-000006,USD,True,3845000000.0,CashAndCashEquivalentsAtCarryingValue,0001413447-23-000006,USD,True,,,,,False,11165000000.0,DebtAndCapitalLeaseObligations,0001413447-23-000006,USD,True,0.0,DebtCurrent,0001413447-23-000006,USD,True,,,,,False,7449000000.0,StockholdersEquity,0001413447-23-000006,USD,True,3845000000.0,11165000000.0,2832000000.0,0.15730002973535534,14769000000.0,3199731787.094856,0.21665189160368717,3797000000.0,False,0.21446421809920485,1.016146393972013,True,True,NXPI,0001413447,ticker:NXPI,7
2021,11063000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001413447-22-000008,USD,True,1871000000.0,NetIncomeLoss,0001413447-22-000008,USD,True,3077000000.0,NetCashProvidedByUsedInOperatingActivities,0001413447-22-000008,USD,True,767000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001413447-22-000008,USD,True,2583000000.0,OperatingIncomeLoss,0001413447-22-000008,USD,True,369000000.0,InterestExpense,0001413447-22-000008,USD,True,272000000.0,IncomeTaxExpenseBenefit,0001413447-22-000008,USD,True,0.125,EffectiveIncomeTaxRateContinuingOperations,0001413447-22-000008,pure,True,2180000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001413447-22-000008,USD,True,2830000000.0,CashAndCashEquivalentsAtCarryingValue,0001413447-22-000008,USD,True,,,,,False,10572000000.0,DebtAndCapitalLeaseObligations,0001413447-22-000008,USD,True,0.0,DebtCurrent,0001413447-22-000008,USD,True,,,,,False,6528000000.0,StockholdersEquity,0001413447-22-000008,USD,True,2830000000.0,10572000000.0,2310000000.0,0.12477064220183487,14270000000.0,2260717431.1926603,0.15842448711931748,2583000000.0,False,0.2088041218476001,1.2346338856226617,True,True,NXPI,0001413447,ticker:NXPI,7
2020,8612000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001413447-21-000011,USD,True,52000000.0,NetIncomeLoss,0001413447-21-000011,USD,True,2482000000.0,NetCashProvidedByUsedInOperatingActivities,0001413447-21-000011,USD,True,392000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001413447-21-000011,USD,True,418000000.0,OperatingIncomeLoss,0001413447-21-000011,USD,True,362000000.0,InterestExpense,0001413447-21-000011,USD,True,-83000000.0,IncomeTaxExpenseBenefit,0001413447-21-000011,USD,True,-83.0,EffectiveIncomeTaxRateContinuingOperations,0001413447-21-000011,pure,True,1000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001413447-21-000011,USD,True,2275000000.0,CashAndCashEquivalentsAtCarryingValue,0001413447-21-000011,USD,True,,,,,False,7609000000.0,DebtAndCapitalLeaseObligations,0001413447-21-000011,USD,True,0.0,DebtCurrent,0001413447-21-000011,USD,True,,,,,False,8944000000.0,StockholdersEquity,0001413447-21-000011,USD,True,2275000000.0,7609000000.0,2090000000.0,-83.0,14278000000.0,35112000000.0,2.4591679506933746,418000000.0,False,0.24268462610311195,40.19230769230769,True,True,NXPI,0001413447,ticker:NXPI,7
2019,8877000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001413447-20-000009,USD,True,243000000.0,NetIncomeLoss,0001413447-20-000009,USD,True,2373000000.0,NetCashProvidedByUsedInOperatingActivities,0001413447-20-000009,USD,True,526000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001413447-20-000009,USD,True,641000000.0,OperatingIncomeLoss,0001413447-20-000009,USD,True,370000000.0,InterestExpense,0001413447-20-000009,USD,True,20000000.0,IncomeTaxExpenseBenefit,0001413447-20-000009,USD,True,0.069,EffectiveIncomeTaxRateContinuingOperations,0001413447-20-000009,pure,True,291000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001413447-20-000009,USD,True,1045000000.0,CashAndCashEquivalentsAtCarryingValue,0001413447-20-000009,USD,True,,,,,False,7365000000.0,DebtAndCapitalLeaseObligations,0001413447-20-000009,USD,True,0.0,DebtCurrent,0001413447-20-000009,USD,True,23000000.0,FinanceLeaseLiabilityNoncurrent,0001413447-20-000009,USD,True,9441000000.0,StockholdersEquity,0001413447-20-000009,USD,True,1045000000.0,7365000000.0,1847000000.0,0.06872852233676977,15761000000.0,596945017.1821306,0.03787481867788405,641000000.0,False,0.20806578799143854,7.600823045267489,True,True,NXPI,0001413447,ticker:NXPI,7
2018,9407000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001564590-19-005657,USD,False,2208000000.0,NetIncomeLoss,0001564590-19-005657,USD,False,4369000000.0,NetCashProvidedByUsedInOperatingActivities,0001564590-19-005657,USD,False,611000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001564590-19-005657,USD,False,2710000000.0,OperatingIncomeLoss,0001564590-19-005657,USD,False,273000000.0,InterestExpense,0001564590-19-005657,USD,False,176000000.0,IncomeTaxExpenseBenefit,0001564590-19-005657,USD,False,0.074,EffectiveIncomeTaxRateContinuingOperations,0001564590-19-005657,pure,False,2375000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001564590-19-005657,USD,False,2789000000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-19-005657,USD,False,,,,,False,7354000000.0,DebtAndCapitalLeaseObligations,0001564590-19-005657,USD,False,1107000000.0,DebtCurrent,0001564590-19-005657,USD,False,,,,,False,10505000000.0,StockholdersEquity,0001564590-19-005657,USD,False,2789000000.0,7354000000.0,3758000000.0,0.07410526315789474,15070000000.0,2509174736.842105,0.16650130967764465,2710000000.0,False,0.39948974168172635,1.7019927536231885,True,True,NXPI,0001413447,ticker:NXPI,7
2017,9256000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001193125-18-114230,USD,False,2215000000.0,NetIncomeLoss,0001193125-18-114230,USD,False,,,,,False,552000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-18-114230,USD,False,2102000000.0,OperatingIncomeLoss,0001193125-18-114230,USD,False,310000000.0,InterestExpense,0001193125-18-114230,USD,False,-483000000.0,IncomeTaxExpenseBenefit,0001193125-18-114230,USD,False,-0.278,EffectiveIncomeTaxRateContinuingOperations,0001193125-18-114230,pure,False,1736000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001193125-18-114230,USD,False,3547000000.0,CashAndCashEquivalentsAtCarryingValue,0001193125-18-114230,USD,False,,,,,False,6565000000.0,DebtAndCapitalLeaseObligations,0001193125-18-114230,USD,False,751000000.0,DebtCurrent,0001193125-18-114230,USD,False,,,,,False,13527000000.0,StockholdersEquity,0001193125-18-114230,USD,False,3547000000.0,6565000000.0,,-0.2782258064516129,16545000000.0,2686830645.1612906,0.1623953245791049,2102000000.0,False,,,True,False,NXPI,0001413447,ticker:NXPI,7
2016,9498000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001193125-17-068664,USD,False,200000000.0,NetIncomeLoss,0001193125-17-068664,USD,False,,,,,False,389000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-17-068664,USD,False,-150000000.0,OperatingIncomeLoss,0001193125-17-068664,USD,False,408000000.0,InterestExpense,0001193125-17-068664,USD,False,-851000000.0,IncomeTaxExpenseBenefit,0001193125-17-068664,USD,False,1.411,EffectiveIncomeTaxRateContinuingOperations,0001193125-17-068664,pure,False,-603000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001193125-17-068664,USD,False,1894000000.0,CashAndCashEquivalentsAtCarryingValue,0001193125-17-068664,USD,False,,,,,False,,,,,False,421000000.0,DebtCurrent,0001193125-17-068664,USD,False,,,,,False,10935000000.0,StockholdersEquity,0001193125-17-068664,USD,False,1894000000.0,421000000.0,,1.4112769485903813,9462000000.0,61691542.2885572,0.00651992626173718,-150000000.0,False,,,True,False,NXPI,0001413447,ticker:NXPI,7
