year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,5450000000.0,4.8,1340000000.0,,,,,,,,200000000.0,0.5,7.22,
2025,5490000000.0,4.86,1360000000.0,24.77,120000000.0,39990000.0,5470000000.0,4310000000.0,32.3,1150000000.0,200000000.0,0.71,6.09,7.76
2024,5810000000.0,5.5,1550000000.0,26.79,100000000.0,59980000.0,5490000000.0,4240000000.0,31.9,1240000000.0,210000000.0,0.59,6.62,9.07
2023,5860000000.0,5.66,1640000000.0,28.09,430000000.0,79970000.0,5510000000.0,4250000000.0,35.4,1250000000.0,,0.4,7.54,10.4
2022,6260000000.0,,1840000000.0,29.41,230000000.0,99960000.0,4830000000.0,3650000000.0,,1180000000.0,,0.43,5.01,8.58
2021,5250000000.0,4.48,1390000000.0,26.41,710000000.0,99940000.0,4820000000.0,3670000000.0,39.3,1140000000.0,,0.23,7.84,11.2
2020,4010000000.0,2.86,900000000.0,22.45,730000000.0,99930000.0,4360000000.0,3320000000.0,33.4,1040000000.0,,0.32,5.7,6.88
2019,4099999999.9999995,2.56,820000000.0,20.05,400000000.0,45000000.0,3990000000.0,3080000000.0,24.1,910000000.0,,0.37,3.68,4.91
2018,4040000000.0,2.47,810000000.0,20.17,190000000.0,45000000.0,3540000000.0,2680000000.0,16.2,860000000.0,,0.43,2.48,3.74
2017,3350000000.0,1.88,570000000.0,17.15,120000000.0,95000000.0,3060000000.0,2270000000.0,22.6,790000000.0,,0.31,3.23,4.76
2016,2990000000.0,1.19,480000000.0,15.96,10170000.0,100000000.0,2690000000.0,1850000000.0,23.2,840000000.0,,0.0,2.36,3.82
2015,2970000000.0,1.19,490000000.0,16.49,11470000.0,130000000.0,2460000000.0,1680000000.0,15.9,780000000.0,,0.0,1.68,2.96
2014,2780000000.0,1.03,430000000.0,15.51,34780000.0,150000000.0,2200000000.0,1490000000.0,24.1,710000000.0,,0.0,2.4,4.47
2013,2330000000.0,0.8,330000000.0,14.06,30170000.0,190000000.0,1930000000.0,1230000000.0,21.3,700000000.0,,0.0,1.95,3.71
2012,2120000000.0,0.65,280000000.0,12.79,12850000.0,240000000.0,1710000000.0,1020000000.0,16.8,680000000.0,,0.0,1.39,2.88
2011,1880000000.0,,230000000.0,11.56,75850000.0,260000000.0,1510000000.0,850000000.0,,650000000.0,,0.0,1.24,2.72
2010,1480000000.0,,130000000.0,8.4,5450000.0,270000000.0,1230000000.0,660000000.0,,570000000.0,,0.0,1.21,2.68
2009,1240000000.0,,70200000.0,4.59,4170000.0,300000000.0,1150000000.0,590000000.0,,560000000.0,,0.0,0.9194,1.93
2008,1530000000.0,,120000000.0,7.33,28960000.0,250000000.0,1070000000.0000001,550000000.0,,510000000.0,,0.0,0.6901,1.9
2007,1400000000.0,,450000000.0,8.26,30700000.0,260000000.0,980000000.0,480000000.0,,490000000.0,,0.0,0.6148,1.76
2006,1270000000.0,,420000000.0,9.33,87720000.0,270000000.0,890000000.0,410000000.0,,470000000.0,,0.0,0.7014,2.15
2005,1060000000.0,,330000000.0,8.5,980000.0,120000000.0,640000000.0,340000000.0,,290000000.0,,0.0,0.947,2.91
2004,820000000.0,,6290000.0,7.84,740000.0,79450000.0,500000000.0,290000000.0,,210000000.0,,0.0,1.06,2.98
2003,660000000.0,,,6.79,1050000.0,97420000.0,430000000.0,230000000.0,,200000000.0,,0.0,0.8199,2.35
2002,560000000.0,,,5.34,19250000.0,93220000.0,380000000.0,200000000.0,,180000000.0,,0.0,0.5341,1.49
2001,500000000.0,,91410000.0,3.89,760000.0,98420000.0,310000000.0,130000000.0,,170000000.0,,0.0,0.2099,
2000,470000000.0,,,,580000.0,83540000.0,,,,,,0.0,,
1999,420000000.0,,,,780000.0,64870000.00000001,,,,,,0.0,,
1998,380000000.0,,,,650000.0,70580000.0,,,,,,0.0,,
1997,320000000.0,,,,670000.0,47300000.0,,,,,,0.0,,
1996,290000000.0,,,,1350000.0,43140000.0,,,,,,0.0,,
1995,,,,,,,,,,,,0.0,,
1994,,,,,,,,,,,,0.0,,
1993,,,,,,,,,,,,0.0,,
1992,,,,,,,,,,,,0.0,,
1991,,,,,,,,,,,,0.0,,
