year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,5496389000.0,RevenueFromContractWithCustomerIncludingAssessedTax,0001193125-26-067161,USD,True,1023703000.0,NetIncomeLoss,0001193125-26-067161,USD,True,1370133000.0,NetCashProvidedByUsedInOperatingActivities,0001193125-26-067161,USD,True,415034000.0,PaymentsToAcquireProductiveAssets,0001193125-26-067161,USD,True,1361045000.0,OperatingIncomeLoss,0001193125-26-067161,USD,True,296000.0,InterestAndDebtExpense,0001193125-26-067161,USD,True,337605000.0,IncomeTaxExpenseBenefit,0001193125-26-067161,USD,True,0.248,EffectiveIncomeTaxRateContinuingOperations,0001193125-26-067161,pure,True,1361308000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001193125-26-067161,USD,True,120091000.0,CashAndCashEquivalentsAtCarryingValue,0001193125-26-067161,USD,True,0.0,ShortTermInvestments,0001193125-26-067161,USD,True,39995000.0,DebtAndCapitalLeaseObligations,0001193125-26-067161,USD,True,20000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001193125-26-067161,USD,True,,,,,False,4311057000.0,StockholdersEquity,0001193125-26-067161,USD,True,120091000.0,39995000.0,955099000.0,0.2480004525059722,4230961000.0,1023505224.119009,0.2419084515595887,1361045000.0,False,0.1737684505226977,0.9329844691282531,True,True,ODFL,0000878927,ticker:ODFL,24
2024,5814810000.0,RevenueFromContractWithCustomerIncludingAssessedTax,0000950170-25-026661,USD,True,1186073000.0,NetIncomeLoss,0000950170-25-026661,USD,True,1659283000.0,NetCashProvidedByUsedInOperatingActivities,0000950170-25-026661,USD,True,771318000.0,PaymentsToAcquireProductiveAssets,0000950170-25-026661,USD,True,1543998000.0,OperatingIncomeLoss,0000950170-25-026661,USD,True,212000.0,InterestAndDebtExpense,0000950170-25-026661,USD,True,371524000.0,IncomeTaxExpenseBenefit,0000950170-25-026661,USD,True,,,,,False,1557597000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000950170-25-026661,USD,True,108676000.0,CashAndCashEquivalentsAtCarryingValue,0000950170-25-026661,USD,True,0.0,ShortTermInvestments,0000950170-25-026661,USD,True,59987000.0,DebtAndCapitalLeaseObligations,0000950170-25-026661,USD,True,20000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000950170-25-026661,USD,True,,,,,False,4244588000.0,StockholdersEquity,0000950170-25-026661,USD,True,108676000.0,59987000.0,887965000.0,0.23852382869253086,4195899000.0,1175717685.5463898,0.28020638379198115,1543998000.0,False,0.15270748313358476,0.7486596524834475,True,True,ODFL,0000878927,ticker:ODFL,24
2023,5866152000.0,RevenueFromContractWithCustomerIncludingAssessedTax,0000950170-24-020176,USD,True,1239502000.0,NetIncomeLoss,0000950170-24-020176,USD,True,1569135000.0,NetCashProvidedByUsedInOperatingActivities,0000950170-24-020176,USD,True,757309000.0,PaymentsToAcquireProductiveAssets,0000950170-24-020176,USD,True,1640673000.0,OperatingIncomeLoss,0000950170-24-020176,USD,True,464000.0,InterestAndDebtExpense,0000950170-24-020176,USD,True,408274000.0,IncomeTaxExpenseBenefit,0000950170-24-020176,USD,True,,,,,False,1647776000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000950170-24-020176,USD,True,433799000.0,CashAndCashEquivalentsAtCarryingValue,0000950170-24-020176,USD,True,0.0,ShortTermInvestments,0000950170-24-020176,USD,True,79977000.0,DebtAndCapitalLeaseObligations,0000950170-24-020176,USD,True,20000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000950170-24-020176,USD,True,,,,,False,4257811000.0,StockholdersEquity,0000950170-24-020176,USD,True,433799000.0,79977000.0,811826000.0,0.24777275552016778,3903989000.0,1234158929.8824599,0.31612766580091795,1640673000.0,False,0.1383915725334086,0.6549614280573972,True,True,ODFL,0000878927,ticker:ODFL,24
2022,6260077000.0,RevenueFromContractWithCustomerIncludingAssessedTax,0000950170-23-003783,USD,True,1377159000.0,NetIncomeLoss,0000950170-23-003783,USD,True,1691582000.0,NetCashProvidedByUsedInOperatingActivities,0000950170-23-003783,USD,True,775148000.0,PaymentsToAcquireProductiveAssets,0000950170-23-003783,USD,True,1840632000.0,OperatingIncomeLoss,0000950170-23-003783,USD,True,1563000.0,InterestAndDebtExpense,0000950170-23-003783,USD,True,464190000.0,IncomeTaxExpenseBenefit,0000950170-23-003783,USD,True,,,,,False,1841349000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000950170-23-003783,USD,True,186312000.0,CashAndCashEquivalentsAtCarryingValue,0000950170-23-003783,USD,True,49355000.0,ShortTermInvestments,0000950170-23-003783,USD,True,99963000.0,DebtAndCapitalLeaseObligations,0000950170-23-003783,USD,True,20000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000950170-23-003783,USD,True,,,,,False,3652917000.0,StockholdersEquity,0000950170-23-003783,USD,True,235667000.0,99963000.0,916434000.0,0.2520923518572525,3517213000.0,1376622750.2162817,0.39139590073625957,1840632000.0,False,0.1463934069820547,0.6654525730144449,True,True,ODFL,0000878927,ticker:ODFL,24
2021,5256328000.0,RevenueFromContractWithCustomerIncludingAssessedTax,0001564590-22-006303,USD,True,1034375000.0,NetIncomeLoss,0001564590-22-006303,USD,True,1212606000.0,NetCashProvidedByUsedInOperatingActivities,0001564590-22-006303,USD,True,550077000.0,PaymentsToAcquireProductiveAssets,0001564590-22-006303,USD,True,1391602000.0,OperatingIncomeLoss,0001564590-22-006303,USD,True,1727000.0,InterestAndDebtExpense,0001564590-22-006303,USD,True,354048000.0,IncomeTaxExpenseBenefit,0001564590-22-006303,USD,True,,,,,False,1388423000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001564590-22-006303,USD,True,462564000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-22-006303,USD,True,254433000.0,ShortTermInvestments,0001564590-22-006303,USD,True,99947000.0,DebtAndCapitalLeaseObligations,0001564590-22-006303,USD,True,0.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001564590-22-006303,USD,True,,,,,False,3679807000.0,StockholdersEquity,0001564590-22-006303,USD,True,716997000.0,99947000.0,662529000.0,0.2550000972326157,3062757000.0,1036743354.6908976,0.3385000359776821,1391602000.0,False,0.1260440748750839,0.640511419939577,True,True,ODFL,0000878927,ticker:ODFL,24
2020,4015129000.0,RevenueFromContractWithCustomerIncludingAssessedTax,0001564590-21-008056,USD,True,672682000.0,NetIncomeLoss,0001564590-21-008056,USD,True,933024000.0,NetCashProvidedByUsedInOperatingActivities,0001564590-21-008056,USD,True,225081000.0,PaymentsToAcquireProductiveAssets,0001564590-21-008056,USD,True,906882000.0,OperatingIncomeLoss,0001564590-21-008056,USD,True,2782000.0,InterestAndDebtExpense,0001564590-21-008056,USD,True,228682000.0,IncomeTaxExpenseBenefit,0001564590-21-008056,USD,True,,,,,False,901364000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001564590-21-008056,USD,True,401430000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-21-008056,USD,True,330274000.0,ShortTermInvestments,0001564590-21-008056,USD,True,99931000.0,DebtAndCapitalLeaseObligations,0001564590-21-008056,USD,True,0.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001564590-21-008056,USD,True,,,,,False,3326288000.0,StockholdersEquity,0001564590-21-008056,USD,True,731704000.0,99931000.0,707943000.0,0.25370660465694217,2694515000.0,676800046.955503,0.25117694537068935,906882000.0,False,0.17631886796165205,1.0524185276252376,True,True,ODFL,0000878927,ticker:ODFL,24
2019,4109111000.0,RevenueFromContractWithCustomerIncludingAssessedTax,0001564590-20-006626,USD,True,615518000.0,NetIncomeLoss,0001564590-20-006626,USD,True,983888000.0,NetCashProvidedByUsedInOperatingActivities,0001564590-20-006626,USD,True,479325000.0,PaymentsToAcquireProductiveAssets,0001564590-20-006626,USD,True,818706000.0,OperatingIncomeLoss,0001564590-20-006626,USD,True,377000.0,InterestAndDebtExpense,0001564590-20-006626,USD,True,208431000.0,IncomeTaxExpenseBenefit,0001564590-20-006626,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0001564590-20-006626,pure,True,823949000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001564590-20-006626,USD,True,403571000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-20-006626,USD,True,,,,,False,45000000.0,DebtAndCapitalLeaseObligations,0001564590-20-006626,USD,True,0.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001564590-20-006626,USD,True,,,,,False,3080717000.0,StockholdersEquity,0001564590-20-006626,USD,True,403571000.0,45000000.0,504563000.0,0.2529658995884454,2722146000.0,611601300.2115422,0.2246761563162087,818706000.0,False,0.12279128015767887,0.8197371969625583,True,True,ODFL,0000878927,ticker:ODFL,24
2018,4043695000.0,RevenueFromContractWithCustomerIncludingAssessedTax,0001564590-19-004755,USD,True,605668000.0,NetIncomeLoss,0001564590-19-004755,USD,True,900116000.0,NetCashProvidedByUsedInOperatingActivities,0001564590-19-004755,USD,True,588292000.0,PaymentsToAcquireProductiveAssets,0001564590-19-004755,USD,True,817051000.0,OperatingIncomeLoss,0001564590-19-004755,USD,True,189000.0,InterestAndDebtExpense,0001564590-19-004755,USD,True,209845000.0,IncomeTaxExpenseBenefit,0001564590-19-004755,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0001564590-19-004755,pure,True,815513000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001564590-19-004755,USD,True,190282000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-19-004755,USD,True,,,,,False,45000000.0,DebtAndCapitalLeaseObligations,0001564590-19-004755,USD,True,0.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001564590-19-004755,USD,True,,,,,False,2680483000.0,StockholdersEquity,0001564590-19-004755,USD,True,190282000.0,45000000.0,311824000.0,0.25731656025103217,2535201000.0,606810247.130334,0.23935390019581643,817051000.0,False,0.07711362998445728,0.5148431153701368,True,True,ODFL,0000878927,ticker:ODFL,24
2017,,,,,False,463774000.0,NetIncomeLoss,0000878927-18-000005,USD,True,536294000.0,NetCashProvidedByUsedInOperatingActivities,0000878927-18-000005,USD,True,382125000.0,PaymentsToAcquireProductiveAssets,0000878927-18-000005,USD,True,575886000.0,OperatingIncomeLoss,0000878927-18-000005,USD,True,2154000.0,InterestAndDebtExpense,0000878927-18-000005,USD,True,112058000.0,IncomeTaxExpenseBenefit,0000878927-18-000005,USD,True,,,,,False,575832000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000878927-18-000005,USD,True,127462000.0,CashAndCashEquivalentsAtCarryingValue,0000878927-18-000005,USD,True,,,,,False,95000000.0,DebtAndCapitalLeaseObligations,0000878927-18-000005,USD,True,50000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000878927-18-000005,USD,True,,,,,False,2276854000.0,StockholdersEquity,0000878927-18-000005,USD,True,127462000.0,95000000.0,154169000.0,0.19460189777574013,2244392000.0,463817491.49752015,0.20665618639592379,575886000.0,False,,0.3324226886371379,True,False,ODFL,0000878927,ticker:ODFL,24
2016,,,,,False,295765000.0,NetIncomeLoss,0000878927-17-000005,USD,True,565583000.0,NetCashProvidedByUsedInOperatingActivities,0000878927-17-000005,USD,True,417941000.0,PaymentsToAcquireProductiveAssets,0000878927-17-000005,USD,True,483835000.0,OperatingIncomeLoss,0000878927-17-000005,USD,True,4332000.0,InterestAndDebtExpense,0000878927-17-000005,USD,True,181822000.0,IncomeTaxExpenseBenefit,0000878927-17-000005,USD,True,,,,,False,477587000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000878927-17-000005,USD,True,10171000.0,CashAndCashEquivalentsAtCarryingValue,0000878927-17-000005,USD,True,,,,,False,104975000.0,DebtAndCapitalLeaseObligations,0000878927-17-000005,USD,True,0.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000878927-17-000005,USD,True,,,,,False,1851158000.0,StockholdersEquity,0000878927-17-000005,USD,True,10171000.0,104975000.0,147642000.0,0.38070969268426486,1945962000.0,299634325.84010875,0.15397748046473095,483835000.0,False,,0.4991868544283468,True,False,ODFL,0000878927,ticker:ODFL,24
2015,,,,,False,304690000.0,NetIncomeLoss,0000878927-16-000055,USD,True,553880000.0,NetCashProvidedByUsedInOperatingActivities,0000878927-16-000055,USD,True,462059000.0,PaymentsToAcquireProductiveAssets,0000878927-16-000055,USD,True,498240000.0,OperatingIncomeLoss,0000878927-16-000055,USD,True,5210000.0,InterestAndDebtExpense,0000878927-16-000055,USD,True,185327000.0,IncomeTaxExpenseBenefit,0000878927-16-000055,USD,True,,,,,False,490017000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000878927-16-000055,USD,True,11472000.0,CashAndCashEquivalentsAtCarryingValue,0000878927-16-000055,USD,True,,,,,False,133805000.0,DebtAndCapitalLeaseObligations,0000878927-16-000055,USD,True,26488000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000878927-16-000055,USD,True,,,,,False,1684637000.0,StockholdersEquity,0000878927-16-000055,USD,True,11472000.0,133805000.0,91821000.0,0.37820524594044697,1806970000.0,309803018.26263165,0.17144889968435095,498240000.0,False,,0.301358758081985,True,False,ODFL,0000878927,ticker:ODFL,24
2014,,,,,False,267514000.0,NetIncomeLoss,0000878927-15-000006,USD,True,391674000.0,NetCashProvidedByUsedInOperatingActivities,0000878927-15-000006,USD,True,367680000.0,PaymentsToAcquireProductiveAssets,0000878927-15-000006,USD,True,441307000.0,OperatingIncomeLoss,0000878927-15-000006,USD,True,6610000.0,InterestAndDebtExpense,0000878927-15-000006,USD,True,165000000.0,IncomeTaxExpenseBenefit,0000878927-15-000006,USD,True,,,,,False,432514000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000878927-15-000006,USD,True,34787000.0,CashAndCashEquivalentsAtCarryingValue,0000878927-15-000006,USD,True,,,,,False,155714000.0,DebtAndCapitalLeaseObligations,0000878927-15-000006,USD,True,35714000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000878927-15-000006,USD,True,,,,,False,1494064000.0,StockholdersEquity,0000878927-15-000006,USD,True,34787000.0,155714000.0,23994000.0,0.3814905413466385,1614991000.0,272952553.669939,0.16901181100695853,441307000.0,False,,0.08969250207465777,True,False,ODFL,0000878927,ticker:ODFL,24
