Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,67349999999.99999,24150000000.0,,31890000000.0,261750000000.0,
2025,61010000000.0,21210000000.0,,11200000000.0,168360000000.0,
2024,54930000000.0,16660000000.0,39.4,10660000000.0,140970000000.0,
2023,51620000000.0,14040000000.0,27.7,10180000000.0,134380000000.0,
2022,46070000000.0,13270000000.0,23.9,21900000000.0,109290000000.0,
2021,41400000000.0,11280000000.0,23.2,46550000000.0,131100000000.0,
2020,39400000000.0,14580000000.0,,43050000000.0,115430000000.0,
2019,39580000000.0,14230000000.0,15.1,37820000000.0,108700000000.0,
2018,39680000000.0,14770000000.0,38.1,67260000000.00001,137850000000.0,
2017,38790000000.0,13660000000.0,17.5,66069999999.99999,134990000000.00002,
2016,37230000000.0,13110000000.0,15.8,56120000000.0,112180000000.0,
2015,37470000000.0,13160000000.0,14.8,54360000000.0,110900000000.0,
2014,38820000000.0,14830000000.0,,38810000000.0,90260000000.0,
2013,37550000000.0,14640000000.0,,32210000000.0,81810000000.0,
2012,37230000000.0,14270000000.0,,30670000000.0,78320000000.0,
2011,36700000000.0,13180000000.0,,28840000000.0,73530000000.0,
2010,31990000000.0,9890000000.0,,18460000000.0,61570000000.0,
2009,23220000000.0,8800000000.0,,12620000000.0,47410000000.0,
2008,23520000000.0,8520000000.0,,11040000000.0,47260000000.0,
2007,20080000000.0,6870000000.0,,7020000000.0,34570000000.0,
2006,16070000000.0,5410000000.0,,7600000000.0,29020000000.0,
2005,12880000000.0,4350000000.0,,4770000000.0,20680000000.0,
2004,10550000000.0,4219999999.9999995,,8580000000.0,12760000000.0,
2003,9700000000.0,3590000000.0,,6510000000.0,10960000000.0,
2002,9430000000.0,3370000000.0,,5840000000.0,10800000000.0,
2001,10560000000.0,3730000000.0,,5880000000.0,11030000000.0,
2000,10740000000.0,3760000000.0,,7760000000.0,,
1999,9320000000.0,2130000000.0,,2560000000.0,,
1998,7960000000.0,1580000000.0,,1910000000.0,,
1997,6300000000.0,1340000000.0,,1210000000.0,,
1996,4840000000.0,1060000000.0,,840000000.0,,
