year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,57399000000.0,Revenues,0000950170-25-087926,USD,True,12443000000.0,NetIncomeLoss,0000950170-25-087926,USD,True,20821000000.0,NetCashProvidedByUsedInOperatingActivities,0000950170-25-087926,USD,True,21215000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000950170-25-087926,USD,True,17678000000.0,OperatingIncomeLoss,0000950170-25-087926,USD,True,3578000000.0,InterestExpense,0000950170-25-087926,USD,True,1717000000.0,IncomeTaxExpenseBenefit,0000950170-25-087926,USD,True,0.121,EffectiveIncomeTaxRateContinuingOperations,0000950170-25-087926,pure,True,4376000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000950170-25-087926,USD,True,10786000000.0,CashAndCashEquivalentsAtCarryingValue,0000950170-25-087926,USD,True,,,,,False,,,,,False,7271000000.0,DebtCurrent,0000950170-25-087926,USD,True,2700000000.0,FinanceLeaseLiabilityNoncurrent,0000950170-25-087926,USD,True,20451000000.0,StockholdersEquity,0000950170-25-087926,USD,True,10786000000.0,9971000000.0,-394000000.0,0.3923674588665448,19636000000.0,10741728062.15722,0.5470425780279701,17678000000.0,False,-0.00686423108416523,-0.03166438961665193,True,True,ORCL,0001341439,ticker:ORCL,21
2024,52961000000.0,Revenues,0000950170-24-075605,USD,True,10467000000.0,NetIncomeLoss,0000950170-24-075605,USD,True,18673000000.0,NetCashProvidedByUsedInOperatingActivities,0000950170-24-075605,USD,True,6866000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000950170-24-075605,USD,True,15353000000.0,OperatingIncomeLoss,0000950170-24-075605,USD,True,3514000000.0,InterestExpense,0000950170-24-075605,USD,True,1274000000.0,IncomeTaxExpenseBenefit,0000950170-24-075605,USD,True,0.109,EffectiveIncomeTaxRateContinuingOperations,0000950170-24-075605,pure,True,3023000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000950170-24-075605,USD,True,10454000000.0,CashAndCashEquivalentsAtCarryingValue,0000950170-24-075605,USD,True,,,,,False,,,,,False,10605000000.0,DebtCurrent,0000950170-24-075605,USD,True,,,,,False,8704000000.0,StockholdersEquity,0000950170-24-075605,USD,True,10454000000.0,10605000000.0,11807000000.0,0.4214356599404565,8855000000.0,8882698312.934174,1.0031279856503865,15353000000.0,False,0.22293763335284456,1.128021400592338,True,True,ORCL,0001341439,ticker:ORCL,21
2023,49954000000.0,Revenues,0000950170-23-028914,USD,True,8503000000.0,NetIncomeLoss,0000950170-23-028914,USD,True,17165000000.0,NetCashProvidedByUsedInOperatingActivities,0000950170-23-028914,USD,True,8695000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000950170-23-028914,USD,True,13093000000.0,OperatingIncomeLoss,0000950170-23-028914,USD,True,3505000000.0,InterestExpense,0000950170-23-028914,USD,True,623000000.0,IncomeTaxExpenseBenefit,0000950170-23-028914,USD,True,0.068,EffectiveIncomeTaxRateContinuingOperations,0000950170-23-028914,pure,True,1492000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000950170-23-028914,USD,True,9765000000.0,CashAndCashEquivalentsAtCarryingValue,0000950170-23-028914,USD,True,,,,,False,,,,,False,4061000000.0,DebtCurrent,0000950170-23-028914,USD,True,,,,,False,1073000000.0,StockholdersEquity,0000950170-23-028914,USD,True,9765000000.0,4061000000.0,8470000000.0,0.4175603217158177,-4631000000.0,7625882707.774799,-1.6467032407201034,13093000000.0,False,0.16955599151219122,0.9961190168175937,True,True,ORCL,0001341439,ticker:ORCL,21
2022,42440000000.0,Revenues,0001564590-22-023675,USD,True,6717000000.0,NetIncomeLoss,0001564590-22-023675,USD,True,9539000000.0,NetCashProvidedByUsedInOperatingActivities,0001564590-22-023675,USD,True,4511000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001564590-22-023675,USD,True,10926000000.0,OperatingIncomeLoss,0001564590-22-023675,USD,True,2755000000.0,InterestExpense,0001564590-22-023675,USD,True,932000000.0,IncomeTaxExpenseBenefit,0001564590-22-023675,USD,True,0.122,EffectiveIncomeTaxRateContinuingOperations,0001564590-22-023675,pure,True,-629000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001564590-22-023675,USD,True,21383000000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-22-023675,USD,True,,,,,False,0.0,DebtAndCapitalLeaseObligations,0001564590-22-023675,USD,True,3749000000.0,DebtCurrent,0001564590-22-023675,USD,True,,,,,False,-6220000000.0,StockholdersEquity,0001564590-22-023675,USD,True,21383000000.0,0.0,5028000000.0,-1.4817170111287759,-27603000000.0,27115240063.593006,-0.9823294592469299,10926000000.0,False,0.11847313854853911,0.7485484591335417,True,True,ORCL,0001341439,ticker:ORCL,21
2021,40479000000.0,Revenues,0001564590-21-033616,USD,True,13746000000.0,NetIncomeLoss,0001564590-21-033616,USD,True,15887000000.0,NetCashProvidedByUsedInOperatingActivities,0001564590-21-033616,USD,True,2135000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001564590-21-033616,USD,True,15213000000.0,OperatingIncomeLoss,0001564590-21-033616,USD,True,2496000000.0,InterestExpense,0001564590-21-033616,USD,True,-747000000.0,IncomeTaxExpenseBenefit,0001564590-21-033616,USD,True,-0.057,EffectiveIncomeTaxRateContinuingOperations,0001564590-21-033616,pure,True,4375000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001564590-21-033616,USD,True,30098000000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-21-033616,USD,True,,,,,False,,,,,False,8250000000.0,DebtCurrent,0001564590-21-033616,USD,True,,,,,False,5238000000.0,StockholdersEquity,0001564590-21-033616,USD,True,30098000000.0,8250000000.0,13752000000.0,-0.17074285714285714,-16610000000.0,17810511085.714283,-1.0722764049195836,15213000000.0,False,0.33973171273993924,1.0004364906154517,True,True,ORCL,0001341439,ticker:ORCL,21
2020,39068000000.0,Revenues,0001564590-20-030125,USD,True,10135000000.0,NetIncomeLoss,0001564590-20-030125,USD,True,13139000000.0,NetCashProvidedByUsedInOperatingActivities,0001564590-20-030125,USD,True,1564000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001564590-20-030125,USD,True,13896000000.0,OperatingIncomeLoss,0001564590-20-030125,USD,True,1995000000.0,InterestExpense,0001564590-20-030125,USD,True,1928000000.0,IncomeTaxExpenseBenefit,0001564590-20-030125,USD,True,0.16,EffectiveIncomeTaxRateContinuingOperations,0001564590-20-030125,pure,True,3890000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001564590-20-030125,USD,True,37239000000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-20-030125,USD,True,,,,,False,,,,,False,2371000000.0,DebtCurrent,0001564590-20-030125,USD,True,,,,,False,12074000000.0,StockholdersEquity,0001564590-20-030125,USD,True,37239000000.0,2371000000.0,11575000000.0,0.49562982005141387,-22794000000.0,7008728020.565553,-0.3074812679023231,13896000000.0,False,0.2962782840176103,1.142081894425259,True,True,ORCL,0001341439,ticker:ORCL,21
2019,39506000000.0,Revenues,0001564590-19-023119,USD,True,11083000000.0,NetIncomeLoss,0001564590-19-023119,USD,True,14551000000.0,NetCashProvidedByUsedInOperatingActivities,0001564590-19-023119,USD,True,1660000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001564590-19-023119,USD,True,13535000000.0,OperatingIncomeLoss,0001564590-19-023119,USD,True,2082000000.0,InterestExpense,0001564590-19-023119,USD,True,1185000000.0,IncomeTaxExpenseBenefit,0001564590-19-023119,USD,True,0.097,EffectiveIncomeTaxRateContinuingOperations,0001564590-19-023119,pure,True,3774000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001564590-19-023119,USD,True,20514000000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-19-023119,USD,True,,,,,False,,,,,False,4494000000.0,DebtCurrent,0001564590-19-023119,USD,True,,,,,False,21785000000.0,StockholdersEquity,0001564590-19-023119,USD,True,20514000000.0,4494000000.0,12891000000.0,0.3139904610492846,5765000000.0,9285139109.697933,1.6106052228443943,13535000000.0,False,0.32630486508378476,1.1631327257962645,True,True,ORCL,0001341439,ticker:ORCL,21
2018,39831000000.0,Revenues,0001193125-18-201034,USD,True,3825000000.0,NetIncomeLoss,0001193125-18-201034,USD,True,15386000000.0,NetCashProvidedByUsedInOperatingActivities,0001193125-18-201034,USD,True,1736000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-18-201034,USD,True,13679000000.0,OperatingIncomeLoss,0001193125-18-201034,USD,True,2025000000.0,InterestExpense,0001193125-18-201034,USD,True,9066000000.0,IncomeTaxExpenseBenefit,0001193125-18-201034,USD,True,0.703,EffectiveIncomeTaxRateContinuingOperations,0001193125-18-201034,pure,True,12891000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001193125-18-201034,USD,True,21620000000.0,CashAndCashEquivalentsAtCarryingValue,0001193125-18-201034,USD,True,45641000000.0,AvailableForSaleSecuritiesCurrent,0001193125-18-201034,USD,True,,,,,False,4491000000.0,DebtCurrent,0001193125-18-201034,USD,True,,,,,False,45726000000.0,StockholdersEquity,0001193125-18-201034,USD,True,67261000000.0,4491000000.0,13650000000.0,0.7032813590877356,-17044000000.0,4058814289.0388646,-0.2381374260173002,13679000000.0,False,0.3426978986216766,3.5686274509803924,True,True,ORCL,0001341439,ticker:ORCL,21
2017,37728000000.0,Revenues,0001193125-17-214833,USD,True,9335000000.0,NetIncomeLoss,0001193125-17-214833,USD,True,,,,,False,2021000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-17-214833,USD,True,12710000000.0,OperatingIncomeLoss,0001193125-17-214833,USD,True,1798000000.0,InterestExpense,0001193125-17-214833,USD,True,2182000000.0,IncomeTaxExpenseBenefit,0001193125-17-214833,USD,True,0.189,EffectiveIncomeTaxRateContinuingOperations,0001193125-17-214833,pure,True,11517000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001193125-17-214833,USD,True,21784000000.0,CashAndCashEquivalentsAtCarryingValue,0001193125-17-214833,USD,True,44294000000.0,AvailableForSaleSecuritiesCurrent,0001193125-17-214833,USD,True,,,,,False,9797000000.0,DebtCurrent,0001193125-17-214833,USD,True,,,,,False,53860000000.0,StockholdersEquity,0001193125-17-214833,USD,True,66078000000.0,9797000000.0,,0.18945906051923245,-2421000000.0,10301975340.800556,-4.255256233292258,12710000000.0,False,,,True,False,ORCL,0001341439,ticker:ORCL,21
2016,37047000000.0,Revenues,0001193125-16-628942,USD,True,8901000000.0,NetIncomeLoss,0001193125-16-628942,USD,True,,,,,False,1189000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-16-628942,USD,True,12604000000.0,OperatingIncomeLoss,0001193125-16-628942,USD,True,1467000000.0,InterestExpense,0001193125-16-628942,USD,True,2541000000.0,IncomeTaxExpenseBenefit,0001193125-16-628942,USD,True,0.222,EffectiveIncomeTaxRateContinuingOperations,0001193125-16-628942,pure,True,11442000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001193125-16-628942,USD,True,20152000000.0,CashAndCashEquivalentsAtCarryingValue,0001193125-16-628942,USD,True,35973000000.0,AvailableForSaleSecuritiesCurrent,0001193125-16-628942,USD,True,,,,,False,3750000000.0,DebtCurrent,0001193125-16-628942,USD,True,,,,,False,47289000000.0,StockholdersEquity,0001193125-16-628942,USD,True,56125000000.0,3750000000.0,,0.2220765600419507,-5086000000.0,9804947037.231253,-1.927830719078107,12604000000.0,False,,,True,False,ORCL,0001341439,ticker:ORCL,21
