year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,price_to_sales,price_to_book
2026,18200000000.0,3.08,3570000000.0,,,,,,,,830000000.0,4.18,
2025,17780000000.0,2.99,3470000000.0,18.22,190000000.0,8490000000.0,16530000000.000002,,30.5,17300000000.0,840000000.0,4.3,-100.0
2024,16700000000.0,2.73,3260000000.0,18.22,130000000.0,7920000000.0,14890000000.0,,29.0,16260000000.000002,,4.14,-50.4
2023,15810000000.0,2.59,3200000000.0,19.0,270000000.0,7840000000.0,13870000000.0,,24.5,15610000000.0,,3.55,-32.3
2022,14400000000.0,2.25,2950000000.0,19.42,100000000.0,6540000000.0,12620000000.0,,25.0,13680000000.0,,3.67,-49.8
2021,13320000000.0,2.09,2920000000.0,20.87,360000000.0,5860000000.0,11710000000.0,,22.5,11780000000.0,,3.57,-716.0
2020,11600000000.0,1.58,2420000000.0,19.53,460000000.0,6160000000.0,11590000000.0,140000000.0,19.1,11450000000.0,,2.83,234.0
2019,10140000000.0,1.21,1930000000.0,17.64,40400000.0,5860000000.0,10710000000.0,390000000.0,24.2,10310000000.0,,3.27,83.4
2018,9530000000.0,1.08,1810000000.0,17.76,31310000.0,3410000000.0,7980000000.0,350000000.0,21.2,7620000000.0,,2.85,77.0
2017,8970000000.0,0.86,1720000000.0,18.24,46340000.0,2970000000.0,7570000000.0,650000000.0,18.7,6910000000.0,,2.28,31.3
2016,8590000000.0,0.72,1700000000.0,19.05,140000000.0,1880000000.0,7200000000.0,1620000000.0,25.6,5570000000.0,,3.06,16.2
2015,7960000000.0,0.62,1510000000.0,18.33,110000000.0,1390000000.0,6670000000.0,1960000000.0,27.2,4710000000.0,,3.11,12.6
2014,7210000000.0,0.5,1270000000.0,16.94,250000000.0,1380000000.0,6530000000.0,2009999999.9999998,25.8,4510000000.0,,2.71,9.7
2013,6640000000.0,0.41,1100000000.0,15.93,230000000.0,1390000000.0,6060000000.0,1960000000.0,21.0,4099999999.9999995,,2.05,6.93
2012,6180000000.0,0.32,980000000.0,15.23,240000000.0,1090000000.0,5740000000.0,2100000000.0,18.5,3640000000.0,,1.63,4.79
2011,5780000000.0,0.25,840000000.0,14.09,360000000.0,790000000.0,5500000000.0,2840000000.0,21.2,2650000000.0,,1.77,3.61
2010,5390000000.0,,720000000.0,12.77,29720000.0,350000000.0,5040000000.0,3200000000.0,,1830000000.0,,1.58,2.65
2009,4840000000.0,,540000000.0,10.25,26930000.0,790000000.0,4780000000.0,2680000000.0,,2089999999.9999998,,1.08,1.95
2008,3570000000.0,,310000000.0,8.46,31300000.0,730000000.0,4190000000.0000005,2280000000.0,,1910000000.0,,1.16,1.81
2007,2520000000.0,,300000000.0,12.19,47550000.0,100000000.0,2270000000.0,1590000000.0,,680000000.0,,1.48,2.35
2006,2280000000.0,,280000000.0,12.36,29900000.0,110000000.0,1970000000.0,1360000000.0,,610000000.0,,1.6,2.68
2005,2040000000.0,,250000000.0,12.28,31380000.0,100000000.0,1710000000.0,1140000000.0,,570000000.0,,1.76,3.14
2004,1720000000.0,,190000000.0,10.91,69020000.0,100000000.0,1430000000.0,940000000.0,,480000000.0,,1.45,2.63
2003,1510000000.0,,160000000.0,10.59,21090000.0,120000000.0,1150000000.0,780000000.0,,370000000.0,,1.39,2.69
2002,1310000000.0,,130000000.0,9.98,29330000.0,190000000.0,1000000000.0,650000000.0,,350000000.0,,1.03,2.07
2001,1090000000.0,,110000000.0,9.77,15540000.0,180000000.0,850000000.0,550000000.0,,300000000.0,,1.76,
2000,890000000.0,,90100000.0,,9700000.0,130000000.0,,,,,,,
1999,750000000.0,,76910000.0,,10300000.0,110000000.0,,,,,,,
1998,610000000.0,,56700000.0,,1700000.0,180000000.0,,,,,,,
1997,310000000.0,,37000000.0,,2300000.0,22700000.0,,,,,,,
1996,250000000.0,,28700000.0,,1200000.0,3400000.0,,,,,,,
