Year,revenue,net_income,pe_ratio,cash,total_assets
2026,18200000000.0,3570000000.0,,,
2025,17780000000.0,3470000000.0,30.5,190000000.0,16530000000.000002
2024,16700000000.0,3260000000.0,29.0,130000000.0,14890000000.0
2023,15810000000.0,3200000000.0,24.5,270000000.0,13870000000.0
2022,14400000000.0,2950000000.0,25.0,100000000.0,12620000000.0
2021,13320000000.0,2920000000.0,22.5,360000000.0,11710000000.0
2020,11600000000.0,2420000000.0,19.1,460000000.0,11590000000.0
2019,10140000000.0,1930000000.0,24.2,40400000.0,10710000000.0
2018,9530000000.0,1810000000.0,21.2,31310000.0,7980000000.0
2017,8970000000.0,1720000000.0,18.7,46340000.0,7570000000.0
2016,8590000000.0,1700000000.0,25.6,140000000.0,7200000000.0
2015,7960000000.0,1510000000.0,27.2,110000000.0,6670000000.0
2014,7210000000.0,1270000000.0,25.8,250000000.0,6530000000.0
2013,6640000000.0,1100000000.0,21.0,230000000.0,6060000000.0
2012,6180000000.0,980000000.0,18.5,240000000.0,5740000000.0
2011,5780000000.0,840000000.0,21.2,360000000.0,5500000000.0
2010,5390000000.0,720000000.0,,29720000.0,5040000000.0
2009,4840000000.0,540000000.0,,26930000.0,4780000000.0
2008,3570000000.0,310000000.0,,31300000.0,4190000000.0000005
2007,2520000000.0,300000000.0,,47550000.0,2270000000.0
2006,2280000000.0,280000000.0,,29900000.0,1970000000.0
2005,2040000000.0,250000000.0,,31380000.0,1710000000.0
2004,1720000000.0,190000000.0,,69020000.0,1430000000.0
2003,1510000000.0,160000000.0,,21090000.0,1150000000.0
2002,1310000000.0,130000000.0,,29330000.0,1000000000.0
2001,1090000000.0,110000000.0,,15540000.0,850000000.0
2000,890000000.0,90100000.0,,9700000.0,
1999,750000000.0,76910000.0,,10300000.0,
1998,610000000.0,56700000.0,,1700000.0,
1997,310000000.0,37000000.0,,2300000.0,
1996,250000000.0,28700000.0,,1200000.0,
