year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,17781992000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000898173-26-000009,USD,True,2538209000.0,NetIncomeLoss,0000898173-26-000009,USD,True,2761993000.0,NetCashProvidedByUsedInOperatingActivities,0000898173-26-000009,USD,True,1168815000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000898173-26-000009,USD,True,3460612000.0,OperatingIncomeLoss,0000898173-26-000009,USD,True,235064000.0,InterestExpenseDebt,0000898173-26-000009,USD,True,701962000.0,IncomeTaxExpenseBenefit,0000898173-26-000009,USD,True,0.217,EffectiveIncomeTaxRateContinuingOperations,0000898173-26-000009,pure,True,3240171000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000898173-26-000009,USD,True,193793000.0,CashAndCashEquivalentsAtCarryingValue,0000898173-26-000009,USD,True,,,,,False,,,,,False,,,,,False,6016904000.0,LongTermDebtNoncurrent,0000898173-26-000009,USD,True,-763352000.0,StockholdersEquity,0000898173-26-000009,USD,True,193793000.0,6016904000.0,1593178000.0,0.21664350430887752,5059759000.0,2710892889.266647,0.5357751010011834,3460612000.0,False,0.0895950239995609,0.6276780202103136,True,True,ORLY,0000898173,ticker:ORLY,21
2024,16708479000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000898173-25-000008,USD,True,2386680000.0,NetIncomeLoss,0000898173-25-000008,USD,True,3049576000.0,NetCashProvidedByUsedInOperatingActivities,0000898173-25-000008,USD,True,1023387000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000898173-25-000008,USD,True,3251157000.0,OperatingIncomeLoss,0000898173-25-000008,USD,True,222548000.0,InterestExpenseDebt,0000898173-25-000008,USD,True,658384000.0,IncomeTaxExpenseBenefit,0000898173-25-000008,USD,True,,,,,False,3045064000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000898173-25-000008,USD,True,130245000.0,CashAndCashEquivalentsAtCarryingValue,0000898173-25-000008,USD,True,,,,,False,,,,,False,,,,,False,5520932000.0,LongTermDebtNoncurrent,0000898173-25-000008,USD,True,-1370961000.0,StockholdersEquity,0000898173-25-000008,USD,True,130245000.0,5520932000.0,2026189000.0,0.2162135180081601,4019726000.0,2548212907.433144,0.6339270157799671,3251157000.0,False,0.12126711234457667,0.8489571287311244,True,True,ORLY,0000898173,ticker:ORLY,21
2023,15812250000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000898173-24-000009,USD,True,2346581000.0,NetIncomeLoss,0000898173-24-000009,USD,True,3034084000.0,NetCashProvidedByUsedInOperatingActivities,0000898173-24-000009,USD,True,1006264000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000898173-24-000009,USD,True,3186376000.0,OperatingIncomeLoss,0000898173-24-000009,USD,True,201668000.0,InterestExpenseDebt,0000898173-24-000009,USD,True,658169000.0,IncomeTaxExpenseBenefit,0000898173-24-000009,USD,True,,,,,False,3004750000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000898173-24-000009,USD,True,279132000.0,CashAndCashEquivalentsAtCarryingValue,0000898173-24-000009,USD,True,,,,,False,,,,,False,,,,,False,5570125000.0,LongTermDebtNoncurrent,0000898173-24-000009,USD,True,-1739278000.0,StockholdersEquity,0000898173-24-000009,USD,True,279132000.0,5570125000.0,2027820000.0,0.2190428488226974,3551715000.0,2488423123.5397286,0.7006257888202541,3186376000.0,False,0.1282436085946023,0.8641593876367362,True,True,ORLY,0000898173,ticker:ORLY,21
2022,14409860000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000898173-23-000011,USD,True,2172650000.0,NetIncomeLoss,0000898173-23-000011,USD,True,3148250000.0,NetCashProvidedByUsedInOperatingActivities,0000898173-23-000011,USD,True,563342000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000898173-23-000011,USD,True,2954491000.0,OperatingIncomeLoss,0000898173-23-000011,USD,True,157720000.0,InterestExpenseDebt,0000898173-23-000011,USD,True,626005000.0,IncomeTaxExpenseBenefit,0000898173-23-000011,USD,True,,,,,False,2798655000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000898173-23-000011,USD,True,108583000.0,CashAndCashEquivalentsAtCarryingValue,0000898173-23-000011,USD,True,,,,,False,,,,,False,,,,,False,4371653000.0,LongTermDebtNoncurrent,0000898173-23-000011,USD,True,-1060752000.0,StockholdersEquity,0000898173-23-000011,USD,True,108583000.0,4371653000.0,2584908000.0,0.22368066088889127,3202318000.0,2293628500.529719,0.7162400800075817,2954491000.0,False,0.17938467132921485,1.1897489241249166,True,True,ORLY,0000898173,ticker:ORLY,21
2021,13327563000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000898173-22-000012,USD,True,2164685000.0,NetIncomeLoss,0000898173-22-000012,USD,True,3207310000.0,NetCashProvidedByUsedInOperatingActivities,0000898173-22-000012,USD,True,442853000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000898173-22-000012,USD,True,2917168000.0,OperatingIncomeLoss,0000898173-22-000012,USD,True,144768000.0,InterestExpenseDebt,0000898173-22-000012,USD,True,617229000.0,IncomeTaxExpenseBenefit,0000898173-22-000012,USD,True,,,,,False,2781914000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000898173-22-000012,USD,True,362113000.0,CashAndCashEquivalentsAtCarryingValue,0000898173-22-000012,USD,True,,,,,False,,,,,False,,,,,False,3826978000.0,LongTermDebtNoncurrent,0000898173-22-000012,USD,True,-66423000.0,StockholdersEquity,0000898173-22-000012,USD,True,362113000.0,3826978000.0,2764457000.0,0.22187206362238374,3398442000.0,2269929915.906818,0.6679325161079159,2917168000.0,False,0.20742404294018343,1.2770712597906855,True,True,ORLY,0000898173,ticker:ORLY,21
2020,11604493000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000898173-21-000012,USD,True,1752302000.0,NetIncomeLoss,0000898173-21-000012,USD,True,2836603000.0,NetCashProvidedByUsedInOperatingActivities,0000898173-21-000012,USD,True,465579000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000898173-21-000012,USD,True,2419336000.0,OperatingIncomeLoss,0000898173-21-000012,USD,True,161126000.0,InterestExpenseDebt,0000898173-21-000012,USD,True,514103000.0,IncomeTaxExpenseBenefit,0000898173-21-000012,USD,True,,,,,False,2266405000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000898173-21-000012,USD,True,465640000.0,CashAndCashEquivalentsAtCarryingValue,0000898173-21-000012,USD,True,,,,,False,,,,,False,,,,,False,4123217000.0,LongTermDebtNoncurrent,0000898173-21-000012,USD,True,140258000.0,StockholdersEquity,0000898173-21-000012,USD,True,465640000.0,4123217000.0,2371024000.0,0.22683633331200734,3797835000.0,1870542692.7102613,0.4925286887688015,2419336000.0,False,0.20431948211783144,1.3530909626308707,True,True,ORLY,0000898173,ticker:ORLY,21
2019,10149985000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000898173-20-000007,USD,True,1391042000.0,NetIncomeLoss,0000898173-20-000007,USD,True,1708479000.0,NetCashProvidedByUsedInOperatingActivities,0000898173-20-000007,USD,True,628057000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000898173-20-000007,USD,True,1920726000.0,OperatingIncomeLoss,0000898173-20-000007,USD,True,139975000.0,InterestExpenseDebt,0000898173-20-000007,USD,True,399287000.0,IncomeTaxExpenseBenefit,0000898173-20-000007,USD,True,,,,,False,1790329000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000898173-20-000007,USD,True,40406000.0,CashAndCashEquivalentsAtCarryingValue,0000898173-20-000007,USD,True,,,,,False,,,,,False,,,,,False,3890527000.0,LongTermDebtNoncurrent,0000898173-20-000007,USD,True,397340000.0,StockholdersEquity,0000898173-20-000007,USD,True,40406000.0,3890527000.0,1080422000.0,0.22302437149819948,4247461000.0,1492357291.0297494,0.35135279429987687,1920726000.0,False,0.10644567455025795,0.7766997689501827,True,True,ORLY,0000898173,ticker:ORLY,21
2018,9536428000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000898173-19-000060,USD,True,1324487000.0,NetIncomeLoss,0000898173-19-000060,USD,True,1727555000.0,NetCashProvidedByUsedInOperatingActivities,0000898173-19-000060,USD,True,504268000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000898173-19-000060,USD,True,1815184000.0,OperatingIncomeLoss,0000898173-19-000060,USD,True,122129000.0,InterestExpenseDebt,0000898173-19-000060,USD,True,369600000.0,IncomeTaxExpenseBenefit,0000898173-19-000060,USD,True,,,,,False,1694087000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000898173-19-000060,USD,True,31315000.0,CashAndCashEquivalentsAtCarryingValue,0000898173-19-000060,USD,True,,,,,False,,,,,False,,,,,False,3417122000.0,LongTermDebtNoncurrent,0000898173-19-000060,USD,True,353667000.0,StockholdersEquity,0000898173-19-000060,USD,True,31315000.0,3417122000.0,1223287000.0,0.21817061343366664,3739474000.0,1419164193.2250233,0.37950904143872194,1815184000.0,False,0.12827517808554734,0.9235930590485222,True,True,ORLY,0000898173,ticker:ORLY,21
2017,8977726000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000898173-18-000077,USD,True,1133804000.0,NetIncomeLoss,0000898173-18-000077,USD,True,1403687000.0,NetCashProvidedByUsedInOperatingActivities,0000898173-18-000077,USD,True,465940000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000898173-18-000077,USD,True,1725400000.0,OperatingIncomeLoss,0000898173-18-000077,USD,True,91349000.0,InterestExpenseDebt,0000898173-18-000077,USD,True,504000000.0,IncomeTaxExpenseBenefit,0000898173-18-000077,USD,True,,,,,False,1637804000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000898173-18-000077,USD,True,46348000.0,CashAndCashEquivalentsAtCarryingValue,0000898173-18-000077,USD,True,,,,,False,,,,,False,,,,,False,2978390000.0,LongTermDebtNoncurrent,0000898173-18-000077,USD,True,653046000.0,StockholdersEquity,0000898173-18-000077,USD,True,46348000.0,2978390000.0,937747000.0,0.3077291299813653,3585088000.0,1194444159.1301522,0.3331701088314017,1725400000.0,False,0.10445261973911879,0.8270803419285873,True,True,ORLY,0000898173,ticker:ORLY,21
2016,8593096000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000898173-17-000091,USD,True,1037691000.0,NetIncomeLoss,0000898173-17-000091,USD,True,1454167000.0,NetCashProvidedByUsedInOperatingActivities,0000898173-17-000091,USD,True,476344000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000898173-17-000091,USD,True,1699206000.0,OperatingIncomeLoss,0000898173-17-000091,USD,True,70931000.0,InterestExpenseDebt,0000898173-17-000091,USD,True,599500000.0,IncomeTaxExpenseBenefit,0000898173-17-000091,USD,True,,,,,False,1637191000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000898173-17-000091,USD,True,146598000.0,CashAndCashEquivalentsAtCarryingValue,0000898173-17-000091,USD,True,,,,,False,1900000000.0,LongTermDebt,0000898173-17-000091,USD,True,,,,,False,,,,,False,1627136000.0,StockholdersEquity,0000898173-17-000091,USD,True,146598000.0,1900000000.0,977823000.0,0.36617596847282935,3380538000.0,1076997597.3151574,0.31858763229851506,1699206000.0,False,0.11379169975524538,0.9423065247747162,True,True,ORLY,0000898173,ticker:ORLY,21
