year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,14640000000.0,3.8,2340000000.0,,,,,,,,380000000.0,2.32,2.02,
2025,14430000000.0,3.53,2210000000.0,13.4,1090000000.0,8510000000.0,10650000000.0,,24.7,15920000000.0,390000000.0,1.89,2.4,-6.58
2024,14260000000.0,4.1,2049999999.9999998,14.3,2300000000.0,8740000000.0,11310000000.0,,22.3,16040000000.0,390000000.0,1.65,2.62,-7.9
2023,14200000000.0,3.42,2180000000.0,14.29,1270000000.0,7300000000.0,10110000000.0,,25.4,14830000000.0,400000000.0,1.51,2.58,-7.76
2022,13680000000.0,2.97,2029999999.9999998,13.8,1180000000.0,7210000000.0,9810000000.0,,25.2,14480000000.0,410000000.0,1.48,2.38,-6.99
2021,14290000000.0,2.91,2100000000.0,13.72,1560000000.0,7790000000.0,12270000000.0,,28.2,15260000000.0,420000000.0,1.12,2.59,-12.4
2020,12750000000.0,2.09,1630000000.0,11.85,1780000000.0,6490000000.0,10710000000.0,,30.1,13910000000.0,430000000.0,0.95,2.29,-9.14
2019,13110000000.0,,1910000000.0,14.19,1440000000.0,560000000.0,9680000000.0,2320000000.0,,7360000000.0,430000000.0,,,
2018,,,,14.66,1320000000.0,27000000.0,9130000000.0,2210000000.0,,6920000000.0,,,,
2017,,,,15.88,,,,,,,,,,
