year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,20020000000.0,4.06,3300000000.0,,,,,,,,980000000.0,1.82,3.24,
2025,20490000000.0,1.68,3960000000.0,14.13,1960000000.0,23350000000.0,84180000000.0,36590000000.0,24.5,47580000000.0,980000000.0,2.33,2.04,1.14
2024,26720000000.0,2.62,5240000000.0,14.83,2120000000.0,26920000000.0,85440000000.0,34480000000.0,18.7,50960000000.0,940000000.0,1.8,1.7,1.32
2023,28250000000.0,4.22,7370000000.0,18.29,1420000000.0,20910000000.0,74000000000.0,30340000000.0,13.8,43650000000.0,880000000.0,1.24,1.85,1.73
2022,36630000000.0,13.36,15730000000.0,38.54,980000000.0,20760000000.0,72600000000.0,30080000000.0,4.54,42520000000.0,900000000.0,0.86,1.56,1.9
2021,25950000000.0,1.62,4850000000.0,14.27,2760000000.0,30380000000.0,75030000000.0,20320000000.0,17.1,54700000000.0,930000000.0,0.14,1.04,1.33
2020,17800000000.0,-17.09,,-88.19,2000000000.0,37290000000.0,80060000000.0,18570000000.0,-0.9651,61490000000.0,930000000.0,4.97,0.9051,0.8679
2019,20560000000.0,-0.9,1290000000.0,1.69,3030000000.0,40030000000.0,107190000000.0,34229999999.999996,-42.3,72950000000.0,890000000.0,8.26,1.79,1.08
2018,17820000000.0,5.39,5750000000.0,31.46,3030000000.0,10310000000.0,43850000000.0,21330000000.0,9.84,22520000000.0,750000000.0,5.85,2.58,2.16
2017,12500000000.0,1.71,1310000000.0,10.62,1670000000.0,9820000000.0,42020000000.0,20570000000.0,35.7,21450000000.0,760000000.0,5.02,4.51,2.74
2016,10090000000.0,-0.76,,-18.29,2230000000.0,9810000000.0,43100000000.0,21490000000.0,-74.0,21610000000.0,760000000.0,5.37,5.39,2.53
2015,12480000000.0,-10.25,,-77.6,3200000000.0,8300000000.000001,43400000000.0,24350000000.0,-4.99,19050000000.0,,5.8,4.14,2.12
2014,15950000000.0,,160000000.0,6.34,3780000000.0,6830000000.0,56250000000.0,34950000000.0,,21300000000.0,,4.76,3.89,1.78
2013,24450000000.0,7.32,9400000000.0,38.43,3390000000.0,6930000000.0,69440000000.0,43370000000.0,8.78,26070000000.0,,3.82,3.1,1.75
2012,24170000000.0,5.67,7520000000.0,30.47,1590000000.0,7620000000.0,64209999999.99999,40040000000.0,8.87,24160000000.0,,4.11,2.55,1.54
2011,23950000000.0,,10750000000.0,43.69,3780000000.0,5870000000.0,60040000000.0,37620000000.0,,22420000000.0,,2.94,3.18,2.02
2010,18710000000.0,,7540000000.0,38.64,3470000000.0,5110000000.0,52430000000.0,32479999999.999996,,19940000000.0,,2.29,4.26,2.45
2009,15500000000.0,,4800000000.0,33.72,2290000000.0,2790000000.0,44220000000.0,29150000000.0,,15070000000.0,,2.5,4.26,2.27
2008,24630000000.0,,11550000000.0,46.45,2780000000.0,2740000000.0,41530000000.0,27320000000.0,,14210000000.0,,3.2,1.97,1.78
2007,20010000000.0,,8910000000.0,42.86,2380000000.0,1780000000.0,36510000000.0,22820000000.0,,13690000000.0,,1.97,3.19,2.8
2006,17740000000.0,,7770000000.0,42.34,1570000000.0,2790000000.0,32430000000.0,19600000000.0,,12820000000.0,,2.69,2.32,2.09
2005,15920000000.0,,7020000000.0,42.89,2440000000.0,2910000000.0,26100000000.0,15370000000.0,,10730000000.0,,2.69,2.02,2.09
2004,11290000000.0,,4310000000.0,35.25,1440000000.0,3800000000.0,21390000000.0,10870000000.0,,10510000000.0,,3.2,2.05,2.13
2003,9320000000.0,,3100000000.0,31.01,680000000.0,4010000000.0,18160000000.0,8240000000.0,,9920000000.0,,4.27,1.75,1.98
2002,7380000000.0,,2109999999.9999998,21.6,140000000.0,4200000000.0,16540000000.0,6650000000.0,,9890000000.0,,6.28,1.46,1.62
2001,12650000000.0,,2580000000.0,29.4,190000000.0,4110000000.0000005,17850000000.0,7850000000.0,,9990000000.0,,6.98,0.7843,
2000,14660000000.0,,5200000000.0,,97000000.0,5440000000.0,,,,,,7.92,,
1999,7610000000.0,,1020000000.0,,210000000.0,4400000000.0,,,,,,9.31,,
1998,6590000000.0,,460000000.0,,96000000.0,6790000000.0,,,,,,12.57,,
1997,6530000000.0,,750000000.0,,110000000.0,4960000000.0,,,,,,7.57,,
1996,10550000000.0,,1290000000.0,,250000000.0,4550000000.0,,,,,,9.87,,
1995,,,,,,,,,,,,11.25,,
1994,,,,,,,,,,,,13.08,,
1993,,,,,,,,,,,,15.59,,
1992,,,,,,,,,,,,16.38,,
1991,,,,,,,,,,,,16.4,,
1990,,,,,,,,,,,,36.59,,
1989,,,,,,,,,,,,28.23,,
1988,,,,,,,,,,,,35.93,,
1987,,,,,,,,,,,,30.86,,
1986,,,,,,,,,,,,38.49,,
1985,,,,,,,,,,,,37.34,,
1984,,,,,,,,,,,,44.73,,
1983,,,,,,,,,,,,54.77,,
1982,,,,,,,,,,,,76.89,,
1981,,,,,,,,,,,,0.0,,
