year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,21593000000.0,Revenues,0001628280-26-009059,USD,True,2369000000.0,NetIncomeLoss,0001628280-26-009059,USD,True,10532000000.0,NetCashProvidedByUsedInOperatingActivities,0001628280-26-009059,USD,True,6427000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001628280-26-009059,USD,True,,,,,False,1079000000.0,InterestAndDebtExpense,0001628280-26-009059,USD,True,1021000000.0,IncomeTaxExpenseBenefit,0001628280-26-009059,USD,True,0.33,EffectiveIncomeTaxRateContinuingOperations,0001628280-26-009059,pure,True,3128000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001628280-26-009059,USD,True,1968000000.0,CashAndCashEquivalentsAtCarryingValue,0001628280-26-009059,USD,True,,,,,False,21397000000.0,LongTermDebt,0001628280-26-009059,USD,True,1773000000.0,DebtCurrent,0001628280-26-009059,USD,True,801000000.0,FinanceLeaseLiabilityNoncurrent,0001628280-26-009059,USD,True,36034000000.0,StockholdersEquity,0001628280-26-009059,USD,True,1968000000.0,21397000000.0,4105000000.0,0.3264066496163683,55463000000.0,2833807225.063939,0.0510936520755087,4207000000.0,True,0.1901079053396934,1.73279864921908,True,True,OXY,0000797468,ticker:OXY,23
2024,26725000000.0,Revenues,0000797468-25-000029,USD,True,3078000000.0,NetIncomeLoss,0000797468-25-000029,USD,True,11439000000.0,NetCashProvidedByUsedInOperatingActivities,0000797468-25-000029,USD,True,7018000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000797468-25-000029,USD,True,,,,,False,1175000000.0,InterestAndDebtExpense,0000797468-25-000029,USD,True,1174000000.0,IncomeTaxExpenseBenefit,0000797468-25-000029,USD,True,0.29,EffectiveIncomeTaxRateContinuingOperations,0000797468-25-000029,pure,True,4070000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000797468-25-000029,USD,True,2132000000.0,CashAndCashEquivalentsAtCarryingValue,0000797468-25-000029,USD,True,,,,,False,25323000000.0,LongTermDebt,0000797468-25-000029,USD,True,1138000000.0,DebtCurrent,0000797468-25-000029,USD,True,658000000.0,FinanceLeaseLiabilityNoncurrent,0000797468-25-000029,USD,True,34159000000.0,StockholdersEquity,0000797468-25-000029,USD,True,2132000000.0,25323000000.0,4421000000.0,0.2884520884520885,57350000000.0,3732068796.068796,0.06507530594714553,5245000000.0,True,0.16542563143124414,1.43632228719948,True,True,OXY,0000797468,ticker:OXY,23
2023,28257000000.0,Revenues,0000797468-24-000034,USD,True,4696000000.0,NetIncomeLoss,0000797468-24-000034,USD,True,12308000000.0,NetCashProvidedByUsedInOperatingActivities,0000797468-24-000034,USD,True,6270000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000797468-24-000034,USD,True,,,,,False,945000000.0,InterestAndDebtExpense,0000797468-24-000034,USD,True,1733000000.0,IncomeTaxExpenseBenefit,0000797468-24-000034,USD,True,0.27,EffectiveIncomeTaxRateContinuingOperations,0000797468-24-000034,pure,True,6429000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000797468-24-000034,USD,True,1426000000.0,CashAndCashEquivalentsAtCarryingValue,0000797468-24-000034,USD,True,,,,,False,19001000000.0,LongTermDebt,0000797468-24-000034,USD,True,1202000000.0,DebtCurrent,0000797468-24-000034,USD,True,591000000.0,FinanceLeaseLiabilityNoncurrent,0000797468-24-000034,USD,True,30250000000.0,StockholdersEquity,0000797468-24-000034,USD,True,1426000000.0,19001000000.0,6038000000.0,0.2695598071239695,47825000000.0,5386265982.267849,0.11262448473116254,7374000000.0,True,0.21368156562975546,1.2857751277683134,True,True,OXY,0000797468,ticker:OXY,23
2022,36634000000.0,Revenues,0000797468-23-000011,USD,True,13304000000.0,NetIncomeLoss,0000797468-23-000011,USD,True,16810000000.0,NetCashProvidedByUsedInOperatingActivities,0000797468-23-000011,USD,True,4497000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000797468-23-000011,USD,True,,,,,False,1030000000.0,InterestAndDebtExpense,0000797468-23-000011,USD,True,813000000.0,IncomeTaxExpenseBenefit,0000797468-23-000011,USD,True,0.06,EffectiveIncomeTaxRateContinuingOperations,0000797468-23-000011,pure,True,14117000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000797468-23-000011,USD,True,984000000.0,CashAndCashEquivalentsAtCarryingValue,0000797468-23-000011,USD,True,,,,,False,19146000000.0,LongTermDebt,0000797468-23-000011,USD,True,165000000.0,DebtCurrent,0000797468-23-000011,USD,True,546000000.0,FinanceLeaseLiabilityNoncurrent,0000797468-23-000011,USD,True,30085000000.0,StockholdersEquity,0000797468-23-000011,USD,True,984000000.0,19146000000.0,12313000000.0,0.05759013954806262,48247000000.0,14274682156.265495,0.2958667307037846,15147000000.0,True,0.3361085330567233,0.9255111244738424,True,True,OXY,0000797468,ticker:OXY,23
2021,25956000000.0,Revenues,0000797468-22-000008,USD,True,2322000000.0,NetIncomeLoss,0000797468-22-000008,USD,True,10434000000.0,NetCashProvidedByUsedInOperatingActivities,0000797468-22-000008,USD,True,2870000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000797468-22-000008,USD,True,,,,,False,1614000000.0,InterestAndDebtExpense,0000797468-22-000008,USD,True,915000000.0,IncomeTaxExpenseBenefit,0000797468-22-000008,USD,True,0.25,EffectiveIncomeTaxRateContinuingOperations,0000797468-22-000008,pure,True,3705000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000797468-22-000008,USD,True,2764000000.0,CashAndCashEquivalentsAtCarryingValue,0000797468-22-000008,USD,True,,,,,False,29028000000.0,LongTermDebt,0000797468-22-000008,USD,True,186000000.0,DebtCurrent,0000797468-22-000008,USD,True,504000000.0,FinanceLeaseLiabilityNoncurrent,0000797468-22-000008,USD,True,20327000000.0,StockholdersEquity,0000797468-22-000008,USD,True,2764000000.0,29028000000.0,7564000000.0,0.24696356275303644,46591000000.0,4005400809.716599,0.08596941060970142,5319000000.0,True,0.2914162428725536,3.2575366063738156,True,True,OXY,0000797468,ticker:OXY,23
2020,17809000000.0,Revenues,0000797468-21-000009,USD,True,-14831000000.0,NetIncomeLoss,0000797468-21-000009,USD,True,3955000000.0,NetCashProvidedByUsedInOperatingActivities,0000797468-21-000009,USD,True,2535000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000797468-21-000009,USD,True,,,,,False,1424000000.0,InterestAndDebtExpense,0000797468-21-000009,USD,True,-2172000000.0,IncomeTaxExpenseBenefit,0000797468-21-000009,USD,True,0.14,EffectiveIncomeTaxRateContinuingOperations,0000797468-21-000009,pure,True,-15705000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000797468-21-000009,USD,True,2008000000.0,CashAndCashEquivalentsAtCarryingValue,0000797468-21-000009,USD,True,,,,,False,,,,,False,42000000.0,DebtCurrent,0000797468-21-000009,USD,True,316000000.0,FinanceLeaseLiabilityNoncurrent,0000797468-21-000009,USD,True,18573000000.0,StockholdersEquity,0000797468-21-000009,USD,True,2008000000.0,358000000.0,1420000000.0,0.13829990448901625,16923000000.0,-12305939063.992357,-0.7271724318378749,-14281000000.0,True,0.07973496546689876,-0.09574539815251837,True,True,OXY,0000797468,ticker:OXY,23
2019,20393000000.0,Revenues,0000797468-20-000004,USD,True,-985000000.0,NetIncomeLoss,0000797468-20-000004,USD,True,7375000000.0,NetCashProvidedByUsedInOperatingActivities,0000797468-20-000004,USD,True,6355000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000797468-20-000004,USD,True,,,,,False,1066000000.0,InterestAndDebtExpense,0000797468-20-000004,USD,True,693000000.0,IncomeTaxExpenseBenefit,0000797468-20-000004,USD,True,3.73,EffectiveIncomeTaxRateContinuingOperations,0000797468-20-000004,pure,True,186000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000797468-20-000004,USD,True,3032000000.0,CashAndCashEquivalentsAtCarryingValue,0000797468-20-000004,USD,True,,,,,False,,,,,False,51000000.0,DebtCurrent,0000797468-20-000004,USD,True,347000000.0,FinanceLeaseLiabilityNoncurrent,0000797468-20-000004,USD,True,34232000000.0,StockholdersEquity,0000797468-20-000004,USD,True,3032000000.0,398000000.0,1020000000.0,3.725806451612903,31598000000.0,-3412709677.4193544,-0.10800397738525712,1252000000.0,True,0.05001716275192468,-1.0355329949238579,True,True,OXY,0000797468,ticker:OXY,23
2018,15560000000.0,Revenues,0000797468-19-000004,USD,True,4131000000.0,NetIncomeLoss,0000797468-19-000004,USD,True,7669000000.0,NetCashProvidedByUsedInOperatingActivities,0000797468-19-000004,USD,True,4975000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000797468-19-000004,USD,True,,,,,False,389000000.0,InterestAndDebtExpense,0000797468-19-000004,USD,True,1477000000.0,IncomeTaxExpenseBenefit,0000797468-19-000004,USD,True,0.26,EffectiveIncomeTaxRateContinuingOperations,0000797468-19-000004,pure,True,5608000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000797468-19-000004,USD,True,3033000000.0,CashAndCashEquivalentsAtCarryingValue,0000797468-19-000004,USD,True,,,,,False,,,,,False,116000000.0,DebtCurrent,0000797468-19-000004,USD,True,10201000000.0,FinanceLeaseLiabilityNoncurrent,0000797468-19-000004,USD,True,-172000000.0,StockholdersEquity,0000797468-19-000004,USD,True,3033000000.0,10317000000.0,2694000000.0,0.2633737517831669,7112000000.0,4417547610.556348,0.621139990235707,5997000000.0,True,0.1731362467866324,0.6521423384168482,True,True,OXY,0000797468,ticker:OXY,23
2017,12508000000.0,Revenues,0000797468-18-000005,USD,True,1311000000.0,NetIncomeLoss,0000797468-18-000005,USD,True,4996000000.0,NetCashProvidedByUsedInOperatingActivities,0000797468-18-000005,USD,True,3599000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000797468-18-000005,USD,True,,,,,False,345000000.0,InterestAndDebtExpense,0000797468-18-000005,USD,True,17000000.0,IncomeTaxExpenseBenefit,0000797468-18-000005,USD,True,0.01,EffectiveIncomeTaxRateContinuingOperations,0000797468-18-000005,pure,True,1328000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000797468-18-000005,USD,True,1672000000.0,CashAndCashEquivalentsAtCarryingValue,0000797468-18-000005,USD,True,,,,,False,,,,,False,500000000.0,DebtCurrent,0000797468-18-000005,USD,True,9328000000.0,FinanceLeaseLiabilityNoncurrent,0000797468-18-000005,USD,True,20572000000.0,StockholdersEquity,0000797468-18-000005,USD,True,1672000000.0,9828000000.0,1397000000.0,0.012801204819277108,28728000000.0,1651583584.3373494,0.057490378179384204,1673000000.0,True,0.11168851934761752,1.0655987795575896,True,True,OXY,0000797468,ticker:OXY,23
2016,10090000000.0,Revenues,0000797468-17-000003,USD,True,-574000000.0,NetIncomeLoss,0000797468-17-000003,USD,True,3383000000.0,NetCashProvidedByUsedInOperatingActivities,0000797468-17-000003,USD,True,2717000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000797468-17-000003,USD,True,,,,,False,292000000.0,InterestAndDebtExpense,0000797468-17-000003,USD,True,-662000000.0,IncomeTaxExpenseBenefit,0000797468-17-000003,USD,True,0.4,EffectiveIncomeTaxRateContinuingOperations,0000797468-17-000003,pure,True,-1664000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000797468-17-000003,USD,True,2233000000.0,CashAndCashEquivalentsAtCarryingValue,0000797468-17-000003,USD,True,,,,,False,,,,,False,1450000000.0,DebtCurrent,0000797468-17-000003,USD,True,9819000000.0,FinanceLeaseLiabilityNoncurrent,0000797468-17-000003,USD,True,21497000000.0,StockholdersEquity,0000797468-17-000003,USD,True,2233000000.0,11269000000.0,666000000.0,0.39783653846153844,30533000000.0,-826168269.2307693,-0.02705820814301802,-1372000000.0,True,0.06600594648166501,-1.1602787456445993,True,True,OXY,0000797468,ticker:OXY,23
